START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: KR4V
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KR4V
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28020 CW 2023-12-09 0008 KR4V          599 VA K9RS          599 DE
QSO: 28022 CW 2023-12-09 0008 KR4V          599 VA K3EW          599 MD
QSO: 28024 CW 2023-12-09 0011 KR4V          599 VA K3TC          599 MD
QSO: 28028 CW 2023-12-09 0013 KR4V          599 VA K1HTV         599 VA
QSO: 28031 CW 2023-12-09 0014 KR4V          599 VA N3AM          599 MD
QSO: 28036 CW 2023-12-09 0015 KR4V          599 VA N4RV          599 VA
QSO: 28040 CW 2023-12-09 0016 KR4V          599 VA K3AJ          599 MD
QSO: 28041 CW 2023-12-09 0027 KR4V          599 VA KA4RRU        599 VA
QSO: 28004 CW 2023-12-09 0030 KR4V          599 VA N2MM          599 NJ
QSO: 28000 CW 2023-12-09 0033 KR4V          599 VA N8II          599 WV
QSO: 28051 CW 2023-12-09 0037 KR4V          599 VA AA3B          599 PA
QSO: 28028 CW 2023-12-09 0052 KR4V          599 VA K3CCR         599 MD
QSO: 28017 CW 2023-12-09 0053 KR4V          599 VA N1RM          599 VA
QSO: 28020 CW 2023-12-09 0058 KR4V          599 VA W3ZGD         599 PA
QSO: 28019 CW 2023-12-09 0115 KR4V          599 VA W3IP          599 VA
QSO: 28010 CW 2023-12-09 0117 KR4V          599 VA K2XR          599 NJ
QSO: 28001 CW 2023-12-09 0119 KR4V          599 VA W4RN          599 VA
QSO: 28024 CW 2023-12-09 0122 KR4V          599 VA NX3Z          599 MD
QSO: 28010 CW 2023-12-09 0126 KR4V          599 VA W8FJ          599 PA
QSO: 28016 CW 2023-12-09 0132 KR4V          599 VA K1HTV         599 VA
QSO: 28029 CW 2023-12-09 0133 KR4V          599 VA K4XL          599 VA
QSO: 28017 CW 2023-12-09 0201 KR4V          599 VA N2YO          599 VA
QSO: 28039 CW 2023-12-09 0204 KR4V          599 VA N3UA          599 VA
QSO: 28025 CW 2023-12-09 0219 KR4V          599 VA AD4TJ         599 VA
QSO: 28013 CW 2023-12-09 0223 KR4V          599 VA K1LZ          599 ME
QSO: 28005 CW 2023-12-09 0309 KR4V          599 VA W4PM          599 VA
END-OF-LOG:
