START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: JH1GEX
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JH1GEX
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2024.
QSO: 28031 CW 2024-12-14 0525 JH1GEX        599 1 7Q2T          599 47
QSO: 28036 CW 2024-12-14 0618 JH1GEX        599 002 LZ2RS         599 23
QSO: 28036 CW 2024-12-14 0619 JH1GEX        599 003 RX3N          599 37
QSO: 28039 CW 2024-12-14 0621 JH1GEX        599 4 9A5Y          599 81
QSO: 28039 CW 2024-12-14 0622 JH1GEX        599 005 UA4Q          599 070
QSO: 28000 CW 2024-12-14 0623 JH1GEX        599 6 UT7EZ         599 19
QSO: 28039 CW 2024-12-14 0624 JH1GEX        599 8 RA9Y          599 354
QSO: 28039 CW 2024-12-14 0624 JH1GEX        599 9 UA4FER        599 064
QSO: 28039 CW 2024-12-14 0625 JH1GEX        599 010 UA6LCJ        599 041
QSO: 28000 CW 2024-12-14 0626 JH1GEX        599 012 R0RG          599 052
QSO: 28039 CW 2024-12-14 0626 JH1GEX        599 11 9M8J          599 90
QSO: 28039 CW 2024-12-14 0627 JH1GEX        599 14 UR7LY         599 41
QSO: 28039 CW 2024-12-14 0628 JH1GEX        599 17 RT5P          599 14
QSO: 28039 CW 2024-12-14 0628 JH1GEX        599 015 RZ4AG         599 050
QSO: 28039 CW 2024-12-14 0628 JH1GEX        599 16 UT3UZ         599 18
QSO: 28039 CW 2024-12-14 0629 JH1GEX        599 18 RA9YE         599 59
QSO: 28039 CW 2024-12-14 0629 JH1GEX        599 019 UA3EDQ        599 029
QSO: 28039 CW 2024-12-14 0629 JH1GEX        599 020 UA4PN         599 018
QSO: 28039 CW 2024-12-14 0630 JH1GEX        599 21 RW1A          599 95
QSO: 28039 CW 2024-12-14 0630 JH1GEX        599 22 UA9CTT        599 83
QSO: 28000 CW 2024-12-14 0631 JH1GEX        599 23 R0QAW/9       599 87
QSO: 28039 CW 2024-12-14 0632 JH1GEX        599 24 R7AT          599 53
QSO: 28039 CW 2024-12-14 0632 JH1GEX        599 026 R8WO          599 057
QSO: 28039 CW 2024-12-14 0632 JH1GEX        599 025 R9MA          599 129
QSO: 28039 CW 2024-12-14 0633 JH1GEX        599 027 YO4AAC        599 3
QSO: 28039 CW 2024-12-14 0634 JH1GEX        599 30 UA4Z          599 75
QSO: 28039 CW 2024-12-14 0634 JH1GEX        599 29 US4EX         599 5
QSO: 28039 CW 2024-12-14 0634 JH1GEX        599 28 YO4NF         599 38
QSO: 28039 CW 2024-12-14 0635 JH1GEX        599 032 UA9YE         599 93
QSO: 28039 CW 2024-12-14 0635 JH1GEX        599 031 UT2UB         599 037
QSO: 28039 CW 2024-12-14 0636 JH1GEX        599 34 TA7I          599 39
QSO: 28039 CW 2024-12-14 0639 JH1GEX        599 36 UT8EU         599 68
QSO: 28000 CW 2024-12-14 0640 JH1GEX        599 037 UR5FEO        599 0006
QSO: 28039 CW 2024-12-14 0640 JH1GEX        599 038 RX6LRU        599 062
QSO: 28039 CW 2024-12-14 0641 JH1GEX        599 040 HA3DX         599 71
QSO: 28039 CW 2024-12-14 0641 JH1GEX        599 039 UA4WAU        599 022
QSO: 28039 CW 2024-12-14 0642 JH1GEX        599 041 UA4M          599 178
QSO: 28039 CW 2024-12-14 0643 JH1GEX        599 042 RM4F          599 191
QSO: 28039 CW 2024-12-14 0645 JH1GEX        599 045 R0UAQ         599 058
QSO: 28039 CW 2024-12-14 0645 JH1GEX        599 046 R4PH          599 058
QSO: 28039 CW 2024-12-14 0645 JH1GEX        599 44 UT1AA         599 36
QSO: 28039 CW 2024-12-14 0647 JH1GEX        599 48 R4SO          599 28
QSO: 28000 CW 2024-12-14 0648 JH1GEX        599 049 UT4WA         599 007
QSO: 28039 CW 2024-12-14 0649 JH1GEX        599 50 HG1A          599 026
QSO: 28039 CW 2024-12-14 0650 JH1GEX        599 051 UY5LW         599 27
QSO: 28039 CW 2024-12-14 0651 JH1GEX        599 54 R8WX          599 115
