START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DIGI
CALLSIGN: WB4MM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WB4MM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DIGI ARRL/arrl_international_digital_contest/2026.
QSO: 21081 DG 2026-06-06 1809 WB4MM         EL99 K3MM          FM19
QSO: 21082 DG 2026-06-06 1810 WB4MM         EL99 N1EK          FM19
QSO: 14081 DG 2026-06-06 1815 WB4MM         EL99 W0ZA          EN00
QSO: 14081 DG 2026-06-06 1818 WB4MM         EL99 W9YK          EN61
QSO: 14092 DG 2026-06-06 1832 WB4MM         EL99 KP4PR         FK68XK
QSO: 14000 DG 2026-06-06 1835 WB4MM         EL99 XE2N          DL95
QSO: 21141 DG 2026-06-06 1844 WB4MM         EL99 TI2CC         EJ79
QSO: 14091 DG 2026-06-06 1853 WB4MM         EL99 AI3Q          FN21
QSO: 21082 DG 2026-06-06 2016 WB4MM         EL99 PP5DZ         GG33
QSO: 28090 DG 2026-06-06 2025 WB4MM         EL99 CA2EBM        FF46
QSO: 21091 DG 2026-06-06 2033 WB4MM         EL99 WA2CP         FN20
QSO: 14080 DG 2026-06-06 2044 WB4MM         EL99 N0AT          EN34
QSO: 28090 DG 2026-06-06 2120 WB4MM         EL99 CA1OGG        FG57
QSO: 21142 DG 2026-06-06 2124 WB4MM         EL99 AJ1I          FN41
QSO: 21082 DG 2026-06-06 2126 WB4MM         EL99 PU1JSV        GG87
QSO: 21081 DG 2026-06-06 2127 WB4MM         EL99 XQ3SK         FF46
QSO: 14092 DG 2026-06-06 2146 WB4MM         EL99 NA5M          EM11
QSO: 14081 DG 2026-06-06 2158 WB4MM         EL99 KA8HDE        EN35
QSO: 21091 DG 2026-06-06 2318 WB4MM         EL99 -1 7Q6UJ         KH79
QSO: 14090 DG 2026-06-06 2330 WB4MM         EL99 5B4AMM        KM64
QSO: 14093 DG 2026-06-06 2340 WB4MM         EL99 KJ5JPA        EL06
QSO: 14083 DG 2026-06-06 2346 WB4MM         EL99 W4DGA         EM84
QSO: 21091 DG 2026-06-07 0026 WB4MM         FE48 LU5VV         EL99
QSO:  7090 DG 2026-06-07 0043 WB4MM         EL99 5B4AMM        KM64
QSO:  7090 DG 2026-06-07 0044 WB4MM         EL99 KP2B          FK77
QSO:  7091 DG 2026-06-07 0045 WB4MM         EL99 NP4DX         FK68
QSO:  7092 DG 2026-06-07 0053 WB4MM         EL99 YO6BHN        KN25
QSO:  7050 DG 2026-06-07 0113 WB4MM         EL99 VE2EBK        FN46
QSO:  7091 DG 2026-06-07 0115 WB4MM         EL99 UA6CE         LN05
QSO: 21091 DG 2026-06-07 1353 WB4MM         EL99 VP2MAA        FK86
QSO: 21090 DG 2026-06-07 1552 WB4MM         EL99 XQ2JL         FF47
QSO: 28081 DG 2026-06-07 1750 WB4MM         EL99 PY4TC         GG78
QSO: 21091 DG 2026-06-07 2240 WB4MM         EL99 AC9S          EN50
QSO: 21090 DG 2026-06-07 2242 WB4MM         EL99 XE1JAV        EL00
END-OF-LOG:
