START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-CW
CALLSIGN: W0LPF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W0LPF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-CW ARRL/arrl_international_dx_cw_contest/2025.
QSO: 28049 CW 2025-02-15 1504 W0LPF         599 MO KP2B          599 73
QSO: 28047 CW 2025-02-15 1505 W0LPF         599 MO HB9NE         599 1000
QSO: 28052 CW 2025-02-15 1507 W0LPF         599 MO LT3E          599 K
QSO: 28040 CW 2025-02-15 1511 W0LPF         599 MO G8X           599 KW
QSO: 28024 CW 2025-02-15 1514 W0LPF         599 MO PW2E          599 K
QSO: 28025 CW 2025-02-15 1515 W0LPF         599 MO EA5RS         599 KW
QSO: 28025 CW 2025-02-15 1518 W0LPF         599 MO EA5RS         599 KW
QSO: 28025 CW 2025-02-15 1518 W0LPF         599 MO F5OGL         599 KW
QSO: 28026 CW 2025-02-15 1519 W0LPF         599 MO S53WW         599 KW
QSO: 28027 CW 2025-02-15 1522 W0LPF         599 MO IP2A          599 500
QSO: 28030 CW 2025-02-15 1528 W0LPF         599 MO MM1E          599 K
QSO: 28030 CW 2025-02-15 1529 W0LPF         599 MO EA8KR         599 KW
QSO: 28030 CW 2025-02-15 1532 W0LPF         599 MO EI7M          599 K
QSO: 28032 CW 2025-02-15 1534 W0LPF         599 MO CR3W          599 K
QSO: 28000 CW 2025-02-15 1536 W0LPF         599 MO V31DJ         599 400
