START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-CW
CALLSIGN: PA3EYC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PA3EYC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-CW ARRL/arrl_international_dx_cw_contest/2026.
QSO: 14001 CW 2026-02-21 1138 PA3EYC        599 100 AA1K          599 DE
QSO: 14002 CW 2026-02-21 1138 PA3EYC        599 100 WA2VYA        599 TX
QSO: 14005 CW 2026-02-21 1141 PA3EYC        599 100 K1RU          599 CT
QSO: 14006 CW 2026-02-21 1142 PA3EYC        599 100 W8MJ          599 MI
QSO: 14007 CW 2026-02-21 1142 PA3EYC        599 100 K3ATO         599 PA
QSO: 14009 CW 2026-02-21 1143 PA3EYC        599 100 VE3JM         599 ON
QSO: 14009 CW 2026-02-21 1143 PA3EYC        599 100 W9RE          599 IN
QSO: 14012 CW 2026-02-21 1144 PA3EYC        599 100 NB1N          599 MA
QSO: 14018 CW 2026-02-21 1146 PA3EYC        599 100 N2AA          599 NJ
QSO: 14019 CW 2026-02-21 1147 PA3EYC        599 100 N4WW          599 FL
QSO: 14020 CW 2026-02-21 1148 PA3EYC        599 1TT N0AX          599 MO
QSO: 14021 CW 2026-02-21 1148 PA3EYC        599 100 WC1M          599 NH
QSO: 14023 CW 2026-02-21 1149 PA3EYC        599 100 W4RM          599 NC
QSO: 14029 CW 2026-02-21 1149 PA3EYC        599 100 WG3J          599 MD
QSO: 14038 CW 2026-02-21 1151 PA3EYC        599 100 K1KI          599 CT
QSO: 14038 CW 2026-02-21 1152 PA3EYC        599 100 AA3B          599 PA
QSO: 14039 CW 2026-02-21 1152 PA3EYC        599 100 KN2M          599 NY
QSO: 14041 CW 2026-02-21 1153 PA3EYC        599 100 K5KU          599 LA
QSO: 14000 CW 2026-02-21 1154 PA3EYC        599 100 N2MF          599 NY
QSO: 14000 CW 2026-02-21 1155 PA3EYC        599 100 K5TR          599 TX
QSO: 14002 CW 2026-02-21 1155 PA3EYC        599 100 K3LR          599 PA
QSO: 14005 CW 2026-02-21 1156 PA3EYC        599 100 K5ZD          599 OH
QSO: 14006 CW 2026-02-21 1157 PA3EYC        599 100 W9SN          599 TN
QSO: 14006 CW 2026-02-21 1158 PA3EYC        599 100 K5GN          599 TX
QSO: 14006 CW 2026-02-21 1158 PA3EYC        599 100 NN7CW         599 FL
QSO: 14013 CW 2026-02-21 1158 PA3EYC        599 100 K1KP          599 MA
QSO: 14015 CW 2026-02-21 1159 PA3EYC        599 100 VA2WA         599 QC
QSO: 14016 CW 2026-02-21 1200 PA3EYC        599 100 KB3WD         599 MD
QSO: 14017 CW 2026-02-21 1201 PA3EYC        599 100 VA2CZ         599 QC
QSO: 14023 CW 2026-02-21 1202 PA3EYC        599 100 K3WW          599 NJ
QSO: 14026 CW 2026-02-21 1203 PA3EYC        599 100 K1TTT         599 MA
QSO: 14027 CW 2026-02-21 1204 PA3EYC        599 100 K1RX          599 NH
QSO: 14028 CW 2026-02-21 1204 PA3EYC        599 100 W2FU          599 NY
QSO: 14035 CW 2026-02-21 1205 PA3EYC        599 100 N4SS          599 KY
QSO: 14035 CW 2026-02-21 1206 PA3EYC        599 100 VE3AT         599 ON
QSO: 14038 CW 2026-02-21 1206 PA3EYC        599 100 N2IC          599 NM
QSO: 14040 CW 2026-02-21 1207 PA3EYC        599 100 N7AT          599 AZ
QSO: 14044 CW 2026-02-21 1207 PA3EYC        599 100 KB1EFS        599 NY
QSO: 14000 CW 2026-02-21 1208 PA3EYC        599 100 K1VUT         599 MA
QSO: 14046 CW 2026-02-21 1208 PA3EYC        599 100 K9CT          599 IL
QSO: 14054 CW 2026-02-21 1209 PA3EYC        599 100 K3EL          599 VA
QSO: 14055 CW 2026-02-21 1210 PA3EYC        599 100 W4NF          599 VA
QSO: 14059 CW 2026-02-21 1211 PA3EYC        599 100 KU2M          599 NJ
QSO: 14063 CW 2026-02-21 1212 PA3EYC        599 100 K1BX          599 NH
QSO: 14063 CW 2026-02-21 1212 PA3EYC        599 100 K8LX          599 MI
QSO: 14070 CW 2026-02-21 1213 PA3EYC        599 100 K3PH          599 PA
QSO: 14054 CW 2026-02-21 1214 PA3EYC        599 100 WJ1U          599 NH
QSO: 14024 CW 2026-02-21 1215 PA3EYC        599 1TT W9VW          599 IN
QSO: 21001 CW 2026-02-21 1216 PA3EYC        599 100 N4RV          599 VA
QSO: 21001 CW 2026-02-21 1217 PA3EYC        599 100 K1LZ          599 ME
QSO: 21000 CW 2026-02-21 1218 PA3EYC        599 100 WC1M          599 NH
QSO: 21002 CW 2026-02-21 1219 PA3EYC        599 100 W1UE          599 MA
QSO: 21003 CW 2026-02-21 1220 PA3EYC        599 100 K1AR          599 NH
QSO: 21003 CW 2026-02-21 1220 PA3EYC        599 100 K3ATO         599 PA
QSO: 21005 CW 2026-02-21 1221 PA3EYC        599 100 W4CB          599 VA
QSO: 21007 CW 2026-02-21 1222 PA3EYC        599 100 K3LR          599 PA
QSO: 21007 CW 2026-02-21 1222 PA3EYC        599 100 KI1G          599 RI
QSO: 21008 CW 2026-02-21 1223 PA3EYC        599 100 NY3A          599 PA
QSO: 21012 CW 2026-02-21 1224 PA3EYC        599 100 K3WW          599 NJ
QSO: 21013 CW 2026-02-21 1224 PA3EYC        599 100 W4NF          599 VA
QSO: 21016 CW 2026-02-21 1225 PA3EYC        599 100 N1UR          599 VT
QSO: 21021 CW 2026-02-21 1226 PA3EYC        599 100 K1ZZ          599 CT
QSO: 21021 CW 2026-02-21 1226 PA3EYC        599 100 N2AA          599 NJ
QSO: 21022 CW 2026-02-21 1227 PA3EYC        599 100 W1CSM         599 MA
QSO: 21023 CW 2026-02-21 1228 PA3EYC        599 100 W3RJ          599 PA
QSO: 21025 CW 2026-02-21 1228 PA3EYC        599 100 WG3J          599 MD
QSO: 21033 CW 2026-02-21 1230 PA3EYC        599 100 KN2M          599 NY
QSO: 21040 CW 2026-02-21 1232 PA3EYC        599 100 K1TTT         599 MA
QSO: 21041 CW 2026-02-21 1232 PA3EYC        599 100 N3AD          599 PA
QSO: 21042 CW 2026-02-21 1233 PA3EYC        599 100 K4AB          599 AL
QSO: 21044 CW 2026-02-21 1234 PA3EYC        599 100 AA3B          599 PA
QSO: 21046 CW 2026-02-21 1235 PA3EYC        599 100 K2NV          599 NY
QSO: 21047 CW 2026-02-21 1235 PA3EYC        599 100 AD5A          599 TX
QSO: 21051 CW 2026-02-21 1236 PA3EYC        599 100 N1RR          599 MA
QSO: 21052 CW 2026-02-21 1237 PA3EYC        599 100 W1GD          599 MA
QSO: 21055 CW 2026-02-21 1237 PA3EYC        599 100 NN3Q          599 PA
QSO: 21055 CW 2026-02-21 1240 PA3EYC        599 100 NU8A          599 MI
QSO: 14003 CW 2026-02-22 1217 PA3EYC        599 100 VO2AC         599 LB
QSO: 14010 CW 2026-02-22 1217 PA3EYC        599 100 K1LZ          599 ME
QSO: 14070 CW 2026-02-22 1217 PA3EYC        599 100 K4AB          599 AL
QSO: 14060 CW 2026-02-22 1219 PA3EYC        599 100 AA5JF         599 GA
QSO: 21019 CW 2026-02-22 1220 PA3EYC        599 100 N4WW          599 FL
QSO: 21029 CW 2026-02-22 1221 PA3EYC        599 100 KR2AA         599 NY
QSO: 21035 CW 2026-02-22 1222 PA3EYC        599 100 VE3JM         599 ON
QSO: 21000 CW 2026-02-22 1223 PA3EYC        599 100 VY2TT         599 PE
