START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-SSB
CALLSIGN: AA6IO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: AA6IO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-SSB ARRL/arrl_international_dx_phone_contest/2021.
QSO: 21270 PH 2021-03-06 0117 AA6IO         59 CA PT5J          59 1000
QSO: 21301 PH 2021-03-06 0117 AA6IO         59 CA ZP5DBC        59 KW
QSO: 21247 PH 2021-03-06 0128 AA6IO         59 CA LU5FC         59 KW
QSO: 14000 PH 2021-03-06 0135 AA6IO         59 CA KL7KK         59 1400
QSO: 21336 PH 2021-03-06 1729 AA6IO         59 CA KP4AA         59 K
QSO: 21326 PH 2021-03-06 1730 AA6IO         59 CA NP4DX         59 100
QSO: 21317 PH 2021-03-06 1732 AA6IO         59 CA PJ4DX         59 KW
QSO: 28000 PH 2021-03-06 1744 AA6IO         59 CA LU8DPM        59 K
QSO: 21306 PH 2021-03-06 1755 AA6IO         59 CA ZF5T          59 KW
QSO: 21343 PH 2021-03-06 1804 AA6IO         59 CA KH6CJJ        59 150
QSO: 21290 PH 2021-03-06 1814 AA6IO         59 CA 3G2K          59 KW
QSO: 21322 PH 2021-03-06 1827 AA6IO         59 CA ZW5B          59 KW
QSO: 21369 PH 2021-03-06 2207 AA6IO         59 CA WH6FAM        59 KW
QSO: 21000 PH 2021-03-06 2208 AA6IO         59 CA PR4T          59 KW
QSO: 21319 PH 2021-03-06 2210 AA6IO         59 CA KP2M          59 KW
QSO: 21310 PH 2021-03-06 2211 AA6IO         59 CA ZM4T          59 KW
QSO: 21270 PH 2021-03-06 2214 AA6IO         59 CA XQ1KZ         59 KW
QSO: 21276 PH 2021-03-07 1704 AA6IO         59 CA FS4WBS        59 KW
QSO: 21273 PH 2021-03-07 1706 AA6IO         59 CA WP3R          59 150
QSO: 21250 PH 2021-03-07 1708 AA6IO         59 CA CX7SS         59 KW
QSO: 21211 PH 2021-03-07 1711 AA6IO         59 CA HI3LT         59 KW
QSO: 21224 PH 2021-03-07 1714 AA6IO         59 CA HP3SS         59 KW
QSO: 21319 PH 2021-03-07 1726 AA6IO         59 CA J68HZ         59 K
QSO: 21253 PH 2021-03-07 1737 AA6IO         59 CA LT7F          59 KW
QSO: 21328 PH 2021-03-07 1745 AA6IO         59 CA FM5BH         59 KW
QSO: 21344 PH 2021-03-07 1748 AA6IO         59 CA ZF1A          59 K
QSO: 21301 PH 2021-03-07 2010 AA6IO         59 CA KH7M          59 K
QSO: 21268 PH 2021-03-07 2012 AA6IO         59 CA HI3T          59 100
QSO: 21215 PH 2021-03-07 2017 AA6IO         59 CA V31MA         59 100
QSO: 14000 PH 2021-03-07 2026 AA6IO         59 CA KL7RA         59 KW
END-OF-LOG:
