START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-SSB
CALLSIGN: N8PDS
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N8PDS
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-SSB ARRL/arrl_international_dx_phone_contest/2023.
QSO: 28582 PH 2023-03-04 1431 N8PDS         59 OH TI5GCO        59 100
QSO: 21447 PH 2023-03-04 1513 N8PDS         59 OH S50K          59 KW
QSO: 21405 PH 2023-03-04 1516 N8PDS         59 OH EF5K          59 KW
QSO: 21388 PH 2023-03-04 1517 N8PDS         59 OH OG3B          59 KW
QSO: 21382 PH 2023-03-04 1523 N8PDS         59 OH DF8XC         59 600
QSO: 21332 PH 2023-03-04 1532 N8PDS         59 OH PJ4G          59 K
QSO: 21325 PH 2023-03-04 1536 N8PDS         59 OH 9A3TR         59 KW
QSO: 21315 PH 2023-03-04 1539 N8PDS         59 OH S55OO         59 KW
QSO: 21310 PH 2023-03-04 1541 N8PDS         59 OH SN2M          59 KW
QSO: 21297 PH 2023-03-04 1550 N8PDS         59 OH TM6M          59 KW
QSO: 21336 PH 2023-03-04 1557 N8PDS         59 OH OH1F          59 K
QSO: 21339 PH 2023-03-04 1600 N8PDS         59 OH YL7X          59 KW
QSO: 21358 PH 2023-03-04 1607 N8PDS         59 OH SN5X          59 KW
QSO: 21385 PH 2023-03-04 1829 N8PDS         59 OH RW1F          59 1000
QSO: 21392 PH 2023-03-04 1832 N8PDS         59 OH F4GGQ         59 1000
QSO: 28506 PH 2023-03-04 1848 N8PDS         59 OH S58D          59 KW
QSO: 28536 PH 2023-03-04 1855 N8PDS         59 OH MW0ZZK        59 400
QSO: 28567 PH 2023-03-04 1859 N8PDS         59 OH ED1R          59 1000
QSO: 28590 PH 2023-03-04 1902 N8PDS         59 OH GM5G          59 400
QSO: 28660 PH 2023-03-04 1910 N8PDS         59 OH ED3E          59 KW
QSO: 28739 PH 2023-03-04 1926 N8PDS         59 OH PU2MST        59 LOW
END-OF-LOG:
