START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-SSB
CALLSIGN: ON3SCA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: ON3SCA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-SSB ARRL/arrl_international_dx_phone_contest/2023.
QSO: 28820 PH 2023-03-04 1626 ON3SCA        59 65 K0AP          59 KS
QSO: 28828 PH 2023-03-04 1804 ON3SCA        59 25 K0EJ          59 TN
QSO: 28721 PH 2023-03-04 1807 ON3SCA        59 25 KX2T          59 FL
QSO: 21264 PH 2023-03-05 1202 ON3SCA        59 25 K1RX          59 NH
QSO: 14314 PH 2023-03-05 2013 ON3SCA        59 25 W1NT          59 NH
QSO: 14235 PH 2023-03-05 2014 ON3SCA        59 25 K2XA          59 NY
QSO: 14181 PH 2023-03-05 2017 ON3SCA        59 25 W3GM          59 PA
QSO: 14237 PH 2023-03-05 2021 ON3SCA        59 25 W4NF          59 VA
QSO: 14192 PH 2023-03-05 2023 ON3SCA        59 25 K9RS          59 DE
QSO: 14163 PH 2023-03-05 2024 ON3SCA        59 25 K1TTT         59 MA
QSO: 14154 PH 2023-03-05 2032 ON3SCA        59 25 NG1M          59 RI
QSO: 14196 PH 2023-03-05 2046 ON3SCA        59 25 KQ2M          59 CT
QSO: 14181 PH 2023-03-05 2050 ON3SCA        59 25 K1KI          59 CT
QSO: 14168 PH 2023-03-05 2053 ON3SCA        59 25 WA2CP         59 NY
QSO: 14164 PH 2023-03-05 2054 ON3SCA        59 25 AA1K          59 DE
QSO: 14335 PH 2023-03-05 2057 ON3SCA        59 25 KQ3F          59 PA
QSO: 14195 PH 2023-03-05 2230 ON3SCA        59 25 WY3A          59 PA
QSO: 14283 PH 2023-03-05 2238 ON3SCA        59 25 K2AX          59 NJ
QSO: 14186 PH 2023-03-05 2249 ON3SCA        59 25 AA3B          59 PA
QSO: 14172 PH 2023-03-05 2251 ON3SCA        59 25 N2SR          59 NJ
QSO: 14219 PH 2023-03-05 2259 ON3SCA        59 25 N3RD          59 PA
QSO: 14188 PH 2023-03-05 2300 ON3SCA        59 25 K1TTT         59 MA
QSO: 14159 PH 2023-03-05 2301 ON3SCA        59 25 K3PP          59 PA
END-OF-LOG:
