START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-SSB
CALLSIGN: HL5FEE
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: HL5FEE
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-SSB ARRL/arrl_international_dx_phone_contest/2024.
QSO: 21206 PH 2024-03-02 0021 HL5FEE        59 KW KU2M          59 NJ
QSO: 21211 PH 2024-03-02 0023 HL5FEE        59 KW ND7K          59 AZ
QSO: 21230 PH 2024-03-02 0025 HL5FEE        59 KW K5GN          59 TX
QSO: 21251 PH 2024-03-02 0027 HL5FEE        59 K N6WM          59 CA
QSO: 21348 PH 2024-03-02 0033 HL5FEE        59 KW K7RL          59 WA
QSO: 28365 PH 2024-03-02 0040 HL5FEE        59 KW N9RV          59 MT
QSO: 28458 PH 2024-03-02 0043 HL5FEE        59 KW K9BGL         59 IL
QSO: 28000 PH 2024-03-02 0044 HL5FEE        59 KW N6KN          59 CA
QSO: 28510 PH 2024-03-02 0046 HL5FEE        59 KW VE5MX         59 SK
QSO: 28569 PH 2024-03-02 0049 HL5FEE        59 K N5YT          59 MS
QSO: 28599 PH 2024-03-02 0050 HL5FEE        59 KW K5TR          59 TX
QSO: 28482 PH 2024-03-02 0113 HL5FEE        59 KW N7DD          59 AZ
QSO: 28647 PH 2024-03-02 0125 HL5FEE        59 1K HJ3ESF        59 100
QSO: 28524 PH 2024-03-02 0127 HL5FEE        59 KW K4WI          59 AL
QSO: 21341 PH 2024-03-02 0252 HL5FEE        59 K K4AB          59 AL
QSO: 21320 PH 2024-03-02 0254 HL5FEE        59 KW K7RL          59 WA
QSO: 21311 PH 2024-03-02 0255 HL5FEE        59 K VA7KK         59 BC
QSO: 28413 PH 2024-03-02 2237 HL5FEE        59 K K3EST         59 CA
QSO: 28452 PH 2024-03-02 2241 HL5FEE        59 K K6LL          59 AZ
QSO: 28000 PH 2024-03-02 2242 HL5FEE        59 1000 WA7NB         59 AZ
QSO: 28000 PH 2024-03-02 2245 HL5FEE        59 1000 W6AFA         59 CA
QSO: 28477 PH 2024-03-02 2248 HL5FEE        59 K N7RVD         59 WA
QSO: 28555 PH 2024-03-02 2258 HL5FEE        59 K W6PH          59 CA
QSO: 28627 PH 2024-03-02 2303 HL5FEE        59 K WZ8T          59 WA
QSO: 28615 PH 2024-03-02 2313 HL5FEE        59 KW N4OX          59 FL
QSO: 28550 PH 2024-03-02 2318 HL5FEE        59 KW K9CT          59 IL
QSO: 28520 PH 2024-03-02 2323 HL5FEE        59 K VE6UM         59 AB
QSO: 28503 PH 2024-03-02 2329 HL5FEE        59 KW K5TR          59 TX
QSO: 21266 PH 2024-03-02 2347 HL5FEE        59 K WX3B          59 MD
QSO: 21257 PH 2024-03-02 2349 HL5FEE        59 KW VA7BEC        59 BC
QSO: 21251 PH 2024-03-03 0008 HL5FEE        59 KW N7RQ          59 AZ
QSO: 21242 PH 2024-03-03 0009 HL5FEE        59 KW K8AZ          59 OH
QSO: 21232 PH 2024-03-03 0010 HL5FEE        59 KW W3LPL         59 MD
QSO: 21200 PH 2024-03-03 0013 HL5FEE        59 KW K3LR          59 PA
END-OF-LOG:
