START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-SSB
CALLSIGN: AE5T
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: AE5T
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-SSB ARRL/arrl_international_dx_phone_contest/2025.
QSO: 28407 PH 2025-03-01 1814 AE5T          59 LA IP4X          59 500
QSO: 28000 PH 2025-03-01 1816 AE5T          59 LA EA5TS         59 KW
QSO: 28427 PH 2025-03-01 1823 AE5T          59 LA D4K           59 1000
QSO: 28447 PH 2025-03-02 0040 AE5T          59 LA PT5J          59 1000
QSO: 28450 PH 2025-03-02 0059 AE5T          59 LA PY2EX         59 100
QSO: 28477 PH 2025-03-02 0103 AE5T          59 LA JR1GSE        59 1000
QSO: 28536 PH 2025-03-02 0110 AE5T          59 LA PW2E          59 KW
QSO: 28536 PH 2025-03-02 0110 AE5T          59 LA PW2E          59 KW
QSO: 28444 PH 2025-03-02 1831 AE5T          59 LA TM1C          59 KW
QSO: 28451 PH 2025-03-02 1833 AE5T          59 LA J62K          59 K
QSO: 28465 PH 2025-03-02 1836 AE5T          59 LA TM0T          59 KW
QSO: 28467 PH 2025-03-02 1837 AE5T          59 LA TM2Y          59 1000
QSO: 28485 PH 2025-03-02 1846 AE5T          59 LA TM6M          59 KW
QSO: 28489 PH 2025-03-02 1848 AE5T          59 LA PC2T          59 400
QSO: 28000 PH 2025-03-02 1851 AE5T          59 LA TI2OY         59 100
QSO: 28494 PH 2025-03-02 1853 AE5T          59 LA GM5G          59 KW
QSO: 28506 PH 2025-03-02 1859 AE5T          59 LA J75A          59 K
QSO: 28511 PH 2025-03-02 1900 AE5T          59 LA ED1R          59 100
QSO: 28521 PH 2025-03-02 1905 AE5T          59 LA CR3DX         59 K
QSO: 28526 PH 2025-03-02 1909 AE5T          59 LA CR6K          59 1000
QSO: 28530 PH 2025-03-02 1914 AE5T          59 LA ZF2VE         59 100
QSO: 28532 PH 2025-03-02 1917 AE5T          59 LA CR3W          59 1000
QSO: 28535 PH 2025-03-02 1919 AE5T          59 LA 9Z4CT         59 100
QSO: 28542 PH 2025-03-02 1920 AE5T          59 LA TM1W          59 100
QSO: 28544 PH 2025-03-02 1922 AE5T          59 LA KP3J          59 K
QSO: 28545 PH 2025-03-02 1924 AE5T          59 LA EA5TS         59 KW
QSO: 28558 PH 2025-03-02 1926 AE5T          59 LA P49Y          59 K
QSO: 28000 PH 2025-03-02 1933 AE5T          59 LA TI2KI         59 100
QSO: 28570 PH 2025-03-02 1941 AE5T          59 LA ED3X          59 1000
QSO: 28591 PH 2025-03-02 1950 AE5T          59 LA ZF1A          59 K
QSO: 28597 PH 2025-03-02 1951 AE5T          59 LA EA1X          59 KW
QSO: 28600 PH 2025-03-02 1956 AE5T          59 LA ED8W          59 KW
QSO: 21285 PH 2025-03-02 2024 AE5T          59 LA ED7W          59 KW
END-OF-LOG:
