START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-VHF-JUN
CALLSIGN: N1JHJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N1JHJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-VHF-JUN ARRL/arrl_june_vhf_contest/2019.
QSO:   144 PH 2019-06-09 1424 N1JHJ         FN43 AF1T          FN43
QSO:   432 PH 2019-06-09 1426 N1JHJ         FN43 AF1T          FN43
QSO:    50 PH 2019-06-10 0007 N1JHJ         FN43 AF1T          FN43
QSO:   222 PH 2019-06-10 0008 N1JHJ         FN43 AF1T          FN43
QSO:  1.2G PH 2019-06-10 0012 N1JHJ         FN43 AF1T          FN43
QSO:  1.2G PH 2019-06-10 0012 N1JHJ         FN43 W1FKF         FN43
QSO:   144 PH 2019-06-10 0018 N1JHJ         FN43 W1FKF         FN43
QSO:    50 DG 2019-06-10 0020 N1JHJ         FN43 W1FKF         FN43
QSO:   222 DG 2019-06-10 0023 N1JHJ         FN43 W1FKF         FN43
QSO:   222 CW 2019-06-10 0107 N1JHJ         FN43 W1MKY         FN43
QSO:   432 CW 2019-06-10 0108 N1JHJ         FN43 W1MKY         FN43
QSO:    50 CW 2019-06-10 0109 N1JHJ         FN43 W1MKY         FN43
QSO:   144 CW 2019-06-10 0110 N1JHJ         FN43 W1MKY         FN43
QSO:  1.2G CW 2019-06-10 0113 N1JHJ         FN43 W1MKY         FN43
QSO:   144 PH 2019-06-10 0120 N1JHJ         FN43 W1XM          FN42
QSO:    50 PH 2019-06-10 0122 N1JHJ         FN43 W1XM          FN42
QSO:   144 PH 2019-06-10 0138 N1JHJ         FN43 KV1J          FN44
QSO:   144 PH 2019-06-10 0154 N1JHJ         FN43 K1TR          FN42
QSO:    50 PH 2019-06-10 0155 N1JHJ         FN43 K1TR          FN42
END-OF-LOG:
