START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-VHF-JUN
CALLSIGN: K8ED
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K8ED
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-VHF-JUN ARRL/arrl_june_vhf_contest/2021.
QSO:    50 PH 2021-06-12 2257 K8ED          EN82 K1TO          EL87
QSO:    50 CW 2021-06-13 1258 K8ED          EN82 N3MK          FM27
QSO:    50 PH 2021-06-13 1259 K8ED          EN82 AD4ES         EL98
QSO:    50 CW 2021-06-13 1301 K8ED          EN82 K4PI          EM73
QSO:    50 PH 2021-06-13 1418 K8ED          EN82 K5QE          EM31
QSO:    50 PH 2021-06-13 1426 K8ED          EN82 WO4O          EL98
QSO:    50 CW 2021-06-13 1433 K8ED          EN82 N4WW          EL98
QSO:    50 CW 2021-06-13 1435 K8ED          EN82 WQ5L          EM50
QSO:    50 PH 2021-06-13 1439 K8ED          EN82 KM4HI         EL89
QSO:    50 CW 2021-06-13 1442 K8ED          EN82 N6AR          EL98
QSO:    50 CW 2021-06-13 1453 K8ED          EN82 W2OR          EL99
QSO:    50 CW 2021-06-13 1459 K8ED          EN82 NF4A          EM70
QSO:    50 CW 2021-06-13 1501 K8ED          EN82 N5RZ          EM00
QSO:    50 CW 2021-06-13 1515 K8ED          EN82 W0VX          EM12
QSO:    50 PH 2021-06-13 1517 K8ED          EN82 N5BO          EM60
QSO:    50 CW 2021-06-13 1522 K8ED          EN82 K5PI          EM00
QSO:    50 CW 2021-06-14 0224 K8ED          EN82 K8BB          EN82
QSO:   144 CW 2021-06-14 0226 K8ED          EN82 K8BB          EN82
END-OF-LOG:
