START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-VHF-JUN
CALLSIGN: W4JVN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W4JVN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-VHF-JUN ARRL/arrl_june_vhf_contest/2021.
QSO:    50 DG 2021-06-12 1825 W4JVN         FM17 K3WA          FM05
QSO:    50 RY 2021-06-12 1829 W4JVN         FM17 WD0FYV        FM17
QSO:    50 DG 2021-06-12 1837 W4JVN         FM17 K3TN          FM19
QSO:    50 DG 2021-06-12 1838 W4JVN         FM17 N3FJP         FM19
QSO:    50 DG 2021-06-12 2153 W4JVN         FM17 N6MI          DM15
QSO:    50 DG 2021-06-12 2158 W4JVN         FM17 N0VT          EM47
QSO:    50 DG 2021-06-12 2220 W4JVN         FM17 K7ZYV         EM50
QSO:    50 DG 2021-06-12 2233 W4JVN         FM17 K5HDE         EM40
QSO:    50 RY 2021-06-12 2238 W4JVN         FM17 N3CMH         EM60
QSO:    50 DG 2021-06-12 2248 W4JVN         FM17 W5JAY         EM26
QSO:    50 PH 2021-06-13 1300 W4JVN         FM17 WQ0P          EM19
QSO:    50 PH 2021-06-13 1306 W4JVN         FM17 K8MR          EN91
QSO:    50 DG 2021-06-13 1526 W4JVN         FM17 CO3VR         EL93
QSO:    50 PH 2021-06-13 1534 W4JVN         FM17 KD5JRY        EM40
QSO:    50 PH 2021-06-13 1548 W4JVN         FM13 EA8BPX        IL18
QSO:    50 PH 2021-06-13 1554 W4JVN         FM17 AD4ES         EL98
QSO:    50 RY 2021-06-13 1554 W4JVN         FM17 WN2E          EM60
QSO:    50 PH 2021-06-13 1556 W4JVN         FM17 WA4GPM        EM90
QSO:    50 DG 2021-06-13 1933 W4JVN         FM17 K5VIP         FM16
END-OF-LOG:
