START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-VHF-JUN
CALLSIGN: N6RH
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N6RH
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-VHF-JUN ARRL/arrl_june_vhf_contest/2022.
QSO:    50 RY 2022-06-12 1924 N6RH          EM21 KB8U          EN71
QSO:    50 RY 2022-06-12 1937 N6RH          EM21 VE3WY         FN04
QSO:    50 DG 2022-06-12 1945 N6RH          EM21 W3SO          FN00
QSO:    50 DG 2022-06-12 1948 N6RH          EM21 N5HHS         EL29
QSO:    50 DG 2022-06-12 1951 N6RH          EM21 W5PR          EL29
QSO:    50 DG 2022-06-12 2005 N6RH          EM21 K0VG          EN27
QSO:    50 DG 2022-06-12 2006 N6RH          EM21 AB0S          EM09
QSO:    50 DG 2022-06-12 2009 N6RH          EM21 NY1V          EM69
QSO:    50 DG 2022-06-12 2017 N6RH          EM21 N8GA          EN80
QSO:    50 DG 2022-06-12 2021 N6RH          EM21 K8MM          EN83
QSO:    50 DG 2022-06-12 2032 N6RH          EM21 K3FR          FM18
QSO:    50 RY 2022-06-12 2034 N6RH          EM21 AC0RA         EN15
QSO:    50 DG 2022-06-12 2038 N6RH          EM21 W2TT          FN31
QSO:    50 DG 2022-06-12 2041 N6RH          EM21 AA3R          FM29
QSO:    50 DG 2022-06-12 2043 N6RH          EM21 K8GP          FM09
QSO:    50 DG 2022-06-12 2052 N6RH          EM21 NV9L          EN60
QSO:    50 DG 2022-06-12 2055 N6RH          EM21 N3FX          FM19
QSO:    50 DG 2022-06-12 2104 N6RH          EM21 K9OM          EN65
QSO:    50 DG 2022-06-12 2105 N6RH          EM21 W4IY          FM08
QSO:    50 DG 2022-06-12 2105 N6RH          EM21 W8DPK         EM89
END-OF-LOG:
