START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-VHF-JUN
CALLSIGN: NY2PO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: NY2PO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-VHF-JUN ARRL/arrl_june_vhf_contest/2022.
QSO:    50 CW 2022-06-12 0107 NY2PO         FN21 W0ZA          EN00
QSO:    50 CW 2022-06-12 0109 NY2PO         FN21 W2SZ          FN32
QSO:    50 CW 2022-06-12 0113 NY2PO         FN21 N0AX          EM48
QSO:    50 CW 2022-06-12 0113 NY2PO         FN21 N2RC          FN21
QSO:    50 CW 2022-06-12 0115 NY2PO         FN21 K1KI          FN32
QSO:    50 CW 2022-06-12 0129 NY2PO         FN21 N9TF          EM66
QSO:    50 CW 2022-06-12 0130 NY2PO         FN21 AA4ZZ         EM96
QSO:    50 CW 2022-06-12 0133 NY2PO         FN21 K9NW          EM79
QSO:    50 CW 2022-06-12 0139 NY2PO         FN21 K5PI          EM00
QSO:    50 CW 2022-06-12 0145 NY2PO         FN21 N5RZ          EM00
QSO:    50 CW 2022-06-12 0151 NY2PO         FN21 W4NZ          EM75
QSO:    50 CW 2022-06-12 0156 NY2PO         FN21 K3CT          FN20
QSO:    50 CW 2022-06-12 0157 NY2PO         FN21 WI9WI         EN45
QSO:    50 CW 2022-06-12 0207 NY2PO         FN21 N0IS          EM48
QSO:    50 CW 2022-06-12 1326 NY2PO         FN21 W2SZ          FN32
QSO:    50 CW 2022-06-12 1332 NY2PO         FN21 W1RM          FN31
QSO:    50 CW 2022-06-12 1333 NY2PO         FN21 K5FUV         EM26
END-OF-LOG:
