START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-VHF-JUN
CALLSIGN: K5QR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K5QR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-VHF-JUN ARRL/arrl_june_vhf_contest/2023.
QSO:    50 CW 2023-06-11 1907 K5QR          EM13 NR7T          DM37
QSO:    50 CW 2023-06-11 1909 K5QR          EM13 NJ4Q          FM07
QSO:    50 CW 2023-06-11 1919 K5QR          EM13 K5LY          EM13
QSO:    50 CW 2023-06-11 1926 K5QR          EM13 N3QE          FM19
QSO:    50 CW 2023-06-11 1928 K5QR          EM13 W3IP          FM19
QSO:    50 CW 2023-06-11 1933 K5QR          EM13 NU6S          CM87
QSO:    50 CW 2023-06-11 1933 K5QR          EM13 W3IP          FM19
QSO:    50 CW 2023-06-11 1948 K5QR          EM13 VE3MIS        FN03
QSO:    50 CW 2023-06-11 1956 K5QR          EM13 W0VX          EM12
QSO:    50 CW 2023-06-11 1958 K5QR          EM13 W1NN          EN91
QSO:    50 CW 2023-06-11 2024 K5QR          EM13 VE3EJ         FN03
QSO:    50 CW 2023-06-11 2026 K5QR          EM13 WA3AER        FM19
QSO:    50 CW 2023-06-11 2051 K5QR          EM13 WB9HFK        EN50
QSO:    50 CW 2023-06-11 2054 K5QR          EM13 AA4ZZ         EM96
QSO:    50 CW 2023-06-11 2055 K5QR          EM13 W2SZ          FN32
QSO:    50 CW 2023-06-11 2056 K5QR          EM13 N2NT          FN20
QSO:    50 CW 2023-06-11 2057 K5QR          EM13 AB3AH         FM19
QSO:    50 CW 2023-06-11 2142 K5QR          EM13 N0AX          EM48
QSO:    50 CW 2023-06-11 2143 K5QR          EM13 K5MR          EM13
END-OF-LOG:
