START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-VHF-JUN
CALLSIGN: KF2T
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KF2T
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-VHF-JUN ARRL/arrl_june_vhf_contest/2025.
QSO:    50 DG 2025-06-14 2134 KF2T          FM19 KB3GFK        FM19
QSO:    50 DG 2025-06-14 2137 KF2T          FM19 N2SCJ         FM29
QSO:    50 DG 2025-06-15 1617 KF2T          FM19 KB0V          EN40
QSO:    50 DG 2025-06-15 1622 KF2T          FM19 N3DUE         FM19
QSO:    50 DG 2025-06-15 1624 KF2T          FM19 WA2OTC        FM19
QSO:    50 DG 2025-06-15 1627 KF2T          FM19 AC9S          EN50
QSO:    50 DG 2025-06-15 1628 KF2T          FM19 K9WX          EN60
QSO:    50 DG 2025-06-15 1645 KF2T          FM19 K1HC          FN53
QSO:    50 DG 2025-06-15 1701 KF2T          FM19 K3FR          FM18
QSO:    50 DG 2025-06-15 1806 KF2T          FM19 KN4SGS        FM18
QSO:    50 DG 2025-06-15 1808 KF2T          FM19 W3IP          FM19
QSO:    50 DG 2025-06-15 1809 KF2T          FM19 W3FAY         FM18
QSO:    50 DG 2025-06-15 1810 KF2T          FM19 AE3T          FM19
QSO:    50 DG 2025-06-15 1815 KF2T          FM19 K3TC          FM19
QSO:    50 DG 2025-06-15 2018 KF2T          FM19 K1HTV         FM18
QSO:    50 DG 2025-06-15 2020 KF2T          FM19 W4AD          FM08
QSO:    50 DG 2025-06-15 2021 KF2T          FM19 K3UA          EN91
QSO:    50 DG 2025-06-15 2023 KF2T          FM19 N3MK          FM27
QSO:    50 DG 2025-06-15 2024 KF2T          FM19 K3UA          EN91
QSO:    50 DG 2025-06-15 2026 KF2T          FM19 WN3A          FN10
END-OF-LOG:
