START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-VHF-SEP
CALLSIGN: KA9FOX
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KA9FOX
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-VHF-SEP ARRL/arrl_september_vhf_contest/2025.
QSO:   144 DG 2025-09-14 1600 KA9FOX        EN43 KO9A          EN52
QSO:   144 DG 2025-09-14 1602 KA9FOX        EN43 K2DRH         EN41
QSO:   144 DG 2025-09-14 1606 KA9FOX        EN43 AC9DX         EN45
QSO:   144 DG 2025-09-14 1610 KA9FOX        EN43 KC9NJZ/R      EN52
QSO:   144 DG 2025-09-14 1630 KA9FOX        EN43 WE9R          EN63
QSO:   144 DG 2025-09-14 1636 KA9FOX        EN43 N2CB          EN75
QSO:    50 DG 2025-09-15 0153 KA9FOX        EN43 KO9A          EN52
QSO:    50 DG 2025-09-15 0155 KA9FOX        EN43 K0AWU         EN37
QSO:    50 DG 2025-09-15 0214 KA9FOX        EN43 K2DRH         EN41
QSO:    50 DG 2025-09-15 0214 KA9FOX        EN43 N8GA          EN80
QSO:    50 RY 2025-09-15 0215 KA9FOX        EN43 NY0V          EN33
QSO:    50 DG 2025-09-15 0217 KA9FOX        EN43 NJ9R          EN62
QSO:    50 DG 2025-09-15 0218 KA9FOX        EN43 AC9DX         EN45
QSO:   144 DG 2025-09-15 0223 KA9FOX        EN43 K8IE/R        EN42
QSO:   144 DG 2025-09-15 0238 KA9FOX        EN43 NJ9R          EN62
QSO:   144 DG 2025-09-15 0239 KA9FOX        EN43 AC9S          EN50
QSO:   144 DG 2025-09-15 0239 KA9FOX        EN43 N8GA          EN80
QSO:   432 DG 2025-09-15 0259 KA9FOX        EN44 AC9DX         EN45
END-OF-LOG:
