START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: PD1JN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PD1JN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2018.
QSO: 14000 PH 2018-07-14 1201 PD1JN         59 27 LY0HQ         59 LRMD
QSO: 14240 PH 2018-07-14 1208 PD1JN         59 27 S50HQ         59 ZRS
QSO: 14245 PH 2018-07-14 1214 PD1JN         59 27 TM0HQ         59 REF
QSO: 14125 PH 2018-07-14 1222 PD1JN         59 27 OH6K          59 18
QSO: 14160 PH 2018-07-14 1225 PD1JN         59 27 SP5C          59 28
QSO: 14177 PH 2018-07-14 1230 PD1JN         59 27 IR4K          59 28
QSO: 14169 PH 2018-07-14 1241 PD1JN         59 27 M0NKR         59 27
QSO: 14173 PH 2018-07-14 1246 PD1JN         59 27 SN7D          59 28
QSO: 14225 PH 2018-07-14 1255 PD1JN         59 27 HG0HQ         59 MRASZ
QSO: 14177 PH 2018-07-14 1338 PD1JN         59 27 LZ7HQ         59 BFRA
QSO: 14000 PH 2018-07-14 1355 PD1JN         59 27 F6DRP         59 27
QSO: 14000 PH 2018-07-14 1404 PD1JN         59 27 F6DZU         59 27
QSO: 14000 PH 2018-07-14 1406 PD1JN         59 27 9A0HQ         59 HRS
QSO: 14233 PH 2018-07-14 1737 PD1JN         59 27 PA6HQ         59 VERON
QSO: 14237 PH 2018-07-14 1748 PD1JN         59 27 YR0HQ         59 FRR
QSO: 14155 PH 2018-07-14 1753 PD1JN         59 27 Y87M          59 28
QSO: 14158 PH 2018-07-14 1758 PD1JN         59 27 EA3IBV        59 37
QSO: 14000 PH 2018-07-14 1807 PD1JN         59 27 IV3JVJ        59 28
QSO: 14188 PH 2018-07-14 1817 PD1JN         59 27 DM0Y          59 28
QSO: 14200 PH 2018-07-14 1822 PD1JN         59 27 YO7SR         59 28
QSO: 14203 PH 2018-07-14 1825 PD1JN         59 27 EM5HQ         59 UARL
QSO: 14219 PH 2018-07-14 1829 PD1JN         59 27 HG6N          59 28
QSO: 14225 PH 2018-07-14 1832 PD1JN         59 27 S57S          59 28
QSO: 14137 PH 2018-07-14 1836 PD1JN         59 27 EI0HQ         59 IRTS
QSO: 14183 PH 2018-07-14 1842 PD1JN         59 27 Y82F          59 28
QSO: 14234 PH 2018-07-14 1902 PD1JN         59 27 F4GKR/P       59 R1
QSO: 14214 PH 2018-07-14 1915 PD1JN         59 27 F5TRO         59 27
QSO: 14167 PH 2018-07-14 1926 PD1JN         59 27 IW1FRU        59 28
QSO: 14171 PH 2018-07-14 1929 PD1JN         59 27 F/PD1RP       59 27
QSO: 14154 PH 2018-07-14 1947 PD1JN         59 27 SP9N          59 28
QSO: 14240 PH 2018-07-15 0655 PD1JN         59 27 EW6W          59 29
QSO: 14187 PH 2018-07-15 0708 PD1JN         59 27 EF1W          59 37
QSO: 14205 PH 2018-07-15 0716 PD1JN         59 27 EV1R          59 29
QSO: 14241 PH 2018-07-15 0724 PD1JN         59 27 EA3PT         59 37
QSO: 14016 PH 2018-07-15 0733 PD1JN         59 27 YL3CW         59 29
QSO: 14210 PH 2018-07-15 0758 PD1JN         59 27 LZ7HQ         59 BFRA
QSO: 14232 PH 2018-07-15 0803 PD1JN         59 27 YO9HP         59 28
QSO: 14249 PH 2018-07-15 0814 PD1JN         59 27 IO4HQ         59 ARI
QSO: 14000 PH 2018-07-15 0832 PD1JN         59 27 US5D          59 29
QSO: 14221 PH 2018-07-15 1052 PD1JN         59 27 UZ3A          59 29
QSO: 14234 PH 2018-07-15 1059 PD1JN         59 27 ES5RW         59 29
QSO: 14132 PH 2018-07-15 1103 PD1JN         59 27 EI7T          59 27
QSO: 14137 PH 2018-07-15 1111 PD1JN         59 27 F6IRA         59 27
QSO: 14141 PH 2018-07-15 1114 PD1JN         59 27 LY5E          59 29
QSO: 14000 PH 2018-07-15 1126 PD1JN         59 27 LC5K          59 18
QSO: 14183 PH 2018-07-15 1133 PD1JN         59 27 OG6N          59 18
QSO: 14240 PH 2018-07-15 1140 PD1JN         59 27 GM5M          59 27
END-OF-LOG:
