START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: HA3OU/P/QRP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: HA3OU/P/QRP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2020.
QSO: 14021 CW 2020-07-11 1640 HA3OU/P/QRP   599 28 LN2HQ         599 NRRL
QSO: 14000 CW 2020-07-11 1730 HA3OU/P/QRP   599 28 RW2F          599 29
QSO: 14000 CW 2020-07-11 1734 HA3OU/P/QRP   599 28 YL4HQ         599 LRAL
QSO: 14017 CW 2020-07-11 1742 HA3OU/P/QRP   599 28 LZ0HQ         599 BFRA
QSO: 14014 CW 2020-07-11 1817 HA3OU/P/QRP   599 28 4X6FR         599 39
QSO: 14046 CW 2020-07-11 1837 HA3OU/P/QRP   599 28 YP0K          599 28
QSO: 14051 CW 2020-07-11 1839 HA3OU/P/QRP   599 28 UY7C          599 29
QSO: 14020 CW 2020-07-11 1910 HA3OU/P/QRP   599 28 DK9IP         599 28
QSO: 14032 CW 2020-07-11 1917 HA3OU/P/QRP   599 28 DA0HQ         599 DARC
QSO: 14052 CW 2020-07-11 2006 HA3OU/P/QRP   599 28 CR6K          599 37
QSO: 14061 CW 2020-07-11 2040 HA3OU/P/QRP   599 28 OR2F          599 27
QSO: 14016 CW 2020-07-11 2121 HA3OU/P/QRP   599 28 LZ5R          599 28
QSO: 14038 CW 2020-07-12 0455 HA3OU/P/QRP   599 28 UT5UGR        599 29
QSO: 14064 CW 2020-07-12 0506 HA3OU/P/QRP   599 28 LZ1QZ         599 28
QSO: 14020 CW 2020-07-12 0519 HA3OU/P/QRP   599 28 RU1A          599 29
QSO: 14024 CW 2020-07-12 0522 HA3OU/P/QRP   599 28 C4W           599 39
QSO: 14000 CW 2020-07-12 0548 HA3OU/P/QRP   599 28 YO8RXP        599 28
QSO: 14040 CW 2020-07-12 0559 HA3OU/P/QRP   599 28 RG6G          599 29
QSO: 14005 CW 2020-07-12 0620 HA3OU/P/QRP   599 28 EM5HQ         599 UARL
QSO: 14019 CW 2020-07-12 0628 HA3OU/P/QRP   599 28 UR5R          599 29
QSO: 14027 CW 2020-07-12 0631 HA3OU/P/QRP   599 28 LZ9W          599 28
QSO: 14000 CW 2020-07-12 0638 HA3OU/P/QRP   599 28 YL5W          599 29
QSO: 14057 CW 2020-07-12 0642 HA3OU/P/QRP   599 28 RM6Y          599 29
QSO: 14023 CW 2020-07-12 0658 HA3OU/P/QRP   599 28 R3ZZ          599 29
QSO: 14028 CW 2020-07-12 0705 HA3OU/P/QRP   599 28 F6IRA         599 27
QSO: 14029 CW 2020-07-12 0707 HA3OU/P/QRP   599 28 IO5HQ         599 ARI
QSO: 14032 CW 2020-07-12 0708 HA3OU/P/QRP   599 28 HB9ARF        599 28
QSO: 14000 CW 2020-07-12 0712 HA3OU/P/QRP   599 28 LY0HQ         599 LRMD
QSO: 14050 CW 2020-07-12 0731 HA3OU/P/QRP   599 28 OY1CT         599 18
QSO: 14026 CW 2020-07-12 0754 HA3OU/P/QRP   599 28 EF4HQ         599 URE
QSO: 14047 CW 2020-07-12 0803 HA3OU/P/QRP   599 28 IR2Q          599 28
QSO: 14052 CW 2020-07-12 0805 HA3OU/P/QRP   599 28 EU8U          599 29
QSO: 14059 CW 2020-07-12 0807 HA3OU/P/QRP   599 28 LY4L          599 29
QSO: 14020 CW 2020-07-12 0818 HA3OU/P/QRP   599 28 UR7GO         599 29
QSO: 14047 CW 2020-07-12 0829 HA3OU/P/QRP   599 28 IR1G          599 28
QSO: 14057 CW 2020-07-12 0834 HA3OU/P/QRP   599 28 UX1VT         599 29
QSO: 14000 CW 2020-07-12 0845 HA3OU/P/QRP   599 28 ES7A          599 29
QSO: 14000 CW 2020-07-12 0903 HA3OU/P/QRP   599 28 SX0HQ         599 RAAG
END-OF-LOG:
