START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: UX5VK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UX5VK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2020.
QSO: 14029 CW 2020-07-11 1248 UX5VK         599 29 IO5HQ         599 ARI
QSO: 14044 CW 2020-07-11 1451 UX5VK         599 29 3V8SS         599 37
QSO: 14063 CW 2020-07-11 1458 UX5VK         599 29 HZ7C          599 39
QSO: 14070 CW 2020-07-11 1459 UX5VK         599 29 R0HQ          599 SRR
QSO: 14002 CW 2020-07-11 1500 UX5VK         599 29 RK3T          599 29
QSO: 14017 CW 2020-07-11 1503 UX5VK         599 29 UZ5DX         599 29
QSO: 14018 CW 2020-07-11 1503 UX5VK         599 29 YR0HQ         599 FRR
QSO: 14027 CW 2020-07-11 1505 UX5VK         599 29 EF4HQ         599 URE
QSO: 14001 CW 2020-07-11 2111 UX5VK         599 29 NU1AW         599 IARU
QSO: 14064 CW 2020-07-11 2116 UX5VK         599 29 JH7XMO        599 45
QSO: 14068 CW 2020-07-11 2117 UX5VK         599 29 PA6HQ         599 VERON
QSO: 14023 CW 2020-07-12 0747 UX5VK         599 29 PA3AAV        599 27
QSO: 14023 CW 2020-07-12 0747 UX5VK         599 29 R3ZZ          599 29
QSO: 14025 CW 2020-07-12 0748 UX5VK         599 29 LY5R          599 29
QSO: 14025 CW 2020-07-12 0748 UX5VK         599 29 OH0R          599 18
QSO: 14028 CW 2020-07-12 0755 UX5VK         599 29 F6IRA         599 27
QSO: 14000 CW 2020-07-12 0756 UX5VK         599 29 SN0HQ         599 PZK
QSO: 14031 CW 2020-07-12 0757 UX5VK         599 29 DA0HQ         599 DARC
QSO: 14031 CW 2020-07-12 0758 UX5VK         599 29 LA0CX         599 18
QSO: 14037 CW 2020-07-12 0803 UX5VK         599 29 HB9HQ         599 USKA
QSO: 14038 CW 2020-07-12 0804 UX5VK         599 29 EA2W          599 37
QSO: 14038 CW 2020-07-12 0805 UX5VK         599 29 4Z5LY         599 39
QSO: 14000 CW 2020-07-12 0806 UX5VK         599 29 LY0HQ         599 LRMD
QSO: 14041 CW 2020-07-12 0811 UX5VK         599 29 EA8DHV        599 36
QSO: 14042 CW 2020-07-12 0811 UX5VK         599 29 UT5UGR        599 29
QSO: 14043 CW 2020-07-12 0812 UX5VK         599 29 DL1IAO        599 28
QSO: 14044 CW 2020-07-12 0813 UX5VK         599 29 SN7Q          599 28
QSO: 14047 CW 2020-07-12 0814 UX5VK         599 29 DL4WA         599 28
QSO: 14049 CW 2020-07-12 0816 UX5VK         599 29 OG6N          599 18
QSO: 14050 CW 2020-07-12 0816 UX5VK         599 29 OY1CT         599 18
QSO: 14051 CW 2020-07-12 0818 UX5VK         599 29 R4GM          599 29
QSO: 14052 CW 2020-07-12 0819 UX5VK         599 29 DM3F          599 28
QSO: 14052 CW 2020-07-12 0820 UX5VK         599 29 EU8U          599 29
QSO: 14054 CW 2020-07-12 0821 UX5VK         599 29 DJ5MW         599 28
QSO: 14054 CW 2020-07-12 0821 UX5VK         599 29 DM3K          599 28
