START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: WC3N
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WC3N
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2022.
QSO: 14003 CW 2022-07-09 1624 WC3N          599 08 TF3D          599 17
QSO: 21022 CW 2022-07-09 1626 WC3N          599 08 HA3DX         599 28
QSO: 21007 CW 2022-07-09 1631 WC3N          599 08 EU2F          599 29
QSO: 21008 CW 2022-07-09 1636 WC3N          599 08 CR3DX         599 36
QSO: 21024 CW 2022-07-09 1637 WC3N          599 08 EA6FO         599 37
QSO: 21050 CW 2022-07-09 1644 WC3N          599 08 SN7Q          599 28
QSO: 21023 CW 2022-07-09 1645 WC3N          599 8 S57K          599 28
QSO: 14061 CW 2022-07-09 1649 WC3N          599 08 JH4UYB        599 45
QSO: 14007 CW 2022-07-09 1650 WC3N          599 08 N4SS          599 08
QSO: 14043 CW 2022-07-09 1651 WC3N          599 08 NT6Q          599 06
QSO: 14044 CW 2022-07-09 1651 WC3N          599 08 W1AW          599 ARRL
QSO: 14054 CW 2022-07-09 1653 WC3N          599 08 N5OT          599 07
QSO: 21035 CW 2022-07-09 1655 WC3N          599 08 9A7T          599 28
QSO: 14012 CW 2022-07-09 1658 WC3N          599 08 S50HQ         599 ZRS
QSO: 14057 CW 2022-07-09 1658 WC3N          599 08 AL1G          599 1
QSO: 21019 CW 2022-07-09 1700 WC3N          599 08 N4FCG         599 08
QSO: 21054 CW 2022-07-09 1702 WC3N          599 8 EW1I          599 29
QSO: 21006 CW 2022-07-09 1704 WC3N          599 08 EF4HQ         599 URE
QSO: 21014 CW 2022-07-09 1704 WC3N          599 08 C4HQ          599 CARS
QSO: 21016 CW 2022-07-09 1706 WC3N          599 08 S50HQ         599 ZRS
QSO: 14059 CW 2022-07-09 1707 WC3N          599 08 VE9AA         599 09
QSO: 21034 CW 2022-07-09 1710 WC3N          599 08 SN7X          599 28
QSO: 21020 CW 2022-07-09 1711 WC3N          599 08 OZ1HQ         599 EDR
QSO: 21042 CW 2022-07-09 1712 WC3N          599 08 MD2C          599 27
QSO: 21021 CW 2022-07-09 1713 WC3N          599 08 IR7T          599 28
QSO: 21029 CW 2022-07-09 1715 WC3N          599 08 R6HQ          599 SRR
QSO: 21022 CW 2022-07-09 1716 WC3N          599 08 VX3AT         599 04
QSO: 21031 CW 2022-07-09 1716 WC3N          599 08 DA0HQ         599 DARC
QSO: 21019 CW 2022-07-09 1719 WC3N          599 08 OM2HQ         599 SARA
QSO: 21021 CW 2022-07-09 1719 WC3N          599 08 ZF2VE         599 11
QSO: 21040 CW 2022-07-09 1720 WC3N          599 08 PA6HQ         599 VERON
QSO: 21044 CW 2022-07-09 1724 WC3N          599 08 VE3VN         599 04
QSO: 21047 CW 2022-07-09 1726 WC3N          599 08 E7HQ          599 BA
QSO: 21020 CW 2022-07-09 1729 WC3N          599 08 NH6V          599 61
QSO: 21036 CW 2022-07-09 1730 WC3N          599 08 N7WA          599 06
QSO: 21023 CW 2022-07-09 1733 WC3N          599 08 IR2Q          599 28
QSO: 21020 CW 2022-07-09 1734 WC3N          599 08 RN9C          599 30
QSO: 14032 CW 2022-07-09 1804 WC3N          599 08 DA0HQ         599 DARC
QSO: 14029 CW 2022-07-09 1805 WC3N          599 08 TM0HQ         599 REF
QSO: 14000 CW 2022-07-09 1806 WC3N          599 08 E7HQ          599 BA
QSO: 14000 CW 2022-07-09 1806 WC3N          599 08 Z30HQ         599 RSM
QSO: 14036 CW 2022-07-09 1810 WC3N          599 08 DL3GA         599 28
QSO: 14046 CW 2022-07-09 1811 WC3N          599 08 PA6HQ         599 VERON
QSO: 14022 CW 2022-07-09 1812 WC3N          599 08 SN7X          599 28
QSO: 14000 CW 2022-07-09 1814 WC3N          599 08 SN0HQ         599 PZK
QSO: 14059 CW 2022-07-09 1819 WC3N          599 8 IO9A          599 28
QSO: 21004 CW 2022-07-09 1823 WC3N          599 8 S53MM         599 28
QSO: 14051 CW 2022-07-09 1829 WC3N          599 08 WP3C          599 11
QSO: 14065 CW 2022-07-09 1830 WC3N          599 08 IR2L          599 28
QSO: 14052 CW 2022-07-09 1832 WC3N          599 8 CT1DRB        599 37
QSO: 14000 CW 2022-07-09 1833 WC3N          599 08 9A0HQ         599 HRS
QSO: 14016 CW 2022-07-09 1834 WC3N          599 08 OE0HQ         599 OV
QSO: 14015 CW 2022-07-09 1836 WC3N          599 08 9A7T          599 28
QSO: 14032 CW 2022-07-09 1836 WC3N          599 08 R4HQ          599 SRR
QSO: 14000 CW 2022-07-09 1845 WC3N          599 8 EU1AI         599 29
QSO: 14017 CW 2022-07-09 1845 WC3N          599 08 OM3CW         599 28
QSO: 14031 CW 2022-07-09 1846 WC3N          599 08 SN7Q          599 28
QSO: 14019 CW 2022-07-09 1847 WC3N          599 08 YO4DG         599 28
QSO: 14021 CW 2022-07-09 1848 WC3N          599 08 HG7T          599 28
QSO: 14038 CW 2022-07-09 1848 WC3N          599 08 OH1F          599 18
QSO: 14008 CW 2022-07-09 1850 WC3N          599 08 HA7RY         599 28
QSO: 14027 CW 2022-07-09 1851 WC3N          599 8 IO5HQ         599 ARI
QSO: 14035 CW 2022-07-09 1852 WC3N          599 08 VE3VN         599 04
QSO: 14033 CW 2022-07-09 1854 WC3N          599 08 UA4S          599 29
QSO: 14031 CW 2022-07-09 1855 WC3N          599 08 9A5Y          599 28
QSO: 14034 CW 2022-07-09 1855 WC3N          599 08 MM9I          599 27
QSO: 14006 CW 2022-07-09 1857 WC3N          599 08 LZ6E          599 28
QSO: 21022 CW 2022-07-09 1859 WC3N          599 08 EW5A          599 29
