START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: HG5E
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: HG5E
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2024.
QSO: 14274 PH 2024-07-13 1941 HG5E          59 28 EX9HQ         59 ARUKR
QSO: 14054 CW 2024-07-13 2111 HG5E          599 28 ED8M          599 36
QSO: 14054 CW 2024-07-13 2111 HG5E          599 28 S50HQ         599 ZRS
QSO: 14054 CW 2024-07-13 2111 HG5E          599 28 W3GM          599 08
QSO: 14054 CW 2024-07-13 2112 HG5E          599 28 VE3MA         599 04
QSO: 14054 CW 2024-07-13 2115 HG5E          599 28 N2YO          599 08
QSO: 14054 CW 2024-07-13 2115 HG5E          599 28 VE3TM         599 04
QSO: 14054 CW 2024-07-13 2115 HG5E          599 28 W3TB          599 08
QSO: 14053 CW 2024-07-13 2116 HG5E          599 28 WJ9B          599 6
QSO: 14054 CW 2024-07-13 2116 HG5E          599 28 BA7JMO        599 44
QSO: 14054 CW 2024-07-13 2116 HG5E          599 28 N4CF          599 08
QSO: 14053 CW 2024-07-13 2118 HG5E          599 28 W7RM          599 6
QSO: 14054 CW 2024-07-13 2118 HG5E          599 28 N2GC          599 08
QSO: 14054 CW 2024-07-13 2118 HG5E          599 28 W7II          599 07
QSO: 14000 CW 2024-07-13 2119 HG5E          599 28 K4EJ          599 08
QSO: 14058 CW 2024-07-13 2135 HG5E          599 28 PA6AA         599 27
QSO: 14058 CW 2024-07-13 2136 HG5E          599 28 JA2AXB        599 45
QSO: 14058 CW 2024-07-13 2137 HG5E          599 28 PA1FJ         599 27
QSO: 14058 CW 2024-07-13 2138 HG5E          599 28 JA1CJP        599 R3
QSO: 14058 CW 2024-07-13 2138 HG5E          599 28 N1AU          599 08
QSO: 14000 CW 2024-07-13 2139 HG5E          599 28 RA7KY         599 29
QSO: 14058 CW 2024-07-13 2139 HG5E          599 28 K0MPH         599 07
QSO: 14058 CW 2024-07-13 2139 HG5E          599 28 R2AA          599 29
QSO: 14058 CW 2024-07-13 2139 HG5E          599 28 VE9KK         599 09
QSO: 14058 CW 2024-07-13 2140 HG5E          599 28 K2MK          599 08
QSO: 14058 CW 2024-07-13 2140 HG5E          599 28 RA6L          599 29
QSO: 14058 CW 2024-07-13 2142 HG5E          599 28 VK3GF         599 59
QSO: 14058 CW 2024-07-13 2143 HG5E          599 28 SP1AEN        599 28
QSO: 14058 CW 2024-07-13 2146 HG5E          599 28 AA4SD         599 08
QSO: 14058 CW 2024-07-13 2146 HG5E          599 28 KE4R          599 08
QSO: 14058 CW 2024-07-13 2146 HG5E          599 28 SN0HQ         599 PZK
QSO: 14058 CW 2024-07-13 2147 HG5E          599 28 KV8Q          599 08
QSO: 14058 CW 2024-07-13 2148 HG5E          599 28 G4BRK         599 27
QSO: 14058 CW 2024-07-13 2148 HG5E          599 28 K1SM          599 08
QSO: 14058 CW 2024-07-13 2152 HG5E          599 28 VE3EJ         599 04
QSO: 14058 CW 2024-07-13 2153 HG5E          599 28 UW1M          599 29
QSO: 14058 CW 2024-07-13 2153 HG5E          599 28 YB9ELS        599 54
QSO: 14000 CW 2024-07-13 2154 HG5E          599 28 JA6FFK        599 45
QSO: 14000 CW 2024-07-13 2155 HG5E          599 28 N2EY          599 08
QSO: 14058 CW 2024-07-13 2155 HG5E          599 28 K7QA          599 06
QSO: 14058 CW 2024-07-13 2155 HG5E          599 28 VJ3O          599 R3
QSO: 14058 CW 2024-07-13 2156 HG5E          599 28 EA5DO         599 37
QSO: 14058 CW 2024-07-13 2157 HG5E          599 28 NV3K          599 08
QSO: 14058 CW 2024-07-13 2157 HG5E          599 28 UI3A          599 29
QSO: 14058 CW 2024-07-13 2158 HG5E          599 28 KD2HE         599 08
QSO: 14058 CW 2024-07-13 2158 HG5E          599 28 N1QY          599 8
QSO: 14058 CW 2024-07-13 2201 HG5E          599 28 KE0IAT        599 07
QSO: 14058 CW 2024-07-13 2201 HG5E          599 28 MI5I          599 27
QSO: 14058 CW 2024-07-13 2201 HG5E          599 28 SP2EWQ        599 28
QSO: 14058 CW 2024-07-13 2202 HG5E          599 28 LC2W          599 18
QSO: 14058 CW 2024-07-13 2202 HG5E          599 28 W4SSF         599 08
QSO: 14058 CW 2024-07-13 2203 HG5E          599 28 3W9A          599 49
QSO: 14058 CW 2024-07-13 2203 HG5E          599 28 RA3NC         599 29
QSO: 14058 CW 2024-07-13 2203 HG5E          599 28 RA9P          599 31
QSO: 14058 CW 2024-07-13 2204 HG5E          599 28 4F3BZ         599 50
QSO: 14058 CW 2024-07-13 2204 HG5E          599 28 W3WHK         599 08
QSO: 14058 CW 2024-07-13 2204 HG5E          599 28 YB2MM         599 54
QSO: 14058 CW 2024-07-13 2205 HG5E          599 28 KL5DX         599 01
QSO: 14058 CW 2024-07-13 2234 HG5E          599 28 W1RCR         599 08
QSO: 14058 CW 2024-07-14 0256 HG5E          599 28 WA4JUK        599 08
QSO: 14059 CW 2024-07-14 0656 HG5E          599 28 RU1A          599 29
QSO: 14059 CW 2024-07-14 0657 HG5E          599 28 US1VM         599 29
QSO: 14060 CW 2024-07-14 0657 HG5E          599 28 UT4LW         599 29
QSO: 14059 CW 2024-07-14 0658 HG5E          599 28 RV6HV         599 29
QSO: 14060 CW 2024-07-14 0658 HG5E          599 28 HA6QU         599 28
QSO: 14060 CW 2024-07-14 0658 HG5E          599 28 SE5T          599 18
QSO: 14059 CW 2024-07-14 0659 HG5E          599 28 DA0HQ         599 DARC
QSO: 14059 CW 2024-07-14 0659 HG5E          599 28 R7MM          599 29
QSO: 14060 CW 2024-07-14 0700 HG5E          599 28 AF4T          599 08
QSO: 14060 CW 2024-07-14 0700 HG5E          599 28 RA3BQ         599 29
QSO: 14060 CW 2024-07-14 0702 HG5E          599 28 LY7R          599 29
QSO: 14059 CW 2024-07-14 0703 HG5E          599 28 R3ZZ          599 29
QSO: 14059 CW 2024-07-14 0704 HG5E          599 28 RT2H          599 29
QSO: 14059 CW 2024-07-14 0704 HG5E          599 28 UA9AT         599 30
QSO: 14059 CW 2024-07-14 0704 HG5E          599 28 UR7R          599 29
QSO: 14060 CW 2024-07-14 0704 HG5E          599 28 EI8KW         599 27
QSO: 14059 CW 2024-07-14 0705 HG5E          599 28 N9NC          599 8
QSO: 14060 CW 2024-07-14 0705 HG5E          599 28 HG0HQ         599 MRASZ
QSO: 14060 CW 2024-07-14 0705 HG5E          599 28 PA3AAV        599 27
QSO: 14060 CW 2024-07-14 0705 HG5E          599 28 WN7S          599 08
QSO: 14059 CW 2024-07-14 0706 HG5E          599 28 EW8AX         599 29
QSO: 14059 CW 2024-07-14 0706 HG5E          599 28 HA1KHJ        599 28
QSO: 14060 CW 2024-07-14 0706 HG5E          599 28 RU9LA         599 30
QSO: 14000 CW 2024-07-14 0707 HG5E          599 28 UT3QZ         599 29
QSO: 14060 CW 2024-07-14 0707 HG5E          599 28 WS7L          599 06
QSO: 14059 CW 2024-07-14 0708 HG5E          599 28 DM7A          599 28
QSO: 14060 CW 2024-07-14 0708 HG5E          599 28 KI5GTR        599 07
QSO: 14059 CW 2024-07-14 0709 HG5E          599 28 EF4HQ         599 URE
QSO: 14060 CW 2024-07-14 0709 HG5E          599 28 EW8OM         599 29
QSO: 14059 CW 2024-07-14 0710 HG5E          599 28 LY2K          599 29
