START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: I2XIP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: I2XIP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2024.
QSO: 21220 PH 2024-07-13 1836 I2XIP         59 28 N7DX          59 06
QSO: 21034 CW 2024-07-13 1854 I2XIP         599 28 KH7Q          599 61
QSO: 21043 CW 2024-07-13 1906 I2XIP         599 28 K8R           599 62
QSO: 21029 CW 2024-07-13 1912 I2XIP         599 28 KH6ZM         599 61
QSO: 21022 CW 2024-07-13 1926 I2XIP         599 28 TF3W          599 17
QSO: 21021 CW 2024-07-13 1929 I2XIP         599 28 N2IC          599 07
QSO: 21010 CW 2024-07-13 1935 I2XIP         599 28 ND7K          599 6
QSO: 21005 CW 2024-07-13 1939 I2XIP         599 28 ZF5T          599 11
QSO: 21005 CW 2024-07-13 1944 I2XIP         599 28 N9RV          599 6
QSO: 21007 CW 2024-07-13 1948 I2XIP         599 28 PZ5DX         599 12
QSO: 21009 CW 2024-07-13 1948 I2XIP         599 28 N5RZ          599 07
QSO: 21012 CW 2024-07-13 1951 I2XIP         599 28 NS0R          599 07
QSO: 21015 CW 2024-07-13 1954 I2XIP         599 28 NT6Q          599 06
QSO: 21000 CW 2024-07-13 1955 I2XIP         599 28 TI2OY         599 11
QSO: 21025 CW 2024-07-13 2153 I2XIP         599 28 CE2DX         599 14
QSO: 21029 CW 2024-07-13 2156 I2XIP         599 28 K5TR          599 7
QSO: 21030 CW 2024-07-13 2157 I2XIP         599 28 ZF1A          599 CARS
QSO: 21310 PH 2024-07-13 2200 I2XIP         59 28 W1AW          59 ARRL
QSO: 21328 PH 2024-07-13 2202 I2XIP         59 28 CE1WY         59 14
QSO: 21343 PH 2024-07-13 2203 I2XIP         59 28 ND7K          59 6
QSO: 21000 PH 2024-07-13 2206 I2XIP         59 28 KP4PUA        59 11
QSO: 21296 PH 2024-07-13 2210 I2XIP         59 28 CU2YK         59 36
QSO: 21287 PH 2024-07-13 2213 I2XIP         59 28 OA4O          59 RCP
QSO: 21277 PH 2024-07-13 2215 I2XIP         59 28 CO2OQ         59 11
QSO: 21272 PH 2024-07-13 2216 I2XIP         59 28 PV2K          59 15
QSO: 21240 PH 2024-07-13 2218 I2XIP         59 28 PR2N          59 15
QSO: 21000 PH 2024-07-13 2219 I2XIP         59 28 TI5VMJ        59 11
QSO: 21219 PH 2024-07-13 2220 I2XIP         59 28 4M5A          59 12
QSO: 21038 CW 2024-07-13 2224 I2XIP         599 28 VP5A          599 11
QSO: 21036 CW 2024-07-13 2225 I2XIP         599 28 W1AW          599 ARRL
QSO: 21019 CW 2024-07-13 2228 I2XIP         599 28 N7DX          599 06
QSO: 21017 CW 2024-07-13 2230 I2XIP         599 28 ZL4TT         599 60
QSO: 21012 CW 2024-07-13 2232 I2XIP         599 28 ZL1BBW        599 60
QSO: 21014 CW 2024-07-13 2232 I2XIP         599 28 K5KG          599 08
QSO: 21009 CW 2024-07-13 2237 I2XIP         599 28 NN3W          599 08
QSO: 14068 CW 2024-07-13 2241 I2XIP         599 28 CE2LR         599 14
