START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: K1EEE
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K1EEE
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2024.
QSO: 14020 CW 2024-07-13 1355 K1EEE         599 08 W1AW          599 ARRL
QSO: 14026 CW 2024-07-13 1357 K1EEE         599 08 NU1AW         599 IARU
QSO: 14015 CW 2024-07-13 1401 K1EEE         599 08 N9NB          599 08
QSO: 14016 CW 2024-07-13 1403 K1EEE         599 08 KH7Q          599 61
QSO: 14023 CW 2024-07-13 1406 K1EEE         599 08 K6ZB          599 7
QSO: 14026 CW 2024-07-13 1408 K1EEE         599 8 II4HQ         599 ARI
QSO: 14032 CW 2024-07-13 1412 K1EEE         599 08 W9KKN         599 6
QSO: 14033 CW 2024-07-13 1413 K1EEE         599 08 VE7LWW        599 02
QSO: 14037 CW 2024-07-13 1414 K1EEE         599 08 N2IC          599 07
QSO: 14046 CW 2024-07-13 1417 K1EEE         599 08 OE0HQ         599 OV
QSO: 21002 CW 2024-07-13 1422 K1EEE         599 08 DL3ON         599 28
QSO: 21002 CW 2024-07-13 1423 K1EEE         599 08 RL3A          599 29
QSO: 21003 CW 2024-07-13 1424 K1EEE         599 08 TI7W          599 11
QSO: 21003 CW 2024-07-13 1429 K1EEE         599 8 R4HQ          599 SRR
QSO: 21004 CW 2024-07-13 1430 K1EEE         599 8 N0AT          599 7
QSO: 21004 CW 2024-07-13 1433 K1EEE         599 08 RM9A          599 30
QSO: 21004 CW 2024-07-13 1434 K1EEE         599 08 K1XM          599 8
QSO: 21005 CW 2024-07-13 1434 K1EEE         599 08 OL5Y          599 28
QSO: 21006 CW 2024-07-13 1436 K1EEE         599 8 K5ZD          599 08
QSO: 21007 CW 2024-07-13 1437 K1EEE         599 08 UB2F          599 29
QSO: 21008 CW 2024-07-13 1438 K1EEE         599 08 K1AR          599 8
QSO: 21008 CW 2024-07-13 1438 K1EEE         599 08 K1ZZ          599 08
QSO: 21008 CW 2024-07-13 1439 K1EEE         599 08 R8CT          599 30
QSO: 21009 CW 2024-07-13 1440 K1EEE         599 08 K5GN          599 7
QSO: 21009 CW 2024-07-13 1443 K1EEE         599 08 TF3D          599 17
QSO: 21010 CW 2024-07-13 1444 K1EEE         599 08 NT6Q          599 06
QSO: 21011 CW 2024-07-13 1445 K1EEE         599 08 ZW8T          599 13
QSO: 21011 CW 2024-07-13 1446 K1EEE         599 08 ND7K          599 6
QSO: 21013 CW 2024-07-13 1449 K1EEE         599 8 II9HQ         599 ARI
QSO: 21000 CW 2024-07-13 1451 K1EEE         599 8 HB9HQ         599 USKA
QSO: 21014 CW 2024-07-13 1515 K1EEE         599 08 SE5T          599 18
QSO: 21015 CW 2024-07-13 1519 K1EEE         599 08 GR2HQ         599 RSGB
QSO: 21018 CW 2024-07-13 1521 K1EEE         599 08 NS0R          599 07
QSO: 21019 CW 2024-07-13 1522 K1EEE         599 08 N9RV          599 6
QSO: 21020 CW 2024-07-13 1523 K1EEE         599 08 YT3D          599 28
QSO: 21020 CW 2024-07-13 1525 K1EEE         599 08 9A1P          599 28
QSO: 21021 CW 2024-07-13 1526 K1EEE         599 08 AD5A          599 07
QSO: 21024 CW 2024-07-13 1530 K1EEE         599 08 JE6RPM        599 45
QSO: 21027 CW 2024-07-13 1532 K1EEE         599 08 AJ1AJ         599 08
QSO: 21027 CW 2024-07-13 1535 K1EEE         599 08 9A0HQ         599 HRS
QSO: 21028 CW 2024-07-13 1536 K1EEE         599 08 HA7A          599 28
QSO: 21029 CW 2024-07-13 1536 K1EEE         599 08 N4BP          599 08
QSO: 21030 CW 2024-07-13 1539 K1EEE         599 8 VY2TT         599 9
QSO: 21031 CW 2024-07-13 1540 K1EEE         599 08 RG2Y          599 29
QSO: 21032 CW 2024-07-13 1541 K1EEE         599 08 N4XD          599 08
QSO: 21032 CW 2024-07-13 1542 K1EEE         599 08 DA0HQ         599 DARC
QSO: 21032 CW 2024-07-13 1543 K1EEE         599 08 NU1AW         599 IARU
QSO: 21033 CW 2024-07-13 1545 K1EEE         599 08 MM9I          599 27
QSO: 21034 CW 2024-07-13 1546 K1EEE         599 08 HG0HQ         599 MRASZ
QSO: 21036 CW 2024-07-13 1549 K1EEE         599 08 W6BFK         599 08
QSO: 21037 CW 2024-07-13 1550 K1EEE         599 08 LY7K          599 29
QSO: 21037 CW 2024-07-13 1551 K1EEE         599 08 SN7Q          599 28
QSO: 21038 CW 2024-07-13 1553 K1EEE         599 08 ER7HQ         599 ARM
QSO: 21039 CW 2024-07-13 1554 K1EEE         599 08 LY4A          599 29
QSO: 21039 CW 2024-07-13 1555 K1EEE         599 08 W5ZN          599 AC
QSO: 21042 CW 2024-07-13 1556 K1EEE         599 08 IK3VUT        599 28
QSO: 21043 CW 2024-07-13 1557 K1EEE         599 08 N1LN          599 08
QSO: 21044 CW 2024-07-13 1559 K1EEE         599 08 RM2U          599 29
QSO: 21046 CW 2024-07-13 1600 K1EEE         599 08 PA6HQ         599 VERON
QSO: 21047 CW 2024-07-13 1637 K1EEE         599 08 SN2B          599 28
QSO: 21047 CW 2024-07-13 1638 K1EEE         599 08 E7HQ          599 ARABH
QSO: 21047 CW 2024-07-13 1638 K1EEE         599 08 G4A           599 27
QSO: 21048 CW 2024-07-13 1640 K1EEE         599 08 DC4A          599 28
QSO: 21049 CW 2024-07-13 1641 K1EEE         599 08 UT2II         599 29
QSO: 21050 CW 2024-07-13 1642 K1EEE         599 08 KP4JA         599 11
QSO: 21052 CW 2024-07-13 1643 K1EEE         599 08 YO6KPT        599 28
QSO: 21053 CW 2024-07-13 1645 K1EEE         599 08 S59AA         599 28
QSO: 21054 CW 2024-07-13 1647 K1EEE         599 08 N7VM          599 06
QSO: 21000 CW 2024-07-13 1651 K1EEE         599 8 LZ1AQ         599 28
QSO: 21058 CW 2024-07-13 1652 K1EEE         599 8 IP4M          599 28
QSO: 21059 CW 2024-07-13 1652 K1EEE         599 08 HG6N          599 28
QSO: 21060 CW 2024-07-13 1654 K1EEE         599 08 VE3WUE        599 04
QSO: 21061 CW 2024-07-13 1654 K1EEE         599 08 OK6Y          599 28
QSO: 21065 CW 2024-07-13 1701 K1EEE         599 08 HA7I          599 28
QSO: 21068 CW 2024-07-13 1703 K1EEE         599 8 8P5A          599 11
QSO: 21069 CW 2024-07-13 1705 K1EEE         599 08 II2Q          599 28
QSO: 21071 CW 2024-07-13 1705 K1EEE         599 08 EA8RM         599 36
QSO: 21071 CW 2024-07-13 1706 K1EEE         599 08 SP1NY         599 28
QSO: 21002 CW 2024-07-13 1708 K1EEE         599 08 SN0HQ         599 PZK
QSO: 21003 CW 2024-07-13 1711 K1EEE         599 08 K7NT          599 7
QSO: 21005 CW 2024-07-13 1712 K1EEE         599 08 ZF1A          599 CARS
QSO: 21007 CW 2024-07-13 1715 K1EEE         599 08 OM0R          599 28
QSO: 21009 CW 2024-07-13 1717 K1EEE         599 08 VE5RAC        599 RAC
QSO: 21028 CW 2024-07-13 1724 K1EEE         599 08 K1IMI         599 08
QSO: 21029 CW 2024-07-13 1724 K1EEE         599 08 EF4HQ         599 URE
QSO: 21030 CW 2024-07-13 1726 K1EEE         599 8 N3BB          599 7
QSO: 21024 CW 2024-07-13 1850 K1EEE         599 08 DM5W          599 28
QSO: 21026 CW 2024-07-13 1853 K1EEE         599 08 RU1A          599 29
QSO: 21027 CW 2024-07-13 1857 K1EEE         599 08 Z60HQ         599 SHRAK
QSO: 21035 CW 2024-07-13 1859 K1EEE         599 8 ED3T          599 37
QSO: 21033 CW 2024-07-13 1906 K1EEE         599 08 AT1HQ         599 ARSI
QSO: 21034 CW 2024-07-13 1909 K1EEE         599 08 HG0HQ         599 MRASZ
QSO: 21035 CW 2024-07-13 1910 K1EEE         599 08 K5WA          599 07
QSO: 14007 CW 2024-07-13 1913 K1EEE         599 08 VE3JM         599 4
QSO: 14009 CW 2024-07-13 1913 K1EEE         599 08 K5KG          599 08
QSO: 14001 CW 2024-07-13 1915 K1EEE         599 08 N4UU          599 8
QSO: 14003 CW 2024-07-13 1916 K1EEE         599 08 S50HQ         599 ZRS
QSO: 14003 CW 2024-07-13 1918 K1EEE         599 08 K2ZR          599 08
QSO: 14004 CW 2024-07-13 1919 K1EEE         599 08 DL2CC         599 28
QSO: 14004 CW 2024-07-13 1920 K1EEE         599 08 N9RV          599 6
QSO: 14006 CW 2024-07-13 1923 K1EEE         599 08 LZ1QN         599 28
QSO: 14007 CW 2024-07-13 1924 K1EEE         599 08 OP0HQ         599 UBA
QSO: 14008 CW 2024-07-13 1925 K1EEE         599 08 OM8A          599 28
QSO: 14010 CW 2024-07-13 1927 K1EEE         599 08 RY7Y          599 29
QSO: 14011 CW 2024-07-13 1929 K1EEE         599 08 LZ7A          599 28
QSO: 14012 CW 2024-07-13 1930 K1EEE         599 08 UT2II         599 29
QSO: 14012 CW 2024-07-13 1932 K1EEE         599 08 SK9HQ         599 SSA
QSO: 14012 CW 2024-07-13 1934 K1EEE         599 08 E7HQ          599 ARABH
QSO: 14014 CW 2024-07-13 1935 K1EEE         599 08 VE3NNT        599 04
QSO: 14016 CW 2024-07-13 1936 K1EEE         599 08 IO0A          599 28
QSO: 14016 CW 2024-07-13 1937 K1EEE         599 08 K0AD          599 07
QSO: 14017 CW 2024-07-13 1938 K1EEE         599 08 9A0HQ         599 HRS
QSO: 14021 CW 2024-07-13 1941 K1EEE         599 08 N2MF          599 08
QSO: 14279 CW 2024-07-13 1942 K1EEE         599 08 TM9C          599 27
QSO: 14023 CW 2024-07-13 1946 K1EEE         599 08 HG0HQ         599 MRASZ
QSO: 14024 CW 2024-07-13 1948 K1EEE         599 08 OH2KI         599 18
QSO: 14024 CW 2024-07-13 1949 K1EEE         599 08 LZ0HQ         599 BFRA
QSO: 14027 CW 2024-07-13 1951 K1EEE         599 08 GR2HQ         599 RSGB
QSO: 14027 CW 2024-07-13 1951 K1EEE         599 08 UA6AA         599 29
QSO: 14029 CW 2024-07-13 1953 K1EEE         599 08 N4BP          599 08
QSO: 14029 CW 2024-07-13 1955 K1EEE         599 08 YT0HQ         599 SRS
