START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: OM5R
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OM5R
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2024.
QSO: 28049 CW 2024-07-13 1202 OM5R          599 28 ZS4B          599 57
QSO: 28043 CW 2024-07-13 1203 OM5R          599 28 OH2HQ         599 SRAL
QSO: 28052 CW 2024-07-13 1203 OM5R          599 28 RK3AW         599 29
QSO: 28023 CW 2024-07-13 1207 OM5R          599 28 A71WW         599 39
QSO: 28003 CW 2024-07-13 1211 OM5R          599 28 PZ5DX         599 12
QSO: 28020 CW 2024-07-13 1212 OM5R          599 28 UD8A          599 30
QSO: 28022 CW 2024-07-13 1218 OM5R          599 28 RM9A          599 30
QSO: 28030 CW 2024-07-13 1219 OM5R          599 28 RL5A          599 29
QSO: 28040 CW 2024-07-13 1221 OM5R          599 28 8P5A          599 11
QSO: 28044 CW 2024-07-13 1222 OM5R          599 28 TO7K          599 53
QSO: 28032 CW 2024-07-13 1226 OM5R          599 28 RK3ER         599 29
QSO: 28022 CW 2024-07-13 1228 OM5R          599 28 OG1F          599 18
QSO: 28000 CW 2024-07-13 1229 OM5R          599 28 OH1TS         599 18
QSO: 28020 CW 2024-07-13 1229 OM5R          599 28 RM1F          599 29
QSO: 28021 CW 2024-07-13 1230 OM5R          599 28 UA3AP         599 29
QSO: 28021 CW 2024-07-13 1231 OM5R          599 28 UI3A          599 29
QSO: 28051 CW 2024-07-13 1232 OM5R          599 28 RV3VR         599 29
QSO: 28020 CW 2024-07-13 1235 OM5R          599 28 RJ3F          599 29
QSO: 28020 CW 2024-07-13 1237 OM5R          599 28 RT4G          599 29
QSO: 28000 CW 2024-07-13 1241 OM5R          599 28 RA3AGF        599 29
QSO: 28027 CW 2024-07-13 1243 OM5R          599 28 UP7L          599 30
QSO: 28031 CW 2024-07-13 1243 OM5R          599 28 ED8M          599 36
QSO: 28018 CW 2024-07-13 1244 OM5R          599 28 RN4AO         599 29
QSO: 28010 CW 2024-07-13 1245 OM5R          599 28 RT4F          599 29
QSO: 28005 CW 2024-07-13 1246 OM5R          599 28 UF5A          599 29
QSO: 28454 PH 2024-07-13 1252 OM5R          59 28 RK3AW         59 29
QSO: 28492 PH 2024-07-13 1252 OM5R          59 28 R3RZ          59 29
QSO: 28000 PH 2024-07-13 1253 OM5R          59 28 R2AD          59 29
QSO: 28475 PH 2024-07-13 1253 OM5R          59 28 UA3BL         59 29
QSO: 28525 PH 2024-07-13 1300 OM5R          59 28 RM3DA         59 29
QSO: 28476 PH 2024-07-13 1302 OM5R          59 28 RT4G          59 29
QSO: 28520 PH 2024-07-13 1302 OM5R          59 28 A42K          59 39
QSO: 21022 CW 2024-07-13 1307 OM5R          599 28 R5AJ          599 29
QSO: 21022 CW 2024-07-13 1311 OM5R          599 28 LY2MM         599 29
QSO: 21022 CW 2024-07-13 1314 OM5R          599 28 K1TR          599 08
QSO: 21023 CW 2024-07-13 1317 OM5R          599 28 LY2K          599 29
QSO: 21024 CW 2024-07-13 1317 OM5R          599 28 VE3NNT        599 04
QSO: 21022 CW 2024-07-13 1318 OM5R          599 28 WG3J          599 08
QSO: 21018 CW 2024-07-13 1319 OM5R          599 28 UN9L          599 30
QSO: 21016 CW 2024-07-13 1320 OM5R          599 28 N2MF          599 08
QSO: 21015 CW 2024-07-13 1321 OM5R          599 28 EA1X          599 37
QSO: 21013 CW 2024-07-13 1323 OM5R          599 28 OM3CW         599 28
QSO: 21014 CW 2024-07-13 1324 OM5R          599 28 4K6FO         599 29
QSO: 21008 CW 2024-07-13 1325 OM5R          599 28 NP4Z          599 11
QSO: 21010 CW 2024-07-13 1325 OM5R          599 28 RM9I          599 31
QSO: 21006 CW 2024-07-13 1327 OM5R          599 28 K5ZD          599 08
QSO: 21007 CW 2024-07-13 1327 OM5R          599 28 EA4R          599 37
QSO: 21004 CW 2024-07-13 1328 OM5R          599 28 RM9A          599 30
QSO: 21003 CW 2024-07-13 1330 OM5R          599 28 R4HQ          599 SRR
QSO: 21002 CW 2024-07-13 1331 OM5R          599 28 R4BZ          599 29
QSO: 21001 CW 2024-07-13 1332 OM5R          599 28 K1LZ          599 8
QSO: 21002 CW 2024-07-13 1332 OM5R          599 28 K4ZW          599 8
QSO: 21023 CW 2024-07-13 1334 OM5R          599 28 UA6CC         599 29
QSO: 21024 CW 2024-07-13 1334 OM5R          599 28 AA1K          599 08
QSO: 21025 CW 2024-07-13 1335 OM5R          599 28 K3PA          599 07
QSO: 21026 CW 2024-07-13 1336 OM5R          599 28 EW5A          599 29
QSO: 21029 CW 2024-07-13 1337 OM5R          599 28 UA6AA         599 29
QSO: 21029 CW 2024-07-13 1339 OM5R          599 28 EF4HQ         599 URE
QSO: 21030 CW 2024-07-13 1340 OM5R          599 28 EI1E          599 27
QSO: 21030 CW 2024-07-13 1340 OM5R          599 28 NB1N          599 08
QSO: 21034 CW 2024-07-13 1342 OM5R          599 28 VE3JM         599 4
QSO: 21035 CW 2024-07-13 1342 OM5R          599 28 OH2KW         599 18
QSO: 21000 CW 2024-07-13 1343 OM5R          599 28 CT7BJG        599 37
QSO: 21038 CW 2024-07-13 1346 OM5R          599 28 W1AW          599 ARRL
QSO: 21039 CW 2024-07-13 1349 OM5R          599 28 RT4G          599 29
QSO: 21044 CW 2024-07-13 1355 OM5R          599 28 ER7HQ         599 ARM
QSO: 21044 CW 2024-07-13 1355 OM5R          599 28 UY2IG         599 29
QSO: 21000 CW 2024-07-13 1356 OM5R          599 28 YL5W          599 29
QSO: 21046 CW 2024-07-13 1356 OM5R          599 28 W1KM          599 08
QSO: 21049 CW 2024-07-13 1357 OM5R          599 28 UP0L          599 30
QSO: 21053 CW 2024-07-13 1357 OM5R          599 28 R5QQ          599 29
