START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: W4LC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W4LC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2025.
QSO: 14038 CW 2025-07-12 1552 W4LC          599 08 OG1F          599 18
QSO: 14028 CW 2025-07-12 1719 W4LC          599 08 NE2V          599 08
QSO: 14043 CW 2025-07-12 1731 W4LC          599 08 K3MD          599 08
QSO: 14052 CW 2025-07-12 1732 W4LC          599 08 NB1N          599 08
QSO: 14060 CW 2025-07-12 1735 W4LC          599 08 HG5D          599 28
QSO: 14006 CW 2025-07-12 1738 W4LC          599 08 ND3T          599 8
QSO: 14019 CW 2025-07-12 1744 W4LC          599 08 VE3JM         599 4
QSO: 14041 CW 2025-07-12 1806 W4LC          599 08 UT5EL         599 29
QSO: 14045 CW 2025-07-12 1810 W4LC          599 08 W1KM          599 08
QSO: 14046 CW 2025-07-12 1811 W4LC          599 08 KB1W          599 08
QSO: 14000 CW 2025-07-12 1812 W4LC          599 8 WI9WI         599 7
QSO: 14047 CW 2025-07-12 1814 W4LC          599 08 OL8R          599 28
QSO: 14056 CW 2025-07-12 1819 W4LC          599 08 KQ4R          599 08
QSO: 14059 CW 2025-07-12 1820 W4LC          599 08 W1GD          599 08
QSO: 14013 CW 2025-07-12 1826 W4LC          599 08 WX0B          599 7
QSO: 14018 CW 2025-07-12 1828 W4LC          599 08 K8PK          599 08
QSO: 14029 CW 2025-07-12 1834 W4LC          599 08 GR2HQ         599 RSGB
QSO: 14041 CW 2025-07-12 1843 W4LC          599 8 N4GG          599 8
QSO: 14005 CW 2025-07-12 1852 W4LC          599 08 HG8R          599 28
QSO: 14019 CW 2025-07-12 1857 W4LC          599 08 VA3SB         599 04
QSO: 14028 CW 2025-07-12 1905 W4LC          599 08 YT0HQ         599 SRS
QSO: 14000 CW 2025-07-12 1914 W4LC          599 08 N4KS          599 08
QSO: 14039 CW 2025-07-12 1916 W4LC          599 08 NS0R          599 07
QSO: 14040 CW 2025-07-12 1918 W4LC          599 8 VY2TT         599 9
QSO: 14055 CW 2025-07-12 1922 W4LC          599 08 NF4A          599 08
QSO: 14064 CW 2025-07-12 1925 W4LC          599 08 WJ1U          599 08
QSO: 14008 CW 2025-07-12 1928 W4LC          599 08 N2IC          599 07
QSO: 14011 CW 2025-07-12 1929 W4LC          599 8 K4ZW          599 8
QSO: 14025 CW 2025-07-12 1936 W4LC          599 08 DD2D          599 28
QSO: 14035 CW 2025-07-12 1945 W4LC          599 08 OK2QA         599 28
QSO: 14037 CW 2025-07-12 1949 W4LC          599 8 II4HQ         599 ARI
QSO: 14037 CW 2025-07-12 1949 W4LC          599 8 II4HQ         599 ARI
QSO: 14038 CW 2025-07-12 1951 W4LC          599 08 K1TR          599 08
QSO: 14027 CW 2025-07-12 2048 W4LC          599 08 SN0HQ         599 PZK
QSO: 14031 CW 2025-07-12 2108 W4LC          599 08 DA0HQ         599 DARC
END-OF-LOG:
