START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: YL3PO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: YL3PO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2025.
QSO: 21021 CW 2025-07-12 1201 YL3PO         599 29 PR1T          599 15
QSO: 14252 PH 2025-07-12 1224 YL3PO         59 29 LZ0HQ         59 BFRA
QSO: 14207 PH 2025-07-12 1230 YL3PO         59 29 F4VSE         59 27
QSO: 14213 PH 2025-07-12 1232 YL3PO         59 29 IK0PHY        59 28
QSO: 14222 PH 2025-07-12 1234 YL3PO         59 29 OZ1HQ         59 EDR
QSO: 14231 PH 2025-07-12 1236 YL3PO         59 29 PE1T          59 27
QSO: 14240 PH 2025-07-12 1242 YL3PO         59 29 TM0HQ         59 REF
QSO: 14262 PH 2025-07-12 1248 YL3PO         59 29 OM2ADM        59 28
QSO: 14283 PH 2025-07-12 1249 YL3PO         59 29 ED0HQ         59 URE
QSO: 14295 PH 2025-07-12 1252 YL3PO         59 29 F4WDL         59 27
QSO: 14307 PH 2025-07-12 1254 YL3PO         59 29 S52WW         59 28
QSO: 14255 PH 2025-07-12 1257 YL3PO         59 29 GR2HQ         59 RSGB
QSO: 14335 PH 2025-07-12 1304 YL3PO         59 29 SV3RPQ        59 28
QSO: 21325 PH 2025-07-12 1324 YL3PO         59 29 PY2MP         59 15
QSO: 21258 PH 2025-07-12 1327 YL3PO         59 29 EC5AN         59 37
QSO: 21330 PH 2025-07-12 1339 YL3PO         59 29 LP1H          59 14
QSO: 21211 PH 2025-07-12 1348 YL3PO         59 29 EX9HQ         59 ARUKR
QSO: 14230 PH 2025-07-12 1405 YL3PO         59 29 IW2JWG        59 28
QSO: 14193 PH 2025-07-12 1407 YL3PO         59 29 HB9OK         59 28
QSO: 14000 PH 2025-07-12 1408 YL3PO         59 29 DK1IJ         59 28
QSO: 14250 PH 2025-07-12 1410 YL3PO         59 29 HG0HQ         59 MRASZ
QSO: 14000 PH 2025-07-12 1413 YL3PO         59 29 IK3UNA        59 28
QSO: 14203 PH 2025-07-12 1417 YL3PO         59 29 YT0HQ         59 SRS
QSO: 14214 PH 2025-07-12 1419 YL3PO         59 29 II2HQ         59 ARI
QSO: 14214 PH 2025-07-12 1419 YL3PO         59 29 II2HQ         59 ARI
QSO: 14265 PH 2025-07-12 1423 YL3PO         59 29 DA0HQ         59 DARC
QSO: 14292 PH 2025-07-12 1432 YL3PO         59 29 Z30HQ         59 RSM
QSO: 14000 PH 2025-07-12 1437 YL3PO         59 29 9A0HQ         59 HRS
QSO: 21000 PH 2025-07-12 1441 YL3PO         59 29 3V8LL         59 ARAT
QSO: 21000 PH 2025-07-12 1441 YL3PO         59 29 3V8LL         59 ARAT
QSO: 14219 PH 2025-07-12 1516 YL3PO         59 29 RM9A          59 30
QSO: 14157 PH 2025-07-12 1521 YL3PO         59 29 RC6U          59 29
QSO: 14310 PH 2025-07-12 1524 YL3PO         59 29 OR1X          59 27
QSO: 14272 PH 2025-07-12 1527 YL3PO         59 29 S50HQ         59 ZRS
QSO: 14250 PH 2025-07-12 1530 YL3PO         59 29 S52OT         59 28
QSO: 14197 PH 2025-07-12 1533 YL3PO         59 29 F4EMI         59 27
QSO: 21305 PH 2025-07-12 1536 YL3PO         59 29 CQ9A          59 36
QSO: 14210 PH 2025-07-12 1551 YL3PO         59 29 UP4L          59 30
QSO: 14182 PH 2025-07-12 1617 YL3PO         59 29 UN1HQ         59 KFRR
QSO: 14303 PH 2025-07-12 1911 YL3PO         59 29 SK9HQ         59 SSA
QSO: 14236 PH 2025-07-12 1924 YL3PO         59 29 HB9JOE        59 R1
QSO: 14200 PH 2025-07-12 1930 YL3PO         59 29 4X6TT         59 39
QSO: 14347 PH 2025-07-12 1933 YL3PO         59 29 EI0HQ         59 IRTS
QSO: 14309 PH 2025-07-12 1935 YL3PO         59 29 EA1L          59 37
QSO: 14227 PH 2025-07-12 1942 YL3PO         59 29 E7HQ          59 ARABH
QSO: 14000 PH 2025-07-12 1946 YL3PO         59 29 OR1Z          59 14
QSO: 14259 PH 2025-07-12 1949 YL3PO         59 29 OR4T          59 27
QSO: 14143 PH 2025-07-12 2003 YL3PO         59 29 UP2L          59 30
QSO: 14168 PH 2025-07-12 2005 YL3PO         59 29 LZ2ZY         59 28
QSO: 14180 PH 2025-07-12 2008 YL3PO         59 29 YR0HQ         59 FRR
QSO: 14208 PH 2025-07-12 2013 YL3PO         59 29 I2OLV         59 28
QSO: 14000 PH 2025-07-12 2018 YL3PO         59 29 HB9HQ         59 USKA
QSO: 14278 PH 2025-07-12 2019 YL3PO         59 29 YU7KMN        59 28
QSO: 14000 PH 2025-07-12 2033 YL3PO         59 29 F4VXB         59 27
QSO: 14168 PH 2025-07-12 2035 YL3PO         59 29 PY2NY         59 15
QSO: 14193 PH 2025-07-12 2038 YL3PO         59 29 OP0HQ         59 UBA
QSO: 14174 PH 2025-07-12 2043 YL3PO         59 29 F4DPW         59 27
QSO: 14222 PH 2025-07-12 2046 YL3PO         59 29 EC1DD         59 37
QSO: 14320 PH 2025-07-12 2050 YL3PO         59 29 OE0HQ         59 OV
QSO: 14260 PH 2025-07-12 2054 YL3PO         59 29 W2JV          59 08
QSO: 14285 PH 2025-07-12 2100 YL3PO         59 29 XR7T          59 16
QSO: 14322 PH 2025-07-12 2103 YL3PO         59 29 PY4BZ         59 15
QSO: 14343 PH 2025-07-12 2106 YL3PO         59 29 PY2VZ         59 15
QSO: 14000 PH 2025-07-12 2110 YL3PO         59 29 D44PM         59 46
QSO: 14292 PH 2025-07-12 2123 YL3PO         59 29 KP4PK         59 11
QSO: 14156 PH 2025-07-12 2130 YL3PO         59 29 NV9L          59 08
QSO: 14324 PH 2025-07-12 2133 YL3PO         59 29 WP3Z          59 11
QSO: 14145 PH 2025-07-12 2141 YL3PO         59 29 EW5A          59 29
QSO: 14231 PH 2025-07-12 2152 YL3PO         59 29 CT7BFV        59 37
QSO: 14153 PH 2025-07-12 2156 YL3PO         59 29 PR1T          59 15
QSO: 14190 PH 2025-07-12 2202 YL3PO         59 29 P44W          59 11
QSO: 14289 PH 2025-07-12 2211 YL3PO         59 29 PY2MP         59 15
QSO: 14000 PH 2025-07-13 0846 YL3PO         59 29 IP3F          59 28
QSO: 14000 PH 2025-07-13 0848 YL3PO         59 29 SQ6R          59 28
QSO: 14222 PH 2025-07-13 0859 YL3PO         59 29 LZ1ZM         59 28
QSO: 14000 PH 2025-07-13 0900 YL3PO         59 29 DK0PO         59 28
END-OF-LOG:
