START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: JH1OGT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JH1OGT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2008.
QSO: 14000 CW 2008-05-25 1432 JH1OGT        599 OJ0B          599 2732
QSO: 21000 CW 2008-05-25 1438 JH1OGT        599 002 YR8B          599 847
QSO: 14000 CW 2008-05-25 1453 JH1OGT        599 003 LZ6W          599 739
QSO: 14018 CW 2008-05-25 1455 JH1OGT        599 0004 S52ZW         599 1521
QSO: 14022 CW 2008-05-25 1458 JH1OGT        599 005 YO3APJ        599 868
QSO: 14013 CW 2008-05-25 1501 JH1OGT        599 006 CT1JLZ        599 1859
QSO: 14027 CW 2008-05-25 1505 JH1OGT        599 0007 UX3MZ         599 1350
QSO: 14029 CW 2008-05-25 1507 JH1OGT        599 008 P33W          599 1585
QSO: 14034 CW 2008-05-25 1509 JH1OGT        599 9 DL2AA         599 621
QSO: 14000 CW 2008-05-25 1514 JH1OGT        599 010 LY8O          599 1969
QSO: 14048 CW 2008-05-25 1522 JH1OGT        599 011 OG6N          599 2405
QSO: 14052 CW 2008-05-25 1527 JH1OGT        599 013 UU0A          599 006
QSO: 14000 CW 2008-05-25 1531 JH1OGT        599 14 S54K          599 1500
QSO: 14059 CW 2008-05-25 1531 JH1OGT        599 015 RA1AGL        599 1343
QSO: 14000 CW 2008-05-25 1534 JH1OGT        599 16 UA9CDC        599 2568
QSO: 14000 CW 2008-05-25 1535 JH1OGT        599 18 OE5CWL/6      599 1652
QSO: 14073 CW 2008-05-25 1537 JH1OGT        599 018 LX0RL         599 1688
QSO: 14074 CW 2008-05-25 1539 JH1OGT        599 019 E73MMM        599 1162
QSO: 14000 CW 2008-05-25 1541 JH1OGT        599 020 I1NVU         599 1004
QSO: 14000 CW 2008-05-25 1546 JH1OGT        599 021 LZ1GL         599 1528
QSO: 21022 CW 2008-05-25 1658 JH1OGT        599 022 P33W          599 1183
QSO: 14003 CW 2008-05-25 1701 JH1OGT        599 023 TM0R          599 1439
QSO: 14052 CW 2008-05-25 1706 JH1OGT        599 0024 MJ0LON        599 2125
QSO: 14009 CW 2008-05-25 1708 JH1OGT        599 0025 OM3BH         599 2762
QSO: 14020 CW 2008-05-25 1711 JH1OGT        599 0026 SN3X          599 1923
QSO: 14000 CW 2008-05-25 1715 JH1OGT        599 027 HG80HQ        599 1588
QSO: 14027 CW 2008-05-25 1720 JH1OGT        599 0028 EA4KA         599 1583
QSO: 14028 CW 2008-05-25 1721 JH1OGT        599 029 DR1A          599 2309
QSO: 14041 CW 2008-05-25 1725 JH1OGT        599 030 E77DX         599 1823
QSO: 14046 CW 2008-05-25 1728 JH1OGT        599 034 CT9M          599 1364
QSO: 14050 CW 2008-05-25 1730 JH1OGT        599 032 S59ABC        599 1906
QSO:  7000 CW 2008-05-25 1735 JH1OGT        599 033 ES9C          599 1283
QSO:  7025 CW 2008-05-25 1739 JH1OGT        599 34 9A50KDE       599 391
QSO:  7015 CW 2008-05-25 1742 JH1OGT        599 035 OL7R          599 0986
QSO:  7016 CW 2008-05-25 1746 JH1OGT        599 036 SX1L          599 1176
QSO:  7000 CW 2008-05-25 1748 JH1OGT        599 36 OE5CWL/6      599 1755
QSO:  7020 CW 2008-05-25 1751 JH1OGT        599 048 OE3DSA        599 0994
QSO:  7034 CW 2008-05-25 1753 JH1OGT        599 39 YR1C          599 854
QSO:  7000 CW 2008-05-25 1754 JH1OGT        599 40 RM3F          599 2960
QSO: 14041 CW 2008-05-25 2127 JH1OGT        599 041 D4C           599 3400
END-OF-LOG:
