START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: K9FO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K9FO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2009.
QSO: 14031 CW 2009-05-31 0340 K9FO          599 RM3F          599 2131
QSO: 14031 CW 2009-05-31 0349 K9FO          599 0002 KT5J          599 2043
QSO: 14029 CW 2009-05-31 0351 K9FO          599 003 RT4M          599 1215
QSO: 14028 CW 2009-05-31 0353 K9FO          599 0004 OG6A          599 1247
QSO: 14027 CW 2009-05-31 0354 K9FO          599 0005 KF6T          599 0860
QSO: 14026 CW 2009-05-31 0401 K9FO          599 6 UA6LV         599 1624
QSO: 14026 CW 2009-05-31 0403 K9FO          599 007 OA4SS         599 0882
QSO: 14025 CW 2009-05-31 0404 K9FO          599 0008 KV7DX         599 0339
QSO: 14024 CW 2009-05-31 0406 K9FO          599 009 KY4F          599 1076
QSO: 14022 CW 2009-05-31 0407 K9FO          599 0010 UZ2M          599 1554
QSO: 14021 CW 2009-05-31 0409 K9FO          599 011 KL7RA         599 1487
QSO: 14030 CW 2009-05-31 0713 K9FO          599 0012 NH7O          599 1474
QSO: 14031 CW 2009-05-31 0715 K9FO          599 013 K4BAI         599 1581
QSO:  7024 CW 2009-05-31 0720 K9FO          599 014 EA8URL        599 0708
QSO:  7013 CW 2009-05-31 0722 K9FO          599 015 CT1JLZ        599 1592
QSO:  7000 CW 2009-05-31 0723 K9FO          599 016 ZL2AGY        599 498
QSO:  7006 CW 2009-05-31 0725 K9FO          599 17 ZL1BYZ        599 919
QSO:  7000 CW 2009-05-31 0728 K9FO          599 18 ZF2DO         599 1351
QSO:  7000 CW 2009-05-31 0731 K9FO          599 19 ZM1A          599 658
QSO:  7046 CW 2009-05-31 0736 K9FO          599 0029 LP1H          599 1672
QSO:  7035 CW 2009-05-31 0740 K9FO          599 021 ZW5B          599 1148
END-OF-LOG:
