START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: N9ZI
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N9ZI
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2009.
QSO:  7009 CW 2009-05-30 0208 N9ZI          599 K3MJW         599 166
QSO:  7000 CW 2009-05-30 0213 N9ZI          599 2 AD4J          599 223
QSO:  7018 CW 2009-05-30 0216 N9ZI          599 003 OL0W          599 0156
QSO:  7021 CW 2009-05-30 0220 N9ZI          599 0004 IR9Y          599 0061
QSO:  7024 CW 2009-05-30 0222 N9ZI          599 005 DL1MGB        599 0148
QSO:  7038 CW 2009-05-30 0232 N9ZI          599 006 WR3Z          599 133
QSO:  7055 CW 2009-05-30 0240 N9ZI          599 0007 AJ9C          599 0179
QSO:  7056 CW 2009-05-30 0241 N9ZI          599 008 SN6Z          599 0135
QSO:  7060 CW 2009-05-30 0244 N9ZI          599 0009 N0NI          599 0161
QSO:  7068 CW 2009-05-30 0249 N9ZI          599 0010 NA4K          599 0165
QSO:  7074 CW 2009-05-30 0255 N9ZI          599 0013 KB0JSH        599 0016
QSO:  7077 CW 2009-05-30 0300 N9ZI          599 0014 NQ4U          599 0066
QSO:  7076 CW 2009-05-30 0301 N9ZI          599 0015 NM5O          599 0303
QSO:  7000 CW 2009-05-30 0303 N9ZI          599 0016 KX9DX         599 0050
QSO:  7025 CW 2009-05-30 0454 N9ZI          599 17 N7TT          599 315
QSO:  7080 CW 2009-05-30 0457 N9ZI          599 18 W7VJ          599 465
QSO:  7074 CW 2009-05-30 0503 N9ZI          599 0019 VE7UF         599 0025
QSO:  7043 CW 2009-05-30 0513 N9ZI          599 20 NK7U          599 95
QSO:  7042 CW 2009-05-30 0514 N9ZI          599 0021 NM7D          599 0192
QSO:  7030 CW 2009-05-30 0517 N9ZI          599 0022 N8OO          599 0495
QSO:  7036 CW 2009-05-30 0519 N9ZI          599 0023 KF6T          599 0378
QSO:  7035 CW 2009-05-30 0521 N9ZI          599 24 XM7GL         599 157
QSO:  7033 CW 2009-05-30 0523 N9ZI          599 25 WX9U          599 181
QSO:  7026 CW 2009-05-30 0715 N9ZI          599 26 KD4D          599 613
QSO:  7029 CW 2009-05-30 0715 N9ZI          599 0027 XM7SV         599 0327
QSO:  7032 CW 2009-05-30 0719 N9ZI          599 0028 K0ZR          599 0155
QSO:  7033 CW 2009-05-30 0721 N9ZI          599 29 KT3Y          599 620
QSO:  7040 CW 2009-05-30 0724 N9ZI          599 0030 WX3B          599 0223
QSO:  7046 CW 2009-05-30 0734 N9ZI          599 0030 YW4D          599 0574
QSO:  7045 CW 2009-05-30 0737 N9ZI          599 0032 NH7O          599 0303
QSO:  7023 CW 2009-05-30 0741 N9ZI          599 0033 KT5J          599 0588
QSO:  7040 CW 2009-05-30 0753 N9ZI          599 35 8P5A          599 787
