START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: G0WHO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G0WHO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2010.
QSO: 21063 CW 2010-05-29 0821 G0WHO         599 UA8AA/5       599 198
QSO: 21062 CW 2010-05-29 0827 G0WHO         599 002 EW5A          599 711
QSO: 21000 CW 2010-05-29 0834 G0WHO         599 3 EU2MM         599 380
QSO: 21020 CW 2010-05-29 1422 G0WHO         599 004 EF8M          599 1131
QSO: 21025 CW 2010-05-29 1423 G0WHO         599 005 YT9X          599 0561
QSO: 21000 CW 2010-05-29 1429 G0WHO         599 007 YU1KX         599 0683
QSO: 14000 CW 2010-05-29 1434 G0WHO         599 008 VY2ZM         599 1323
QSO: 14001 CW 2010-05-29 1436 G0WHO         599 9 RT4F          599 2003
QSO: 14002 CW 2010-05-29 1437 G0WHO         599 10 UA4WKW        599 813
QSO: 14003 CW 2010-05-29 1437 G0WHO         599 0011 S53F          599 0515
QSO: 14004 CW 2010-05-29 1439 G0WHO         599 012 AJ1I          599 0997
QSO: 14005 CW 2010-05-29 1440 G0WHO         599 0013 HG7T          599 0574
QSO: 14005 CW 2010-05-29 1441 G0WHO         599 015 UP2L          599 1015
QSO: 14005 CW 2010-05-29 1441 G0WHO         599 0014 YQ5Q          599 0619
QSO: 14006 CW 2010-05-29 1443 G0WHO         599 16 WU3A          599 557
QSO: 14006 CW 2010-05-29 1448 G0WHO         599 017 C4I           599 0692
QSO: 14000 CW 2010-05-29 1450 G0WHO         599 0018 UA3MIF        599 1133
QSO: 14006 CW 2010-05-29 1452 G0WHO         599 019 K1LZ          599 0751
QSO: 14007 CW 2010-05-29 1459 G0WHO         599 20 RS3A          599 1204
QSO: 14007 CW 2010-05-29 1606 G0WHO         599 021 4O3A          599 0934
QSO: 14008 CW 2010-05-29 1614 G0WHO         599 023 KM3T          599 0953
QSO: 14012 CW 2010-05-29 1628 G0WHO         599 25 S50K          599 1060
QSO: 14013 CW 2010-05-29 1629 G0WHO         599 026 YL0Y          599 1586
QSO: 14000 CW 2010-05-29 1630 G0WHO         599 28 HG4F          599 714
QSO: 14000 CW 2010-05-29 1630 G0WHO         599 29 OL9Z          599 829
QSO: 14015 CW 2010-05-29 1633 G0WHO         599 030 DD2ML         599 0327
QSO: 14016 CW 2010-05-29 1634 G0WHO         599 031 SO9Q          599 1371
QSO: 14017 CW 2010-05-29 1636 G0WHO         599 032 9A5K          599 1062
QSO: 14018 CW 2010-05-29 1637 G0WHO         599 0033 S55T          599 1009
QSO: 14021 CW 2010-05-29 1642 G0WHO         599 0034 9A5W          599 1182
QSO: 14025 CW 2010-05-29 1644 G0WHO         599 035 SX1L          599 1550
QSO: 14026 CW 2010-05-29 1645 G0WHO         599 036 SC3N          599 587
QSO: 14000 CW 2010-05-29 1646 G0WHO         599 037 SP4JCQ        599 696
QSO: 14027 CW 2010-05-29 1646 G0WHO         599 038 ES9C          599 2027
QSO: 14029 CW 2010-05-29 1654 G0WHO         599 039 IO3J          599 0845
QSO: 14000 CW 2010-05-29 1656 G0WHO         599 040 HG1S          599 0615
QSO: 14033 CW 2010-05-29 1659 G0WHO         599 041 DL3YM         599 1101
QSO: 14034 CW 2010-05-29 1700 G0WHO         599 0042 CQ3L          599 1109
QSO: 14037 CW 2010-05-29 1701 G0WHO         599 0043 LY2W          599 0793
QSO: 14038 CW 2010-05-29 1901 G0WHO         599 044 DR1A          599 1238
QSO: 14000 CW 2010-05-29 1902 G0WHO         599 045 LZ9W          599 1238
QSO: 14040 CW 2010-05-29 1903 G0WHO         599 046 DK1QH         599 250
QSO: 14000 CW 2010-05-29 1908 G0WHO         599 47 UR5IFB        599 839
QSO: 14045 CW 2010-05-29 1909 G0WHO         599 048 S52OP         599 1364
QSO: 14000 CW 2010-05-29 1911 G0WHO         599 49 OK1EP         599 606
QSO: 14046 CW 2010-05-29 1912 G0WHO         599 0050 S52ZW         599 0603
QSO: 21066 CW 2010-05-29 2000 G0WHO         599 0051 S55O          599 0362
QSO: 21061 CW 2010-05-29 2025 G0WHO         599 0052 DH8BQA        599 0377
QSO: 21000 CW 2010-05-29 2059 G0WHO         599 0055 HG10P         599 0736
QSO: 21023 CW 2010-05-29 2059 G0WHO         599 0054 S50R          599 0721
QSO: 21020 CW 2010-05-29 2101 G0WHO         599 056 IQ2CJ         599 0833
QSO: 21000 CW 2010-05-29 2105 G0WHO         599 057 LZ9W          599 1066
QSO: 14000 CW 2010-05-29 2106 G0WHO         599 0058 LZ10RF        599 1138
QSO:  7008 CW 2010-05-29 2114 G0WHO         599 0059 ER0WW         599 2036
QSO:  7000 CW 2010-05-29 2115 G0WHO         599 060 R3/SM6LRR     599 0551
QSO: 28023 CW 2010-05-30 0850 G0WHO         599 0061 CQ3L          599 1022
QSO: 28009 CW 2010-05-30 0851 G0WHO         599 062 4L0A          599 2532
QSO: 28007 CW 2010-05-30 0852 G0WHO         599 063 OM3AG         599 0410
QSO: 21000 CW 2010-05-30 0855 G0WHO         599 064 OI6X          599 738
QSO: 21002 CW 2010-05-30 0857 G0WHO         599 065 UU1AZ         599 0866
QSO: 21004 CW 2010-05-30 0900 G0WHO         599 067 E73M          599 3072
QSO: 21014 CW 2010-05-30 0905 G0WHO         599 0068 CQ3L          599 0936
QSO: 21016 CW 2010-05-30 0910 G0WHO         599 069 IO3J          599 1394
QSO: 21026 CW 2010-05-30 0912 G0WHO         599 0072 EA4DRV        599 1187
QSO: 21016 CW 2010-05-30 0913 G0WHO         599 0070 9A4WY         599 1260
QSO: 21020 CW 2010-05-30 0913 G0WHO         599 0071 S52ZW         599 0526
QSO: 21026 CW 2010-05-30 0918 G0WHO         599 073 IT9BLB        599 1260
QSO: 21000 CW 2010-05-30 0919 G0WHO         599 74 LY7A          599 0822
QSO: 21000 CW 2010-05-30 0923 G0WHO         599 0075 LY2W          599 0503
QSO: 21000 CW 2010-05-30 0932 G0WHO         599 076 HA3NU         599 1771
QSO: 21035 CW 2010-05-30 0933 G0WHO         599 077 CR6K          599 2252
QSO: 21036 CW 2010-05-30 0934 G0WHO         599 078 IR3W          599 741
QSO: 21037 CW 2010-05-30 0935 G0WHO         599 079 9A5D          599 1089
QSO: 21038 CW 2010-05-30 0936 G0WHO         599 0080 OH8L          599 1736
QSO: 21038 CW 2010-05-30 0937 G0WHO         599 081 LY8O          599 1128
QSO: 21039 CW 2010-05-30 0941 G0WHO         599 082 OG0I          599 2139
QSO: 21000 CW 2010-05-30 1013 G0WHO         599 083 LY4T          599 1297
QSO: 14033 CW 2010-05-30 1048 G0WHO         599 085 DL0CS         599 1043
QSO: 14034 CW 2010-05-30 1048 G0WHO         599 084 RW2F          599 1575
QSO: 14031 CW 2010-05-30 1051 G0WHO         599 086 YL4U          599 0214
QSO: 14032 CW 2010-05-30 1639 G0WHO         599 087 LX7I          599 1538
QSO: 14025 CW 2010-05-30 1640 G0WHO         599 0088 DL1DTC        599 0648
QSO: 14034 CW 2010-05-30 1641 G0WHO         599 0089 YU0W          599 0742
QSO: 14033 CW 2010-05-30 1642 G0WHO         599 90 DL4FN         599 295
QSO: 14034 CW 2010-05-30 1644 G0WHO         599 91 LY3B          599 1361
QSO: 14034 CW 2010-05-30 1645 G0WHO         599 92 RX6AM         599 1291
QSO: 14037 CW 2010-05-30 1647 G0WHO         599 0093 UW5Q          599 1478
QSO: 14000 CW 2010-05-30 1648 G0WHO         599 94 OL7P          599 609
QSO: 14042 CW 2010-05-30 1650 G0WHO         599 0095 UW1G          599 3345
QSO: 14042 CW 2010-05-30 1651 G0WHO         599 096 OM7M          599 1454
QSO: 14000 CW 2010-05-30 1652 G0WHO         599 097 SM7CQY        599 259
QSO: 14045 CW 2010-05-30 1654 G0WHO         599 098 EI2CN         599 1455
