START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: DL1AQY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL1AQY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2011.
QSO: 14003 CW 2011-05-28 1135 DL1AQY        599 KP2M          599 1052
QSO: 14001 CW 2011-05-28 1253 DL1AQY        599 0002 KC3R          599 0779
QSO: 14003 CW 2011-05-28 1257 DL1AQY        599 003 OG2B          599 0889
QSO: 14007 CW 2011-05-28 1320 DL1AQY        599 004 ZC4LI         599 1064
QSO: 14000 CW 2011-05-28 1322 DL1AQY        599 0005 YU2A          599 0480
QSO: 14003 CW 2011-05-28 2108 DL1AQY        599 6 KP2M          599 2017
QSO: 21005 CW 2011-05-29 0859 DL1AQY        599 0006 LZ5R          599 1112
QSO: 21016 CW 2011-05-29 0900 DL1AQY        599 006 YU1KX         599 1080
QSO: 14009 CW 2011-05-29 0910 DL1AQY        599 006 RM2M          599 1080
QSO: 14013 CW 2011-05-29 0914 DL1AQY        599 0006 IK0YVV        599 1261
QSO: 14028 CW 2011-05-29 0916 DL1AQY        599 0006 ER4A          599 2514
QSO: 21013 CW 2011-05-29 0933 DL1AQY        599 006 OL7C          599 2030
QSO: 21034 CW 2011-05-29 0936 DL1AQY        599 006 II9T          599 1133
QSO:  7008 CW 2011-05-29 0949 DL1AQY        599 006 5P5L          599 1278
QSO:  7009 CW 2011-05-29 0952 DL1AQY        599 6 UA2F          599 1139
QSO:  7018 CW 2011-05-29 0954 DL1AQY        599 006 DK3YD         599 0036
QSO:  7026 CW 2011-05-29 0956 DL1AQY        599 006 DA0HST        599 1574
QSO: 14033 CW 2011-05-29 1248 DL1AQY        599 6 4L8A          599 1895
QSO: 14003 CW 2011-05-29 1515 DL1AQY        599 0006 MD2C          599 2074
QSO: 14006 CW 2011-05-29 1519 DL1AQY        599 0006 JH1EAQ        599 1182
QSO: 14007 CW 2011-05-29 1520 DL1AQY        599 006 E73W          599 1760
QSO: 14081 CW 2011-05-29 1551 DL1AQY        599 006 B7P           599 0635
QSO: 14199 CW 2011-05-29 1604 DL1AQY        599 006 J25DXA        599 2075
QSO: 14051 CW 2011-05-29 1733 DL1AQY        599 006 9V1YC         599 1282
QSO: 14022 CW 2011-05-29 1745 DL1AQY        599 0006 N2MM          599 1022
QSO: 14021 CW 2011-05-29 1747 DL1AQY        599 0006 9A4WY         599 0927
QSO: 14010 CW 2011-05-29 1800 DL1AQY        599 0006 4Z5TK         599 1166
QSO: 14003 CW 2011-05-29 2005 DL1AQY        599 0006 NY3A          599 2232
QSO: 14010 CW 2011-05-29 2014 DL1AQY        599 0006 HK1X          599 2276
QSO: 14010 CW 2011-05-29 2016 DL1AQY        599 006 K1LZ          599 2440
QSO: 14016 CW 2011-05-29 2020 DL1AQY        599 6 VP5CW         599 2837
QSO: 14000 CW 2011-05-29 2025 DL1AQY        599 6 K3ZO          599 1460
QSO: 14001 CW 2011-05-29 2047 DL1AQY        599 006 AJ1I          599 2658
QSO: 14017 CW 2011-05-29 2109 DL1AQY        599 0006 W2FU          599 2310
QSO: 14025 CW 2011-05-29 2112 DL1AQY        599 6 AA3B          599 2368
END-OF-LOG:
