START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: DL7LX
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL7LX
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2011.
QSO:  7001 CW 2011-05-28 0127 DL7LX         599 WC1M          599 155
QSO:  7001 CW 2011-05-28 0131 DL7LX         599 002 K1LZ          599 0199
QSO:  7002 CW 2011-05-28 0134 DL7LX         599 003 IZ8GCB        599 0104
QSO:  7003 CW 2011-05-28 0136 DL7LX         599 004 K3WW          599 192
QSO:  7003 CW 2011-05-28 0137 DL7LX         599 005 WW1WW         599 0189
QSO:  7005 CW 2011-05-28 0144 DL7LX         599 6 VY2TT         599 236
QSO:  7005 CW 2011-05-28 0147 DL7LX         599 007 AJ1I          599 0216
QSO:  7005 CW 2011-05-28 0151 DL7LX         599 008 VY2ZM         599 247
QSO:  7007 CW 2011-05-28 0155 DL7LX         599 009 SV2HWR        599 0179
QSO:  7008 CW 2011-05-28 0159 DL7LX         599 0010 C4N           599 0432
QSO:  7009 CW 2011-05-28 0201 DL7LX         599 11 AK1W          599 275
QSO:  7010 CW 2011-05-28 0201 DL7LX         599 0011 OG73X         599 0130
QSO:  7010 CW 2011-05-28 0202 DL7LX         599 0012 OG73X         599 0133
QSO:  7009 CW 2011-05-28 0204 DL7LX         599 013 NW7R          599 0227
QSO:  7011 CW 2011-05-28 0206 DL7LX         599 0014 HK1N          599 0193
QSO:  7011 CW 2011-05-28 0209 DL7LX         599 15 KP2M          599 261
QSO:  7016 CW 2011-05-28 0215 DL7LX         599 016 TM6M          599 0283
QSO:  7040 CW 2011-05-28 0224 DL7LX         599 0017 EF5Y          599 0246
QSO:  3506 CW 2011-05-28 0230 DL7LX         599 0018 OV5A          599 0167
QSO: 21020 CW 2011-05-28 0811 DL7LX         599 019 A71EM         599 0384
QSO: 21031 CW 2011-05-28 0817 DL7LX         599 0021 UZ2M          599 0923
QSO: 21000 CW 2011-05-28 0818 DL7LX         599 0020 ED3T          599 0071
QSO: 21039 CW 2011-05-28 0824 DL7LX         599 22 UN8GV         599 406
QSO: 14003 CW 2011-05-28 0833 DL7LX         599 023 YL6W          599 0664
QSO: 14004 CW 2011-05-28 0834 DL7LX         599 0024 OH3LB         599 0399
QSO: 14005 CW 2011-05-28 0836 DL7LX         599 025 CQ3A          599 1132
QSO: 14006 CW 2011-05-28 0843 DL7LX         599 0026 C4N           599 1429
QSO: 14007 CW 2011-05-28 0845 DL7LX         599 027 G5D           599 0607
QSO: 14008 CW 2011-05-28 0846 DL7LX         599 028 EF5F          599 0598
QSO: 14011 CW 2011-05-28 0848 DL7LX         599 29 UP4L          599 561
