START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: JA0DAI
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JA0DAI
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2011.
QSO: 28014 CW 2011-05-28 0023 JA0DAI        599 UN9GD         599 16
QSO: 21000 CW 2011-05-28 0107 JA0DAI        599 0002 LU4FM         599 0075
QSO: 28012 CW 2011-05-28 0134 JA0DAI        599 003 NH2T          599 0198
QSO: 14000 CW 2011-05-28 0253 JA0DAI        599 0004 LU4FM         599 0260
QSO: 28017 CW 2011-05-28 0256 JA0DAI        599 5 UN8GV         599 69
QSO: 28006 CW 2011-05-28 0306 JA0DAI        599 061 HS0ZDY        599 61
QSO: 21000 CW 2011-05-28 0526 JA0DAI        599 007 5B/US7IDX     599 0435
QSO: 21044 CW 2011-05-28 0553 JA0DAI        599 8 SZ1A          599 362
QSO: 21000 CW 2011-05-28 0558 JA0DAI        599 009 YB0AKM        599 122
QSO: 21040 CW 2011-05-28 0600 JA0DAI        599 0010 YR1C          599 0508
QSO: 21004 CW 2011-05-28 0602 JA0DAI        599 0011 C4N           599 1028
QSO: 21000 CW 2011-05-28 0606 JA0DAI        599 12 NH7A          599 636
QSO: 14025 CW 2011-05-28 0612 JA0DAI        599 013 J7A           599 0485
QSO: 14043 CW 2011-05-28 0614 JA0DAI        599 0014 3G1R          599 0279
QSO: 21049 CW 2011-05-28 0627 JA0DAI        599 015 HZ1FI         599 0566
QSO: 28000 CW 2011-05-28 0638 JA0DAI        599 0016 HS0AC         599 0179
QSO: 21000 CW 2011-05-28 0640 JA0DAI        599 0017 YE1C          599 0481
QSO: 21023 CW 2011-05-28 0642 JA0DAI        599 018 A73A          599 0756
QSO: 21040 CW 2011-05-28 0645 JA0DAI        599 019 4L0A          599 0600
QSO: 21000 CW 2011-05-28 0647 JA0DAI        599 20 EX2X          599 164
QSO: 21054 CW 2011-05-28 0651 JA0DAI        599 21 AH2/N2TTA     599 94
QSO: 14000 CW 2011-05-28 0806 JA0DAI        599 013 YT0Z          599 0581
QSO: 14009 CW 2011-05-28 0806 JA0DAI        599 024 DA2MORSE      599 0208
QSO: 14044 CW 2011-05-28 0810 JA0DAI        599 0025 MD2C          599 0718
QSO: 14024 CW 2011-05-28 0812 JA0DAI        599 026 3V8SS         599 0291
QSO: 14054 CW 2011-05-28 0818 JA0DAI        599 17 SZ1A          599 606
QSO:  7024 CW 2011-05-28 0823 JA0DAI        599 0028 3G1R          599 0348
QSO:  7001 CW 2011-05-28 0825 JA0DAI        599 0029 CW5W          599 0527
QSO:  7033 CW 2011-05-28 0833 JA0DAI        599 030 NH2T          599 0861
QSO: 14051 CW 2011-05-28 0843 JA0DAI        599 031 SX1L          599 0754
QSO: 14000 CW 2011-05-28 0855 JA0DAI        599 32 NH7A          599 872
QSO: 14016 CW 2011-05-28 0905 JA0DAI        599 0633 EV1R          599 0677
QSO: 14005 CW 2011-05-28 0910 JA0DAI        599 034 CQ3A          599 1199
QSO: 14007 CW 2011-05-28 0912 JA0DAI        599 035 5P5L          599 0447
QSO: 14000 CW 2011-05-28 0917 JA0DAI        599 036 Z35X          599 0220
QSO:  7000 CW 2011-05-28 0930 JA0DAI        599 37 PJ4A          599 1052
QSO:  7000 CW 2011-05-28 0934 JA0DAI        599 38 NH7A          599 931
QSO:  7000 CW 2011-05-28 0940 JA0DAI        599 0039 PS2T          599 0829
QSO:  7032 CW 2011-05-28 0945 JA0DAI        599 040 KH7X          599 1041
QSO: 21032 CW 2011-05-28 0958 JA0DAI        599 051 J25DXA        599 0359
QSO: 21035 CW 2011-05-28 1001 JA0DAI        599 042 4O3A          599 0775
QSO: 21022 CW 2011-05-28 1003 JA0DAI        599 043 3V8SS         599 0490
QSO: 21044 CW 2011-05-28 1031 JA0DAI        599 044 P33W          599 0785
QSO: 21040 CW 2011-05-28 1226 JA0DAI        599 046 OG8X          599 0820
QSO: 28029 CW 2011-05-28 1256 JA0DAI        599 047 HZ1FI         599 0793
QSO: 28011 CW 2011-05-28 1259 JA0DAI        599 048 SK3W          599 0092
QSO: 28015 CW 2011-05-28 1303 JA0DAI        599 49 OH4A          599 148
QSO: 28000 CW 2011-05-28 1306 JA0DAI        599 0051 YE1C          599 0967
QSO: 28019 CW 2011-05-28 1306 JA0DAI        599 0005 OH4MDY        599 0102
QSO:  7044 CW 2011-05-28 2012 JA0DAI        599 052 J25DXA        599 1155
QSO:  7042 CW 2011-05-28 2021 JA0DAI        599 53 OH4A          599 778
QSO:  7009 CW 2011-05-28 2023 JA0DAI        599 054 P33W          599 1724
QSO:  7024 CW 2011-05-28 2044 JA0DAI        599 55 UP0L          599 1978
QSO: 14018 CW 2011-05-28 2056 JA0DAI        599 056 ZC4LI         599 1418
QSO: 14045 CW 2011-05-28 2103 JA0DAI        599 057 ED8A          599 1104
QSO: 14057 CW 2011-05-28 2114 JA0DAI        599 058 EF8M          599 2099
QSO: 14065 CW 2011-05-28 2118 JA0DAI        599 059 4L0A          599 1841
QSO: 14000 CW 2011-05-28 2121 JA0DAI        599 070 5B/US7IDX     599 1275
QSO: 21011 CW 2011-05-28 2227 JA0DAI        599 061 KH7X          599 1449
QSO: 14047 CW 2011-05-28 2233 JA0DAI        599 0062 C4N           599 3056
QSO: 21007 CW 2011-05-28 2315 JA0DAI        599 063 VK4CT         599 1028
QSO: 21035 CW 2011-05-29 0116 JA0DAI        599 64 VK7GN         599 358
QSO: 21012 CW 2011-05-29 0122 JA0DAI        599 65 ZL2J          599 741
QSO: 21009 CW 2011-05-29 0124 JA0DAI        599 66 UA0S          599 1377
QSO: 28016 CW 2011-05-29 0126 JA0DAI        599 67 JT5DX         599 1746
QSO: 28013 CW 2011-05-29 0154 JA0DAI        599 0068 XU7ACY        599 0254
QSO: 14041 CW 2011-05-29 0300 JA0DAI        599 069 KH7X          599 1600
QSO: 14000 CW 2011-05-29 0313 JA0DAI        599 0070 LS1D          599 1800
QSO: 14001 CW 2011-05-29 0317 JA0DAI        599 0061 YW4D          599 1460
QSO: 21025 CW 2011-05-29 0425 JA0DAI        599 072 9M2/KM9D      599 148
QSO: 28000 CW 2011-05-29 0705 JA0DAI        599 0073 E21EIC/4      599 0154
QSO: 21050 CW 2011-05-29 0724 JA0DAI        599 0075 YO9HP         599 1676
QSO: 21059 CW 2011-05-29 0726 JA0DAI        599 076 VR2KW         599 288
QSO: 21010 CW 2011-05-29 0731 JA0DAI        599 077 E73M          599 2620
QSO:  7000 CW 2011-05-29 0735 JA0DAI        599 0198 LU4FM         599 0752
QSO:  7000 CW 2011-05-29 0739 JA0DAI        599 0079 LS1D          599 2004
QSO: 21003 CW 2011-05-29 0743 JA0DAI        599 080 Z36W          599 0849
QSO: 21000 CW 2011-05-29 0754 JA0DAI        599 081 T70A          599 2474
QSO: 14064 CW 2011-05-29 0830 JA0DAI        599 0083 CR3L          599 1517
QSO: 14014 CW 2011-05-29 1021 JA0DAI        599 84 OH4A          599 1352
QSO: 14026 CW 2011-05-29 1211 JA0DAI        599 085 SJ2W          599 3002
QSO: 14040 CW 2011-05-29 1241 JA0DAI        599 085 E73W          599 1682
QSO: 14000 CW 2011-05-29 1249 JA0DAI        599 0087 YE1C          599 2155
QSO:  7001 CW 2011-05-29 2023 JA0DAI        599 0078 C4N           599 4995
QSO:  7041 CW 2011-05-29 2038 JA0DAI        599 089 A73A          599 4152
QSO: 14057 CW 2011-05-29 2044 JA0DAI        599 090 E73M          599 3475
QSO: 14045 CW 2011-05-29 2046 JA0DAI        599 91 OG0Z          599 2504
QSO: 14041 CW 2011-05-29 2049 JA0DAI        599 092 TM6X          599 2339
QSO: 14038 CW 2011-05-29 2051 JA0DAI        599 093 9A04JB        599 2324
QSO: 14031 CW 2011-05-29 2056 JA0DAI        599 094 4O3A          599 3529
