START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: K5CM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K5CM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2011.
QSO: 14017 CW 2011-05-28 1550 K5CM          599 VP5CW         599 1267
QSO: 21027 CW 2011-05-28 1922 K5CM          599 2 VP5CW         599 1461
QSO: 21028 CW 2011-05-28 1926 K5CM          599 0002 WN1GIV        599 0522
QSO: 21035 CW 2011-05-28 1930 K5CM          599 0004 HQ9R          599 0440
QSO: 21038 CW 2011-05-28 1933 K5CM          599 5 VY2TT         599 1359
QSO: 21030 CW 2011-05-28 2104 K5CM          599 0006 KZ7X          599 0247
QSO: 21037 CW 2011-05-28 2106 K5CM          599 7 K4FJ          599 196
QSO: 21004 CW 2011-05-28 2108 K5CM          599 8 NR4M          599 498
QSO: 21009 CW 2011-05-28 2108 K5CM          599 009 VA2EW         599 0824
QSO: 21039 CW 2011-05-28 2111 K5CM          599 010 W4SVO         599 0444
QSO: 14001 CW 2011-05-28 2112 K5CM          599 11 WC1M          599 1256
QSO: 14002 CW 2011-05-28 2113 K5CM          599 0012 N2WQ/VE3      599 0634
QSO: 14000 CW 2011-05-28 2114 K5CM          599 13 N8II          599 354
QSO: 14003 CW 2011-05-28 2115 K5CM          599 14 NR4M          599 921
QSO: 14004 CW 2011-05-28 2115 K5CM          599 0015 KC3R          599 1283
QSO: 14004 CW 2011-05-28 2251 K5CM          599 016 FM5CD         599 1436
QSO: 14005 CW 2011-05-28 2252 K5CM          599 0017 NY3A          599 1193
QSO: 14006 CW 2011-05-28 2254 K5CM          599 018 E73W          599 1162
QSO: 14000 CW 2011-05-28 2257 K5CM          599 20 PJ4A          599 2119
QSO: 14000 CW 2011-05-28 2301 K5CM          599 022 YT0Z          599 1419
QSO: 14000 CW 2011-05-28 2301 K5CM          599 0021 YT9A          599 1275
QSO: 14010 CW 2011-05-28 2304 K5CM          599 0023 KR2AA         599 0405
QSO: 14013 CW 2011-05-29 0210 K5CM          599 024 NQ4I          599 1388
QSO: 14015 CW 2011-05-29 0213 K5CM          599 25 NK7U          599 1631
QSO: 14000 CW 2011-05-29 0217 K5CM          599 026 XE1AY         599 0041
QSO: 14028 CW 2011-05-29 0221 K5CM          599 0027 VA7ST         599 0447
QSO: 14000 CW 2011-05-29 0224 K5CM          599 0028 PV8ADI        599 0591
QSO: 14029 CW 2011-05-29 0225 K5CM          599 0029 WI7N          599 0414
QSO: 14030 CW 2011-05-29 0226 K5CM          599 0030 N6JV          599 0588
QSO: 14032 CW 2011-05-29 0227 K5CM          599 0031 VC7M          599 0976
QSO: 14033 CW 2011-05-29 0227 K5CM          599 032 EF8M          599 2652
QSO: 14031 CW 2011-05-29 0236 K5CM          599 0033 A65CA         599 1292
QSO: 14029 CW 2011-05-29 0237 K5CM          599 0034 RG4F          599 0157
QSO: 14014 CW 2011-05-29 0238 K5CM          599 35 NN7SS         599 340
QSO: 14011 CW 2011-05-29 0242 K5CM          599 0036 RG6G          599 1933
QSO: 14000 CW 2011-05-29 0442 K5CM          599 0037 LU4FM         599 0947
QSO: 14033 CW 2011-05-29 0442 K5CM          599 0038 YW4D          599 1574
QSO: 14041 CW 2011-05-29 0446 K5CM          599 39 KH7X          599 1728
QSO: 14069 CW 2011-05-29 0449 K5CM          599 0040 ZL4NX         599 0189
QSO: 14036 CW 2011-05-29 0451 K5CM          599 41 NF6A          599 1390
QSO: 14064 CW 2011-05-29 0452 K5CM          599 0042 NI6T          599 1424
QSO: 14038 CW 2011-05-29 0500 K5CM          599 043 ZM3T          599 0626
QSO:  7026 CW 2011-05-29 0504 K5CM          599 044 NR6O          599 0709
QSO:  7026 CW 2011-05-29 0505 K5CM          599 045 CQ3A          599 3551
QSO:  7020 CW 2011-05-29 0506 K5CM          599 0046 CR3L          599 1004
QSO:  7016 CW 2011-05-29 0507 K5CM          599 047 G5W           599 1872
QSO:  7004 CW 2011-05-29 0509 K5CM          599 048 P40W          599 2669
QSO:  7002 CW 2011-05-29 0513 K5CM          599 49 ZL2J          599 834
QSO:  7036 CW 2011-05-29 0515 K5CM          599 0050 NP4Z          599 1932
QSO:  7037 CW 2011-05-29 0519 K5CM          599 52 WH7M          599 1599
QSO:  7041 CW 2011-05-29 0520 K5CM          599 053 ED8A          599 1548
QSO:  7000 CW 2011-05-29 1410 K5CM          599 54 XE2S          599 598
QSO:  7018 CW 2011-05-29 1426 K5CM          599 055 NX5M          599 0915
QSO: 14004 CW 2011-05-29 2134 K5CM          599 057 TM6M          599 3432
QSO: 14005 CW 2011-05-29 2136 K5CM          599 0058 N2MM          599 1151
QSO: 14000 CW 2011-05-29 2139 K5CM          599 059 YT4W          599 1067
QSO: 14014 CW 2011-05-29 2140 K5CM          599 0060 YL3FT         599 1650
QSO: 14024 CW 2011-05-29 2141 K5CM          599 0061 9A3IH         599 0412
QSO: 14030 CW 2011-05-29 2143 K5CM          599 062 4O3A          599 3611
END-OF-LOG:
