START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: W0IZ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W0IZ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2011.
QSO: 14032 CW 2011-05-28 1454 W0IZ          599 W7YS          599 0318
QSO: 14033 CW 2011-05-28 1456 W0IZ          599 0101 N7IX          599 0034
QSO: 14033 CW 2011-05-28 1456 W0IZ          599 0100 WD5K          599 0084
QSO: 14033 CW 2011-05-28 1457 W0IZ          599 102 ND2T          599 609
QSO: 14033 CW 2011-05-28 1458 W0IZ          599 0104 N7BV          599 0544
QSO: 14033 CW 2011-05-28 1458 W0IZ          599 0103 NI6T          599 0883
QSO: 14033 CW 2011-05-28 1502 W0IZ          599 0105 W4CU          599 0341
QSO: 14032 CW 2011-05-28 1503 W0IZ          599 106 W0RAA         599 133
QSO: 14033 CW 2011-05-28 1504 W0IZ          599 0108 K7IA          599 0389
QSO: 14033 CW 2011-05-28 1505 W0IZ          599 0108 VE7SV         599 0895
QSO: 14033 CW 2011-05-28 1507 W0IZ          599 0109 WD4AHZ        599 0354
QSO: 14033 CW 2011-05-28 1515 W0IZ          599 0110 K7JQ          599 0326
QSO: 14033 CW 2011-05-28 1516 W0IZ          599 0111 N7TT          599 0551
QSO: 14033 CW 2011-05-28 1518 W0IZ          599 0112 KR7C          599 0171
QSO: 14033 CW 2011-05-28 1519 W0IZ          599 0113 VE9ML         599 0228
QSO: 14033 CW 2011-05-28 1520 W0IZ          599 0115 N0SXX         599 0428
QSO: 14033 CW 2011-05-28 1523 W0IZ          599 0117 K7WP          599 0464
QSO: 14033 CW 2011-05-28 1527 W0IZ          599 119 N6WIN         599 522
QSO: 14033 CW 2011-05-28 1527 W0IZ          599 119 W7OM          599 234
QSO: 14033 CW 2011-05-28 1528 W0IZ          599 0120 WI5ID         599 0213
QSO: 14039 CW 2011-05-28 1537 W0IZ          599 0121 W6SX          599 0654
QSO: 14000 CW 2011-05-28 1541 W0IZ          599 0122 N3GD          599 0225
QSO: 14039 CW 2011-05-28 1543 W0IZ          599 0123 VE6TL         599 0210
QSO: 14042 CW 2011-05-28 1551 W0IZ          599 127 NU7J          599 186
QSO: 14035 CW 2011-05-28 1827 W0IZ          599 0429 KC7V          599 0708
QSO: 14035 CW 2011-05-28 1828 W0IZ          599 0430 VA7DZ         599 0198
QSO: 14038 CW 2011-05-28 1949 W0IZ          599 0434 VE3GTC        599 0182
QSO: 14038 CW 2011-05-28 1950 W0IZ          599 0435 WC7Q          599 0222
QSO: 14038 CW 2011-05-28 1951 W0IZ          599 436 NF4A          599 0728
QSO: 14051 CW 2011-05-28 2027 W0IZ          599 0437 AD7JP         599 0655
QSO: 14051 CW 2011-05-28 2031 W0IZ          599 0438 WK5T          599 1343
QSO: 14050 CW 2011-05-28 2034 W0IZ          599 439 NR5M          599 1012
QSO:  7000 CW 2011-05-28 2158 W0IZ          599 0441 KB3LIX        599 0292
QSO:  7000 CW 2011-05-28 2159 W0IZ          599 445 WB8JUI        599 250
QSO:  7028 CW 2011-05-28 2159 W0IZ          599 444 NX5M          599 0482
QSO:  7028 CW 2011-05-28 2200 W0IZ          599 443 AB2DE         599 165
QSO:  7000 CW 2011-05-28 2201 W0IZ          599 446 K4FJW         599 117
QSO:  7028 CW 2011-05-28 2204 W0IZ          599 0449 K3MD          599 0338
QSO:  7028 CW 2011-05-28 2205 W0IZ          599 0450 VE3WT         599 0093
QSO:  7028 CW 2011-05-28 2209 W0IZ          599 0451 VA3XOV        599 0089
