START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: DL3HAE
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL3HAE
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2012.
QSO: 14012 CW 2012-05-26 0718 DL3HAE        599 WC1M          599 801
QSO: 14012 CW 2012-05-26 0720 DL3HAE        599 2 R7AW          599 557
QSO: 14014 CW 2012-05-26 0723 DL3HAE        599 0003 N5WR          599 0865
QSO: 14025 CW 2012-05-26 0726 DL3HAE        599 004 LY6A          599 0722
QSO: 14034 CW 2012-05-26 0732 DL3HAE        599 0005 GM5A          599 0523
QSO: 14045 CW 2012-05-26 0734 DL3HAE        599 0006 WM3T          599 0789
QSO: 14052 CW 2012-05-26 0736 DL3HAE        599 0007 NY3A          599 0851
QSO: 14000 CW 2012-05-26 0737 DL3HAE        599 8 UA1ZZ         599 260
QSO: 14062 CW 2012-05-26 0810 DL3HAE        599 009 WA1FCN        599 389
QSO: 14065 CW 2012-05-26 0813 DL3HAE        599 010 GQ8SRS        599 0269
QSO: 14003 CW 2012-05-26 0817 DL3HAE        599 011 K1LZ          599 0868
QSO: 14005 CW 2012-05-26 0824 DL3HAE        599 0012 HK1NA         599 0877
QSO: 28000 CW 2012-05-26 0830 DL3HAE        599 013 3V8BB         599 0661
QSO: 28023 CW 2012-05-26 0836 DL3HAE        599 125 IR9Y          599 112
QSO: 28025 CW 2012-05-26 0838 DL3HAE        599 016 EA5AER        599 0287
QSO:  7000 CW 2012-05-26 0853 DL3HAE        599 017 EA2LU         599 0161
QSO:  7000 CW 2012-05-26 0857 DL3HAE        599 018 DJ2RG         599 050
QSO:  7017 CW 2012-05-26 0858 DL3HAE        599 019 DK7YY/P       599 0379
QSO:  7020 CW 2012-05-26 0859 DL3HAE        599 0020 DJ8OG         599 0373
QSO:  7020 CW 2012-05-26 0901 DL3HAE        599 021 DL4CF         599 0027
QSO:  7028 CW 2012-05-26 0903 DL3HAE        599 022 OL4A          599 0420
QSO:  7032 CW 2012-05-26 0904 DL3HAE        599 023 LZ9W          599 0720
QSO:  7034 CW 2012-05-26 0904 DL3HAE        599 24 LY7A          599 489
QSO: 14005 CW 2012-05-26 0907 DL3HAE        599 025 YP5A          599 349
QSO: 14006 CW 2012-05-26 0910 DL3HAE        599 0026 YL2AG         599 0287
QSO: 14040 CW 2012-05-26 0913 DL3HAE        599 027 YT0A          599 0839
QSO: 14030 CW 2012-05-26 0919 DL3HAE        599 028 9A1A          599 0866
QSO: 14032 CW 2012-05-26 0922 DL3HAE        599 029 OM3DX         599 0024
QSO: 14036 CW 2012-05-26 0925 DL3HAE        599 0030 EM2G          599 0738
QSO: 14001 CW 2012-05-26 2238 DL3HAE        599 031 K0DQ          599 2046
QSO: 14011 CW 2012-05-26 2242 DL3HAE        599 0032 PW7T          599 0659
QSO: 14012 CW 2012-05-26 2244 DL3HAE        599 0033 VC3T          599 1555
QSO: 14011 CW 2012-05-26 2248 DL3HAE        599 0034 NR4M          599 1456
QSO: 14013 CW 2012-05-26 2248 DL3HAE        599 0035 KD4D          599 1039
QSO: 14025 CW 2012-05-26 2258 DL3HAE        599 0037 WR3O          599 1751
QSO: 14031 CW 2012-05-26 2301 DL3HAE        599 0038 AD4EB         599 1164
QSO: 14051 CW 2012-05-26 2310 DL3HAE        599 040 VE3EJ         599 1718
QSO: 14058 CW 2012-05-26 2312 DL3HAE        599 0041 W1UJ          599 1193
QSO: 14003 CW 2012-05-26 2314 DL3HAE        599 42 KQ2M          599 1509
QSO: 14004 CW 2012-05-26 2317 DL3HAE        599 043 K9NW          599 992
QSO: 14007 CW 2012-05-26 2318 DL3HAE        599 044 W8MJ          599 1470
QSO: 14008 CW 2012-05-26 2320 DL3HAE        599 0045 WF2B          599 0861
QSO: 14009 CW 2012-05-26 2322 DL3HAE        599 046 NU5A          599 1939
QSO: 14015 CW 2012-05-26 2323 DL3HAE        599 047 WN9O          599 904
QSO: 14000 CW 2012-05-26 2325 DL3HAE        599 48 KJ9D          599 1158
QSO: 14017 CW 2012-05-26 2326 DL3HAE        599 0049 NA4K          599 0842
QSO: 14019 CW 2012-05-26 2330 DL3HAE        599 050 6Y3W          599 2491
QSO: 14023 CW 2012-05-26 2331 DL3HAE        599 51 XP2I          599 941
QSO: 14032 CW 2012-05-26 2337 DL3HAE        599 053 NQ4I          599 1469
QSO: 14034 CW 2012-05-26 2340 DL3HAE        599 0054 VE2OXA        599 1169
QSO: 14053 CW 2012-05-26 2342 DL3HAE        599 055 KP2M          599 2618
QSO: 14064 CW 2012-05-26 2346 DL3HAE        599 056 5C5W          599 827
QSO:  7002 CW 2012-05-26 2349 DL3HAE        599 0056 HK1NA         599 0960
QSO: 14010 CW 2012-05-27 0735 DL3HAE        599 59 NY4A          599 2797
QSO: 14016 CW 2012-05-27 0827 DL3HAE        599 0060 GI4DOH        599 0856
QSO: 14000 CW 2012-05-27 0843 DL3HAE        599 061 UA2FL         599 924
QSO: 14000 CW 2012-05-27 0846 DL3HAE        599 062 CS2W          599 2104
QSO: 14026 CW 2012-05-27 0847 DL3HAE        599 063 DR1A          599 2425
QSO: 14000 CW 2012-05-27 0848 DL3HAE        599 0064 EA3GXJ        599 1532
QSO: 14029 CW 2012-05-27 0850 DL3HAE        599 065 9A1A          599 2077
QSO: 14034 CW 2012-05-27 0852 DL3HAE        599 0066 OR2F          599 0956
QSO: 14037 CW 2012-05-27 0854 DL3HAE        599 0067 YL2KF         599 0503
QSO: 14000 CW 2012-05-27 0856 DL3HAE        599 068 HG4F          599 1181
QSO: 14044 CW 2012-05-27 0859 DL3HAE        599 069 LZ9W          599 2051
QSO: 14045 CW 2012-05-27 0900 DL3HAE        599 0070 9A4WY         599 1337
QSO: 14048 CW 2012-05-27 0901 DL3HAE        599 71 RT9A          599 1895
QSO: 14051 CW 2012-05-27 0903 DL3HAE        599 0072 SM0BSO        599 0684
QSO: 14052 CW 2012-05-27 0907 DL3HAE        599 983 IZ5DKJ        599 272
QSO: 14055 CW 2012-05-27 0909 DL3HAE        599 074 HB9ARF        599 1003
QSO: 14057 CW 2012-05-27 0912 DL3HAE        599 076 DL1DVE        599 0875
QSO: 14058 CW 2012-05-27 0914 DL3HAE        599 77 EW8DX         599 1581
QSO: 14059 CW 2012-05-27 0916 DL3HAE        599 178 I1NVU         599 846
QSO: 14045 CW 2012-05-27 0918 DL3HAE        599 79 LY7A          599 1802
QSO: 14063 CW 2012-05-27 0921 DL3HAE        599 080 RC5A          599 1657
QSO: 14000 CW 2012-05-27 0923 DL3HAE        599 081 I1EIS         599 789
QSO: 14002 CW 2012-05-27 0923 DL3HAE        599 0082 NN5J          599 2445
QSO: 14184 CW 2012-05-27 0928 DL3HAE        599 0083 E74Y          599 0790
QSO: 14010 CW 2012-05-27 0930 DL3HAE        599 0084 WW2DX         599 2959
QSO: 14018 CW 2012-05-27 0932 DL3HAE        599 085 SK3W          599 1583
QSO: 14024 CW 2012-05-27 0934 DL3HAE        599 0086 PB2JJ         599 1246
QSO: 14044 CW 2012-05-27 0938 DL3HAE        599 087 HG1X          599 0464
QSO: 14047 CW 2012-05-27 0940 DL3HAE        599 088 F5IN          599 1380
QSO: 14053 CW 2012-05-27 0943 DL3HAE        599 0090 OH7KBF        599 0420
QSO: 14000 CW 2012-05-27 0946 DL3HAE        599 91 UZ0U          599 773
QSO: 14069 CW 2012-05-27 0947 DL3HAE        599 092 F6DYX         599 0428
QSO: 28024 CW 2012-05-27 0949 DL3HAE        599 93 RA3EA         599 878
QSO: 28003 CW 2012-05-27 0950 DL3HAE        599 094 IR4X          599 2365
QSO: 28025 CW 2012-05-27 0957 DL3HAE        599 096 LY7A          599 560
QSO: 28030 CW 2012-05-27 0957 DL3HAE        599 0095 ED3T          599 0889
QSO: 28032 CW 2012-05-27 0959 DL3HAE        599 097 9A3VM         599 0677
QSO: 28051 CW 2012-05-27 1006 DL3HAE        599 100 RU1A          599 4448
QSO:  7017 CW 2012-05-27 1244 DL3HAE        599 102 OL3Z          599 1289
QSO:  7014 CW 2012-05-27 1248 DL3HAE        599 0104 S57Z          599 1071
QSO:  7014 CW 2012-05-27 1248 DL3HAE        599 103 UA2KW         599 1439
QSO:  7012 CW 2012-05-27 1250 DL3HAE        599 0105 YL3FT         599 0972
QSO:  7008 CW 2012-05-27 1252 DL3HAE        599 0107 OM3KWZ        599 1526
QSO:  7009 CW 2012-05-27 1252 DL3HAE        599 106 9A1A          599 1432
QSO: 14010 CW 2012-05-27 1255 DL3HAE        599 0108 YQ6A          599 1960
QSO: 14012 CW 2012-05-27 1256 DL3HAE        599 109 SP5GRM        599 1226
QSO: 14014 CW 2012-05-27 1300 DL3HAE        599 0120 UZ4I          599 1758
QSO: 14016 CW 2012-05-27 1301 DL3HAE        599 0111 US7L          599 1653
QSO: 14017 CW 2012-05-27 1303 DL3HAE        599 0112 SP2KPD        599 1461
QSO: 14022 CW 2012-05-27 1304 DL3HAE        599 0113 N2MM          599 1306
QSO: 14000 CW 2012-05-27 1307 DL3HAE        599 114 EV6M          599 621
QSO: 14025 CW 2012-05-27 1309 DL3HAE        599 115 RM9I          599 2226
QSO: 14026 CW 2012-05-27 1310 DL3HAE        599 116 IR9Y          599 1902
QSO: 14000 CW 2012-05-27 1312 DL3HAE        599 117 UT7NY         599 1215
