START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: IK2EAD
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IK2EAD
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2012.
QSO: 21015 CW 2012-05-26 0848 IK2EAD        599 BY1OK         599 202
QSO: 21014 CW 2012-05-26 0849 IK2EAD        599 0002 HK1NA         599 0894
QSO: 21041 CW 2012-05-26 0857 IK2EAD        599 0003 ST2AR         599 0998
QSO: 21000 CW 2012-05-26 0858 IK2EAD        599 004 Z33F          599 0188
QSO: 21000 CW 2012-05-26 0902 IK2EAD        599 005 JE7YSS        599 068
QSO: 21002 CW 2012-05-26 0902 IK2EAD        599 7 JH3AIU        599 246
QSO: 21000 CW 2012-05-26 0903 IK2EAD        599 006 JR1AIB        599 594
QSO: 21000 CW 2012-05-26 0905 IK2EAD        599 008 JH7XGN        599 425
QSO: 21045 CW 2012-05-26 0908 IK2EAD        599 009 JO3JIS        599 694
QSO: 21065 CW 2012-05-26 0909 IK2EAD        599 10 RT0C          599 773
QSO: 21000 CW 2012-05-26 1224 IK2EAD        599 11 YT4B          599 637
QSO: 21013 CW 2012-05-26 1227 IK2EAD        599 012 E73W          599 0678
QSO: 21008 CW 2012-05-26 1229 IK2EAD        599 013 NU5A          599 1228
QSO: 21000 CW 2012-05-26 1231 IK2EAD        599 14 K3ZO          599 838
QSO: 21021 CW 2012-05-26 1234 IK2EAD        599 0015 WW2DX         599 1313
QSO: 21021 CW 2012-05-26 1237 IK2EAD        599 016 W8MJ          599 0790
QSO: 21011 CW 2012-05-26 1240 IK2EAD        599 0017 NN1AA         599 0733
QSO: 21035 CW 2012-05-26 1241 IK2EAD        599 018 A65BD         599 1034
QSO: 21003 CW 2012-05-26 1243 IK2EAD        599 019 NV1N          599 0644
QSO: 21000 CW 2012-05-26 1244 IK2EAD        599 20 P49Y          599 1080
QSO: 21053 CW 2012-05-26 1248 IK2EAD        599 021 OH0X          599 1115
QSO: 21005 CW 2012-05-26 1249 IK2EAD        599 022 NQ4I          599 0685
QSO: 21039 CW 2012-05-26 1249 IK2EAD        599 0023 KD4D          599 0481
QSO: 21003 CW 2012-05-26 1252 IK2EAD        599 0024 NP4Z          599 0491
QSO: 21014 CW 2012-05-26 1311 IK2EAD        599 0026 YL2KO         599 0979
QSO: 21052 CW 2012-05-26 1318 IK2EAD        599 027 GM0F          599 1444
QSO: 21080 CW 2012-05-26 1343 IK2EAD        599 029 GM2V          599 0524
QSO: 21064 CW 2012-05-26 1345 IK2EAD        599 030 LN3Z          599 1027
QSO: 21091 CW 2012-05-26 1350 IK2EAD        599 0031 S58MU         599 0478
QSO: 21011 CW 2012-05-26 1351 IK2EAD        599 032 SP4Z          599 0633
QSO: 21056 CW 2012-05-26 1355 IK2EAD        599 033 YU5A          599 0827
QSO: 21061 CW 2012-05-26 1404 IK2EAD        599 035 OM7M          599 1378
QSO: 21037 CW 2012-05-26 1409 IK2EAD        599 0036 SP9LJD        599 0612
QSO: 21073 CW 2012-05-26 1411 IK2EAD        599 37 OG0Z          599 1364
QSO: 21000 CW 2012-05-26 1421 IK2EAD        599 138 HG1S          599 0696
QSO: 21010 CW 2012-05-26 1423 IK2EAD        599 41 AA3B          599 1188
QSO: 21022 CW 2012-05-26 1423 IK2EAD        599 040 6Y3W          599 1348
QSO: 21054 CW 2012-05-26 1450 IK2EAD        599 0042 KE3X          599 1103
QSO: 21095 CW 2012-05-26 1452 IK2EAD        599 0043 WF7T          599 0625
QSO: 21034 CW 2012-05-26 1456 IK2EAD        599 044 FM5CD         599 0980
QSO: 14000 CW 2012-05-26 1500 IK2EAD        599 45 W7WA          599 732
QSO: 14054 CW 2012-05-26 1504 IK2EAD        599 0047 VE7UF         599 0778
QSO: 14011 CW 2012-05-26 1505 IK2EAD        599 047 KL7RA         599 1107
QSO: 14059 CW 2012-05-26 1507 IK2EAD        599 48 XP2I          599 500
QSO: 14002 CW 2012-05-26 1508 IK2EAD        599 049 KM3T          599 1709
QSO: 14004 CW 2012-05-26 1509 IK2EAD        599 50 NK7U          599 1131
QSO: 14059 CW 2012-05-26 1510 IK2EAD        599 51 OG0Z          599 1458
QSO:  1817 CW 2012-05-26 2156 IK2EAD        599 0054 HA5NB         599 0208
QSO:  1828 CW 2012-05-26 2159 IK2EAD        599 056 UV5U          599 949
QSO:  1815 CW 2012-05-26 2200 IK2EAD        599 055 DR5N          599 1701
QSO:  1830 CW 2012-05-26 2203 IK2EAD        599 057 E77EZ         599 0105
QSO:  1835 CW 2012-05-26 2207 IK2EAD        599 0058 YL5T          599 0438
QSO:  1835 CW 2012-05-26 2208 IK2EAD        599 059 DR1A          599 0192
QSO: 14051 CW 2012-05-26 2211 IK2EAD        599 060 YT4W          599 1194
QSO: 14035 CW 2012-05-26 2213 IK2EAD        599 0061 K7M           599 0501
QSO: 14000 CW 2012-05-26 2215 IK2EAD        599 062 TF3GB         599 536
QSO: 14004 CW 2012-05-26 2217 IK2EAD        599 0063 KB7Q          599 0467
QSO: 21006 CW 2012-05-26 2224 IK2EAD        599 0064 CW5W          599 1545
QSO:  1818 CW 2012-05-27 1937 IK2EAD        599 066 OK1CW         599 0264
QSO:  1800 CW 2012-05-27 1942 IK2EAD        599 069 OK1JOK        599 167
QSO:  1823 CW 2012-05-27 1942 IK2EAD        599 067 SP8LBK        599 158
QSO:  1830 CW 2012-05-27 1942 IK2EAD        599 068 LY7A          599 288
QSO:  1827 CW 2012-05-27 1943 IK2EAD        599 070 HG1S          599 0297
QSO:  1836 CW 2012-05-27 1943 IK2EAD        599 0071 OK2SAR        599 0136
QSO:  1824 CW 2012-05-27 1945 IK2EAD        599 72 LY7M          599 369
QSO:  1825 CW 2012-05-27 1947 IK2EAD        599 073 LZ9W          599 0334
QSO:  1819 CW 2012-05-27 1950 IK2EAD        599 074 9A1A          599 0296
QSO:  3507 CW 2012-05-27 1953 IK2EAD        599 75 TC2X          599 3044
QSO:  3510 CW 2012-05-27 1956 IK2EAD        599 076 LY7A          599 645
QSO: 21000 CW 2012-05-27 2008 IK2EAD        599 077 Z35F          599 0600
