START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: DL7YS
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL7YS
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2014.
QSO:  7009 CW 2014-05-24 0458 DL7YS         599 P49Y          599 576
QSO:  7003 CW 2014-05-24 0502 DL7YS         599 003 G6PZ          599 0469
QSO:  7031 CW 2014-05-24 0506 DL7YS         599 0005 G6T           599 0459
QSO:  7032 CW 2014-05-24 0506 DL7YS         599 004 SO9Q          599 0356
QSO:  7028 CW 2014-05-24 0516 DL7YS         599 0006 S51F          599 0437
QSO:  7027 CW 2014-05-24 0517 DL7YS         599 007 YU5R          599 0352
QSO:  7026 CW 2014-05-24 0518 DL7YS         599 0008 DD1A          599 0508
QSO:  7023 CW 2014-05-24 0533 DL7YS         599 009 HA8JV         599 523
QSO:  7023 CW 2014-05-24 0534 DL7YS         599 0010 OM3ZWA        599 0348
QSO: 14063 CW 2014-05-24 0536 DL7YS         599 0011 LZ3FN         599 0628
QSO: 14061 CW 2014-05-24 0538 DL7YS         599 0013 YT8A          599 0463
QSO: 14059 CW 2014-05-24 0539 DL7YS         599 4 OG2P          599 437
QSO: 14052 CW 2014-05-24 0541 DL7YS         599 0015 YP10NATO      599 0374
QSO: 14051 CW 2014-05-24 0543 DL7YS         599 016 HG7T          599 0316
QSO: 14049 CW 2014-05-24 0551 DL7YS         599 017 EA8/RA1A      599 0669
QSO: 14045 CW 2014-05-24 0553 DL7YS         599 018 UY2IG         599 051
QSO: 14041 CW 2014-05-24 0554 DL7YS         599 019 RU6CS         599 080
QSO: 14039 CW 2014-05-24 0555 DL7YS         599 020 N1RR          599 0470
QSO: 14037 CW 2014-05-24 0645 DL7YS         599 021 UA7K          599 0679
QSO: 14034 CW 2014-05-24 0646 DL7YS         599 022 ES9C          599 0755
QSO: 14033 CW 2014-05-24 0648 DL7YS         599 023 9A1A          599 0642
QSO: 14029 CW 2014-05-24 0649 DL7YS         599 024 M7O           599 0086
