START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: K1SND
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K1SND
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2015.
QSO: 14036 CW 2015-05-30 0147 K1SND         599 K8MP          599 0184
QSO: 14038 CW 2015-05-30 0150 K1SND         599 0002 OH1F          599 0201
QSO: 14000 CW 2015-05-30 0151 K1SND         599 0003 HG4F          599 0159
QSO: 14000 CW 2015-05-30 0152 K1SND         599 4 K0LIR         599 122
QSO: 14050 CW 2015-05-30 0152 K1SND         599 0005 K9CT          599 0138
QSO: 14051 CW 2015-05-30 0153 K1SND         599 0006 VC7J          599 0137
QSO: 14053 CW 2015-05-30 0156 K1SND         599 0007 RC4HAA        599 0077
QSO: 14056 CW 2015-05-30 0156 K1SND         599 008 EW2A          599 0170
QSO: 14059 CW 2015-05-30 0157 K1SND         599 0009 W4IX          599 0150
QSO: 14061 CW 2015-05-30 0159 K1SND         599 010 KX7M          599 0213
QSO: 14062 CW 2015-05-30 0200 K1SND         599 0011 YT8A          599 0206
QSO: 14068 CW 2015-05-30 0204 K1SND         599 012 II9P          599 0239
QSO: 14065 CW 2015-05-30 0206 K1SND         599 0013 YT2T          599 0175
QSO: 14040 CW 2015-05-30 0208 K1SND         599 0014 W0DLE         599 0132
QSO: 14033 CW 2015-05-30 0210 K1SND         599 0016 KR4F          599 0097
QSO: 14028 CW 2015-05-30 0211 K1SND         599 0017 5K4R          599 0231
QSO: 14027 CW 2015-05-30 0212 K1SND         599 018 9A1A          599 0241
QSO: 14028 CW 2015-05-30 0213 K1SND         599 0019 N5ZO          599 0204
QSO: 14031 CW 2015-05-30 0214 K1SND         599 020 4O90A         599 0248
QSO: 14032 CW 2015-05-30 0215 K1SND         599 021 CR2X          599 0324
QSO: 14040 CW 2015-05-30 0216 K1SND         599 022 S59ABC        599 0266
QSO: 14051 CW 2015-05-30 0218 K1SND         599 0024 VC7J          599 0176
QSO: 14046 CW 2015-05-30 0219 K1SND         599 023 RW1A          599 0331
QSO: 14000 CW 2015-05-30 0220 K1SND         599 25 LY7A          599 0175
QSO: 14056 CW 2015-05-30 0220 K1SND         599 026 CR6K          599 0310
QSO: 14063 CW 2015-05-30 0222 K1SND         599 027 LZ9W          599 0251
QSO: 14064 CW 2015-05-30 0222 K1SND         599 028 ES9C          599 0333
QSO: 14066 CW 2015-05-30 0223 K1SND         599 0029 W8CAR         599 0140
