START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: JA4ENY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JA4ENY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2016.
QSO: 21032 CW 2016-05-28 0330 JA4ENY        599 JO7KMB        599 115
QSO: 21014 CW 2016-05-28 0358 JA4ENY        599 002 JR2IOB        599 111
QSO: 21000 CW 2016-05-28 0434 JA4ENY        599 004 JO1SIM        599 070
QSO: 21000 CW 2016-05-28 0437 JA4ENY        599 005 JR1MEG/1      599 032
QSO: 21018 CW 2016-05-28 0448 JA4ENY        599 007 JR2GRX        599 0137
QSO: 21023 CW 2016-05-28 0451 JA4ENY        599 0008 JJ0JML        599 0175
QSO: 21010 CW 2016-05-28 0503 JA4ENY        599 0009 VR2VIY        599 0229
QSO: 21000 CW 2016-05-28 0520 JA4ENY        599 011 JH7XGN        599 191
QSO: 14000 CW 2016-05-28 0537 JA4ENY        599 12 NR7DX         599 600
QSO: 14000 CW 2016-05-28 0543 JA4ENY        599 013 JH0EPI        599 061
QSO: 14000 CW 2016-05-28 0545 JA4ENY        599 014 JN2AMD        599 101
QSO: 14000 CW 2016-05-28 0550 JA4ENY        599 014 JR2MIO/2      599 118
QSO: 14065 CW 2016-05-28 0555 JA4ENY        599 0016 9M8K          599 0034
QSO: 14000 CW 2016-05-28 0600 JA4ENY        599 017 JA1GQC        599 119
QSO: 14034 CW 2016-05-28 0608 JA4ENY        599 019 JH1GTV        599 0045
QSO: 14015 CW 2016-05-28 0612 JA4ENY        599 18 AG1RL         599 98
QSO:  7000 CW 2016-05-28 0633 JA4ENY        599 020 JR2SCJ        599 010
QSO:  7000 CW 2016-05-28 0636 JA4ENY        599 021 JA2PFO        599 009
QSO:  7006 CW 2016-05-28 0638 JA4ENY        599 022 JJ5GMJ        599 0017
QSO: 14035 CW 2016-05-29 0859 JA4ENY        599 0027 B4T           599 1750
QSO: 14037 CW 2016-05-29 0901 JA4ENY        599 028 8J6VLP/6      599 211
QSO: 14000 CW 2016-05-29 0919 JA4ENY        599 0030 YB8RW         599 0545
END-OF-LOG:
