START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: UX3HX
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UX3HX
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2016.
QSO: 14000 CW 2016-05-28 0240 UX3HX         599 NR7DX         599 346
QSO: 14015 CW 2016-05-28 0244 UX3HX         599 002 YT3X          599 0208
QSO: 14017 CW 2016-05-28 0246 UX3HX         599 0003 NE0F          599 0339
QSO: 14022 CW 2016-05-28 0248 UX3HX         599 0004 A60A          599 0309
QSO: 14064 CW 2016-05-28 0257 UX3HX         599 0005 ES2MC         599 0125
QSO: 14052 CW 2016-05-28 0306 UX3HX         599 0007 RW3XZ         599 0051
QSO: 14044 CW 2016-05-28 0319 UX3HX         599 008 ES7GM         599 0269
QSO: 14032 CW 2016-05-28 0324 UX3HX         599 0008 RK9AX         599 0024
QSO: 14031 CW 2016-05-28 0325 UX3HX         599 9 LY2IJ         599 290
QSO: 14027 CW 2016-05-28 0327 UX3HX         599 0010 ES4RD         599 0018
QSO: 14027 CW 2016-05-28 0329 UX3HX         599 0011 OK7Z          599 0251
QSO: 14024 CW 2016-05-28 0330 UX3HX         599 0012 SN8B          599 0086
QSO: 14015 CW 2016-05-28 0335 UX3HX         599 013 WR6Y          599 0357
QSO: 14005 CW 2016-05-28 0340 UX3HX         599 014 RK3PWR        599 183
QSO: 14003 CW 2016-05-28 0344 UX3HX         599 015 HG6N          599 0339
QSO: 14016 CW 2016-05-28 0352 UX3HX         599 0016 SN1D          599 0191
QSO: 14022 CW 2016-05-28 0355 UX3HX         599 0017 A60A          599 0423
QSO: 14022 CW 2016-05-28 0357 UX3HX         599 018 LY2XW         599 0296
QSO: 14035 CW 2016-05-28 0400 UX3HX         599 19 RC9J          599 210
QSO: 14037 CW 2016-05-28 0402 UX3HX         599 0020 OG73X         599 0249
QSO: 14040 CW 2016-05-28 0403 UX3HX         599 020 OL2N          599 0118
QSO: 14042 CW 2016-05-28 0405 UX3HX         599 0021 RW4WA         599 0141
QSO: 14042 CW 2016-05-28 0405 UX3HX         599 0022 SP1C          599 0022
QSO: 14045 CW 2016-05-28 0436 UX3HX         599 023 WQ6X          599 0292
QSO: 14050 CW 2016-05-28 0439 UX3HX         599 024 RZ4AG         599 156
QSO: 14054 CW 2016-05-28 0440 UX3HX         599 025 OG7O          599 0312
QSO: 14060 CW 2016-05-28 0442 UX3HX         599 0026 UA4S          599 0483
QSO: 14068 CW 2016-05-28 0449 UX3HX         599 0027 RW4C          599 0030
QSO: 14000 CW 2016-05-28 0455 UX3HX         599 028 S57K          599 0391
QSO: 14004 CW 2016-05-28 0458 UX3HX         599 029 OL4A          599 0292
QSO: 14010 CW 2016-05-28 0526 UX3HX         599 029 RT3O          599 207
QSO: 14015 CW 2016-05-28 0535 UX3HX         599 0030 NO6T          599 0549
QSO: 14025 CW 2016-05-28 0539 UX3HX         599 0031 RM6C          599 0469
QSO: 14020 CW 2016-05-28 0543 UX3HX         599 032 UW7M          599 319
QSO: 14046 CW 2016-05-28 0547 UX3HX         599 0033 A42A          599 0473
QSO: 14069 CW 2016-05-28 0552 UX3HX         599 0034 LZ2HA         599 0112
QSO: 14075 CW 2016-05-28 0553 UX3HX         599 0035 RQ9A          599 0192
QSO: 14000 CW 2016-05-28 0554 UX3HX         599 0036 RG3B          599 0073
QSO: 14088 CW 2016-05-28 0557 UX3HX         599 037 DH0GHU        599 0011
QSO: 21003 CW 2016-05-28 0604 UX3HX         599 0037 BA7QT         599 0338
QSO: 21008 CW 2016-05-28 0607 UX3HX         599 038 HG8R          599 079
QSO: 21020 CW 2016-05-28 0613 UX3HX         599 0040 SN8B          599 0139
QSO: 21020 CW 2016-05-28 0614 UX3HX         599 041 SO9Q          599 0013
QSO: 21024 CW 2016-05-28 0616 UX3HX         599 0042 HA3DX         599 0074
QSO: 21027 CW 2016-05-28 0617 UX3HX         599 0043 LY4A          599 0112
QSO: 21028 CW 2016-05-28 0617 UX3HX         599 0044 S50G          599 0576
QSO: 21029 CW 2016-05-28 0619 UX3HX         599 45 R4RR          599 600
QSO: 21031 CW 2016-05-28 0621 UX3HX         599 46 S59AA         599 455
QSO: 21033 CW 2016-05-28 0623 UX3HX         599 0047 SP5CNA        599 0253
QSO: 21034 CW 2016-05-28 0625 UX3HX         599 048 DL0EUF        599 0052
QSO: 21039 CW 2016-05-28 0628 UX3HX         599 0049 SZ1A          599 0031
QSO: 21039 CW 2016-05-28 0629 UX3HX         599 050 OH5Z          599 0118
QSO: 21047 CW 2016-05-28 0634 UX3HX         599 50 RT0C          599 441
QSO: 21050 CW 2016-05-28 0635 UX3HX         599 051 OK5M          599 0551
QSO: 21068 CW 2016-05-28 0639 UX3HX         599 0053 SM3PZG        599 0021
QSO: 28026 CW 2016-05-28 0643 UX3HX         599 0053 RQ4C          599 0115
QSO: 28017 CW 2016-05-28 0644 UX3HX         599 054 LY7Z          599 0536
QSO: 28043 CW 2016-05-28 0649 UX3HX         599 055 OL4A          599 0060
QSO: 28036 CW 2016-05-28 0652 UX3HX         599 0056 ES2MC         599 0363
QSO: 28028 CW 2016-05-28 0654 UX3HX         599 057 RK3PWR        599 395
QSO: 28027 CW 2016-05-28 0655 UX3HX         599 0058 RT9S          599 0549
QSO: 28031 CW 2016-05-28 1755 UX3HX         599 0060 RM6C          599 0274
QSO: 21047 CW 2016-05-28 1801 UX3HX         599 061 G8SRS         599 0843
QSO: 21070 CW 2016-05-28 1805 UX3HX         599 0062 YV4YC         599 0464
QSO: 21000 CW 2016-05-28 1807 UX3HX         599 073 PY2LSM        599 0152
QSO: 21055 CW 2016-05-28 1812 UX3HX         599 064 OM7JG         599 0529
QSO: 21043 CW 2016-05-28 1817 UX3HX         599 065 YU1EW         599 0884
QSO: 21036 CW 2016-05-28 1819 UX3HX         599 066 OH9W          599 1340
QSO: 21029 CW 2016-05-28 1821 UX3HX         599 068 SN7Q          599 1514
QSO: 21034 CW 2016-05-28 1821 UX3HX         599 067 ES5Q          599 0957
QSO: 21022 CW 2016-05-28 1825 UX3HX         599 0069 A60A          599 1683
QSO: 21000 CW 2016-05-28 1826 UX3HX         599 0007 PP5KR         599 0884
QSO: 21046 CW 2016-05-28 1844 UX3HX         599 072 4O3A          599 1390
QSO: 21050 CW 2016-05-28 1859 UX3HX         599 073 PX2A          599 0973
QSO: 21035 CW 2016-05-28 1900 UX3HX         599 074 EC2DX         599 1234
QSO: 21044 CW 2016-05-28 1919 UX3HX         599 075 EI7M          599 1441
QSO: 21054 CW 2016-05-28 1921 UX3HX         599 0066 PY1NX         599 0659
QSO: 21074 CW 2016-05-28 1927 UX3HX         599 0077 PY5FB         599 0540
QSO: 21018 CW 2016-05-28 1937 UX3HX         599 079 OL4A          599 1091
QSO: 14000 CW 2016-05-28 1957 UX3HX         599 0080 E21YDP        599 0365
QSO: 14090 CW 2016-05-28 1959 UX3HX         599 0081 WU4NC         599 0737
QSO: 14104 CW 2016-05-28 2005 UX3HX         599 083 IK1JJM        599 133
QSO: 14007 CW 2016-05-28 2010 UX3HX         599 084 OL7C          599 1681
QSO: 14021 CW 2016-05-28 2015 UX3HX         599 085 PE7T          599 521
QSO: 14022 CW 2016-05-28 2016 UX3HX         599 0086 LZ7U          599 0797
QSO: 14022 CW 2016-05-28 2016 UX3HX         599 0087 N1KWF         599 0116
QSO: 14026 CW 2016-05-28 2019 UX3HX         599 088 9A5D          599 1239
QSO: 14028 CW 2016-05-28 2022 UX3HX         599 089 DQ6Q          599 0402
QSO: 14048 CW 2016-05-28 2030 UX3HX         599 0090 BY5CD         599 1400
QSO: 14049 CW 2016-05-28 2034 UX3HX         599 091 CN8KD         599 0471
QSO: 14056 CW 2016-05-28 2035 UX3HX         599 0092 BA4MY         599 0953
QSO: 14000 CW 2016-05-28 2039 UX3HX         599 0093 VR2XAN        599 0890
QSO: 14059 CW 2016-05-28 2040 UX3HX         599 094 DC4A          599 1085
QSO: 14000 CW 2016-05-28 2052 UX3HX         599 0094 KJ4QHL        599 0371
QSO: 14088 CW 2016-05-28 2056 UX3HX         599 0095 9M8K          599 0655
QSO: 14002 CW 2016-05-28 2101 UX3HX         599 096 OM0M          599 1144
QSO: 14006 CW 2016-05-28 2102 UX3HX         599 097 JE6RPM        599 1364
QSO: 14093 CW 2016-05-28 2301 UX3HX         599 082 PX4X          599 168
QSO:  7006 CW 2016-05-29 0242 UX3HX         599 98 LY2IJ         599 1862
QSO:  7008 CW 2016-05-29 0243 UX3HX         599 0099 4U6F          599 1254
QSO:  7015 CW 2016-05-29 0251 UX3HX         599 100 DC4A          599 1419
QSO:  7023 CW 2016-05-29 0254 UX3HX         599 0100 EI5IX         599 0632
QSO:  7000 CW 2016-05-29 0255 UX3HX         599 0102 Z3B           599 0882
QSO:  7029 CW 2016-05-29 0259 UX3HX         599 103 OG7O          599 1959
QSO:  7069 CW 2016-05-29 0320 UX3HX         599 0103 YO4NF         599 0779
QSO:  7000 CW 2016-05-29 0324 UX3HX         599 0194 NN5J          599 2185
QSO:  7036 CW 2016-05-29 0334 UX3HX         599 0105 CU4DX         599 2658
QSO:  7036 CW 2016-05-29 0334 UX3HX         599 106 DD0CC         599 0892
QSO:  7037 CW 2016-05-29 0336 UX3HX         599 0106 IO2X          599 1900
QSO: 14001 CW 2016-05-29 0348 UX3HX         599 107 RU1A          599 3423
QSO: 14061 CW 2016-05-29 0435 UX3HX         599 0108 LY1CX         599 0603
QSO: 14062 CW 2016-05-29 0437 UX3HX         599 0109 RO6A          599 0635
QSO: 14063 CW 2016-05-29 0438 UX3HX         599 110 ER1LW         599 930
QSO: 21002 CW 2016-05-29 0448 UX3HX         599 0111 YL2KO         599 1747
QSO: 21025 CW 2016-05-29 0448 UX3HX         599 113 LY7A          599 691
QSO: 21001 CW 2016-05-29 0449 UX3HX         599 112 SN5X          599 0954
QSO: 21012 CW 2016-05-29 0451 UX3HX         599 0114 UR7GO         599 1076
QSO: 21006 CW 2016-05-29 0452 UX3HX         599 115 YT5L          599 0438
QSO: 21037 CW 2016-05-29 0458 UX3HX         599 0116 HS5NMF        599 0672
QSO: 21059 CW 2016-05-29 0523 UX3HX         599 0117 S59A          599 1140
QSO: 21054 CW 2016-05-29 0524 UX3HX         599 0119 YL2PJ         599 0324
QSO: 21046 CW 2016-05-29 0525 UX3HX         599 120 IK7JWY        599 0931
QSO: 21000 CW 2016-05-29 0528 UX3HX         599 021 HG0R          599 880
QSO: 21000 CW 2016-05-29 0534 UX3HX         599 0122 YE1R          599 0838
QSO: 21032 CW 2016-05-29 0540 UX3HX         599 0124 SP1NQN        599 0344
QSO: 21009 CW 2016-05-29 0545 UX3HX         599 0125 HG1S          599 2835
QSO: 21007 CW 2016-05-29 0546 UX3HX         599 0125 RO9A          599 0773
QSO: 21001 CW 2016-05-29 0548 UX3HX         599 0126 IT9VDQ        599 0599
QSO: 21059 CW 2016-05-29 0554 UX3HX         599 0126 LZ1KU         599 0874
QSO: 14000 CW 2016-05-29 0557 UX3HX         599 0574 LZ5Z          599 0989
QSO: 21000 CW 2016-05-29 0608 UX3HX         599 127 EW1TO         599 443
QSO: 21000 CW 2016-05-29 0609 UX3HX         599 0128 YT4B          599 0457
QSO: 21053 CW 2016-05-29 0609 UX3HX         599 0129 DJ8OG         599 1473
QSO: 21046 CW 2016-05-29 0610 UX3HX         599 130 Z60A          599 1783
QSO: 21044 CW 2016-05-29 0615 UX3HX         599 32 UP0L          599 2557
QSO: 21040 CW 2016-05-29 0617 UX3HX         599 133 R8CT          599 1411
QSO: 21037 CW 2016-05-29 0618 UX3HX         599 134 RU1A          599 3599
