START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: N8RY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N8RY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2018.
QSO: 14050 CW 2018-05-26 1053 N8RY          599 8P5A          599 1370
QSO: 14018 CW 2018-05-26 1058 N8RY          599 0002 W3LL          599 0745
QSO: 14024 CW 2018-05-26 1105 N8RY          599 003 SJ0X          599 0609
QSO: 14027 CW 2018-05-26 1107 N8RY          599 0004 SN2B          599 1075
QSO: 14048 CW 2018-05-26 1137 N8RY          599 005 DL1WA         599 0744
QSO: 14043 CW 2018-05-26 1139 N8RY          599 006 YT5A          599 0779
QSO: 14038 CW 2018-05-26 1142 N8RY          599 007 OM7M          599 0748
QSO: 14035 CW 2018-05-26 1144 N8RY          599 0010 WW4R          599 0640
QSO: 14036 CW 2018-05-26 1144 N8RY          599 009 LX7I          599 0571
QSO: 14030 CW 2018-05-26 1146 N8RY          599 0011 K3IE          599 0225
QSO: 14013 CW 2018-05-26 1150 N8RY          599 0013 NY4A          599 0911
QSO: 21050 CW 2018-05-26 1155 N8RY          599 013 AK5X          599 0643
QSO: 21029 CW 2018-05-26 1157 N8RY          599 14 VY2TT         599 1034
QSO:  7000 CW 2018-05-26 1159 N8RY          599 15 WA8KAN        599 167
QSO:  7002 CW 2018-05-26 1202 N8RY          599 0016 VE3YAA        599 0340
QSO:  7028 CW 2018-05-26 1212 N8RY          599 0017 NQ2F          599 0671
QSO:  7032 CW 2018-05-26 1213 N8RY          599 0018 K3PA          599 0681
QSO:  7033 CW 2018-05-26 1214 N8RY          599 0019 NS0R          599 0519
QSO:  7038 CW 2018-05-26 1216 N8RY          599 0020 KJ0D          599 0541
QSO:  7042 CW 2018-05-26 1217 N8RY          599 0021 K4WW          599 0186
QSO:  7045 CW 2018-05-26 1218 N8RY          599 0022 KE8G          599 0289
QSO:  7007 CW 2018-05-26 1219 N8RY          599 0023 N5RZ          599 0585
QSO:  7020 CW 2018-05-26 1224 N8RY          599 25 K9JWI         599 159
QSO:  7020 CW 2018-05-26 1225 N8RY          599 0027 K9CT          599 0717
QSO:  7020 CW 2018-05-26 1225 N8RY          599 0026 N4FZ          599 0007
QSO:  7020 CW 2018-05-26 1226 N8RY          599 0028 NN8UU         599 0298
QSO:  7017 CW 2018-05-26 1233 N8RY          599 0029 WJ9B          599 0837
QSO:  7024 CW 2018-05-26 1234 N8RY          599 0030 K8QKY         599 0404
QSO:  7025 CW 2018-05-26 1236 N8RY          599 0031 K0NM          599 0448
QSO: 14005 CW 2018-05-26 1238 N8RY          599 0032 SN8N          599 0760
QSO: 14006 CW 2018-05-26 1238 N8RY          599 33 WC1M          599 1128
QSO: 14019 CW 2018-05-26 1244 N8RY          599 0034 FM5BH         599 0813
QSO: 14021 CW 2018-05-26 1245 N8RY          599 0035 K3WW          599 0865
QSO: 14021 CW 2018-05-27 0239 N8RY          599 036 CN3A          599 1549
QSO: 14025 CW 2018-05-27 0241 N8RY          599 0037 NJ6G          599 0767
QSO: 14026 CW 2018-05-27 0242 N8RY          599 038 OH8X          599 2032
QSO: 14028 CW 2018-05-27 0243 N8RY          599 049 NY6N          599 1479
QSO: 14034 CW 2018-05-27 0244 N8RY          599 0040 N5CW          599 0875
QSO: 14038 CW 2018-05-27 0246 N8RY          599 41 R4RR          599 1857
QSO: 14031 CW 2018-05-27 0248 N8RY          599 0042 OG7A          599 1745
