START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: SQ2GXO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: SQ2GXO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2018.
QSO: 14003 CW 2018-05-26 0506 SQ2GXO        599 KH6TU         599 381
QSO: 14018 CW 2018-05-26 0510 SQ2GXO        599 0002 KL7SB         599 0581
QSO: 14016 CW 2018-05-26 0515 SQ2GXO        599 3 WH7AA         599 602
QSO:  7009 CW 2018-05-26 0709 SQ2GXO        599 004 OM2VL         599 0608
QSO: 21022 CW 2018-05-26 0718 SQ2GXO        599 0005 SN2B          599 0787
QSO: 14025 CW 2018-05-26 1336 SQ2GXO        599 006 OH8X          599 1272
QSO: 14062 CW 2018-05-26 1346 SQ2GXO        599 7 RM4F          599 1443
QSO: 14047 CW 2018-05-26 1349 SQ2GXO        599 0008 4U1ITU        599 0946
QSO: 14043 CW 2018-05-26 1351 SQ2GXO        599 009 Z68BH         599 0483
QSO: 14042 CW 2018-05-26 1355 SQ2GXO        599 010 UW1M          599 959
QSO: 14035 CW 2018-05-26 1413 SQ2GXO        599 0011 R3XA          599 0780
QSO: 14027 CW 2018-05-26 1715 SQ2GXO        599 0012 JF2QNM        599 0706
QSO:  3500 CW 2018-05-27 0554 SQ2GXO        599 012 E7CW          599 0735
QSO:  3534 CW 2018-05-27 0554 SQ2GXO        599 0014 OK7W          599 0807
QSO: 14001 CW 2018-05-27 0908 SQ2GXO        599 016 CN2DD         599 2092
QSO: 14002 CW 2018-05-27 0908 SQ2GXO        529 15 VY2TT         599 2498
QSO: 28026 CW 2018-05-27 0912 SQ2GXO        599 0017 IT9VDQ        599 0695
QSO: 14019 CW 2018-05-27 0923 SQ2GXO        599 0018 K1LZ          599 3138
QSO:  7006 CW 2018-05-27 1018 SQ2GXO        599 019 DA0WRTC       599 0970
QSO: 14047 CW 2018-05-27 1024 SQ2GXO        599 020 SP2LNW        599 1499
QSO:  7000 CW 2018-05-27 1219 SQ2GXO        599 0021 SP2AYC        599 0666
QSO: 14025 CW 2018-05-27 1317 SQ2GXO        599 022 TM6M          599 2111
QSO:  7024 CW 2018-05-27 1422 SQ2GXO        599 023 SJ0X          599 0804
END-OF-LOG:
