START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: KG5VK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KG5VK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2019.
QSO: 14000 CW 2019-05-25 0219 KG5VK         599 KH7M          599 209
QSO: 14000 CW 2019-05-25 0220 KG5VK         599 2 KH7M          599 212
QSO: 14028 CW 2019-05-25 0222 KG5VK         599 0003 RM9I          599 0227
QSO: 14030 CW 2019-05-25 0223 KG5VK         599 0003 ZM1M          599 0086
QSO: 14040 CW 2019-05-25 0228 KG5VK         599 5 AE6Y          599 35
QSO: 14041 CW 2019-05-25 0229 KG5VK         599 6 NZ6G          599 135
QSO: 14041 CW 2019-05-25 0230 KG5VK         599 007 RW7K          599 0213
QSO: 14042 CW 2019-05-25 0231 KG5VK         599 0008 NF6A          599 0232
QSO: 14045 CW 2019-05-25 0233 KG5VK         599 0009 UD4F          599 0246
QSO: 14048 CW 2019-05-25 0234 KG5VK         599 10 8P5A          599 495
QSO: 14049 CW 2019-05-25 0235 KG5VK         599 0011 WW4R          599 0239
QSO: 14049 CW 2019-05-25 0236 KG5VK         599 0012 NH7A          599 0251
QSO: 14053 CW 2019-05-25 0238 KG5VK         599 0013 W4NZ          599 0216
QSO: 14053 CW 2019-05-25 0239 KG5VK         599 014 NX6T          599 0246
QSO: 14051 CW 2019-05-25 0242 KG5VK         599 16 R4RR          599 228
QSO: 14044 CW 2019-05-25 0246 KG5VK         599 18 P49X          599 377
QSO: 14043 CW 2019-05-25 0248 KG5VK         599 0019 VC7M          599 0253
QSO: 14040 CW 2019-05-25 0249 KG5VK         599 0020 NE9U          599 0135
QSO: 14039 CW 2019-05-25 0251 KG5VK         599 021 RM5A          599 0177
QSO: 14000 CW 2019-05-25 0255 KG5VK         599 0023 SP8PAI        599 0113
QSO: 14002 CW 2019-05-25 0257 KG5VK         599 0024 N7TU          599 0131
QSO: 14002 CW 2019-05-25 0258 KG5VK         599 0025 KR1DX         599 0342
QSO: 14004 CW 2019-05-25 0258 KG5VK         599 0026 WF7T          599 0292
QSO: 14005 CW 2019-05-25 0259 KG5VK         599 0027 KW7Y          599 0237
QSO: 14006 CW 2019-05-25 0300 KG5VK         599 0028 WI0WA         599 0188
QSO: 14007 CW 2019-05-25 0301 KG5VK         599 0029 LY2W          599 0023
QSO: 14007 CW 2019-05-25 0302 KG5VK         599 0030 NR4M          599 0365
QSO: 14000 CW 2019-05-25 0304 KG5VK         599 0031 NR3X          599 0433
QSO: 14009 CW 2019-05-25 0305 KG5VK         599 032 KL7RA         599 0347
QSO: 14010 CW 2019-05-25 0307 KG5VK         599 033 R9AE          599 055
QSO: 14012 CW 2019-05-25 0308 KG5VK         599 0034 WK5T          599 0412
QSO: 14020 CW 2019-05-25 0312 KG5VK         599 0036 LY5R          599 0353
QSO: 14021 CW 2019-05-25 0313 KG5VK         599 37 NJ6G          599 299
QSO: 14025 CW 2019-05-25 0317 KG5VK         599 0038 NK7U          599 0140
QSO: 14027 CW 2019-05-25 0318 KG5VK         599 0039 KH6TU         599 0266
QSO: 14027 CW 2019-05-25 0319 KG5VK         599 0040 NO7R          599 0223
QSO: 14029 CW 2019-05-25 0322 KG5VK         599 0042 EM2Q          599 0343
QSO: 14035 CW 2019-05-25 0325 KG5VK         599 0043 WZ7ZR         599 0143
QSO: 14039 CW 2019-05-25 0326 KG5VK         599 044 CN3A          599 373
QSO: 14044 CW 2019-05-25 0329 KG5VK         599 0045 VA7ST         599 0123
QSO: 14045 CW 2019-05-25 0331 KG5VK         599 046 RC6U          599 065
QSO:  7035 CW 2019-05-25 0333 KG5VK         599 0047 WC7Q          599 0126
QSO:  7036 CW 2019-05-25 0334 KG5VK         599 0048 KR1DX         599 0411
QSO:  7036 CW 2019-05-25 0337 KG5VK         599 049 HA1AG         599 0485
QSO:  7043 CW 2019-05-25 0339 KG5VK         599 0050 HB7X          599 0393
QSO: 14023 CW 2019-05-25 2357 KG5VK         599 0051 WN1GIV        599 1272
QSO: 14024 CW 2019-05-25 2359 KG5VK         599 0052 WJ9B          599 0845
QSO: 14024 CW 2019-05-26 0000 KG5VK         599 0053 IR2Q          599 1901
QSO: 14026 CW 2019-05-26 0005 KG5VK         599 001 Z66X          599 1521
QSO: 14028 CW 2019-05-26 0007 KG5VK         599 0055 S53M          599 1222
QSO: 14029 CW 2019-05-26 0009 KG5VK         599 0056 KZ7X          599 1344
QSO: 14029 CW 2019-05-26 0010 KG5VK         599 057 9A1A          599 1693
QSO: 14030 CW 2019-05-26 0011 KG5VK         599 058 YT3X          599 1868
QSO: 14031 CW 2019-05-26 0011 KG5VK         599 059 RU7M          599 1628
QSO: 14031 CW 2019-05-26 0012 KG5VK         599 0060 EI7M          599 2318
QSO: 14032 CW 2019-05-26 0014 KG5VK         599 0061 W6AYC         599 0382
QSO: 14034 CW 2019-05-26 0017 KG5VK         599 0062 S59ABC        599 1639
QSO: 14035 CW 2019-05-26 0141 KG5VK         599 0063 PJ2T          599 1569
QSO: 14036 CW 2019-05-26 0143 KG5VK         599 0064 WB9Z          599 0978
QSO: 14037 CW 2019-05-26 0144 KG5VK         599 0065 KM6JD         599 0371
QSO: 14038 CW 2019-05-26 0145 KG5VK         599 66 K6NR          599 711
QSO: 14016 CW 2019-05-26 0149 KG5VK         599 0068 WP4X          599 2000
QSO: 14019 CW 2019-05-26 0150 KG5VK         599 0069 NO6T          599 2407
QSO: 14020 CW 2019-05-26 0151 KG5VK         599 0070 K6MR          599 1043
QSO: 14029 CW 2019-05-26 0153 KG5VK         599 0071 WW5M          599 0956
QSO: 14034 CW 2019-05-26 1548 KG5VK         599 0072 AA4AQ         599 1545
QSO: 14038 CW 2019-05-26 1551 KG5VK         599 0073 VE9OA         599 0195
QSO: 14038 CW 2019-05-26 1553 KG5VK         599 0074 VE3YT         599 0962
QSO: 14027 CW 2019-05-26 1555 KG5VK         599 0076 W1KM          599 0369
QSO: 14006 CW 2019-05-26 1600 KG5VK         599 0078 DA2C          599 2110
QSO: 14038 CW 2019-05-26 1604 KG5VK         599 0080 VP5M          599 2277
QSO: 14040 CW 2019-05-26 1606 KG5VK         599 0081 NJ3K          599 0330
QSO: 14042 CW 2019-05-26 1607 KG5VK         599 0082 K9CT          599 1675
QSO: 14043 CW 2019-05-26 1608 KG5VK         599 0083 VE3CX         599 1119
QSO: 14044 CW 2019-05-26 1609 KG5VK         599 0084 WW2Y          599 2290
QSO: 14050 CW 2019-05-26 1610 KG5VK         599 0085 N1TO          599 1354
QSO: 14053 CW 2019-05-26 1613 KG5VK         599 87 KM9P          599 2275
QSO: 14054 CW 2019-05-26 1614 KG5VK         599 0088 ND9G          599 0343
QSO: 14056 CW 2019-05-26 1616 KG5VK         599 0089 WQ5L          599 0691
QSO: 14061 CW 2019-05-26 1617 KG5VK         599 0090 WO2X          599 1209
QSO: 14062 CW 2019-05-26 1618 KG5VK         599 0091 VE2FK         599 0648
QSO: 14004 CW 2019-05-26 1623 KG5VK         599 0093 KN8U          599 1373
QSO: 14005 CW 2019-05-26 1623 KG5VK         599 0094 N2RC          599 0443
QSO: 14006 CW 2019-05-26 1625 KG5VK         599 0095 NU7Y          599 2357
QSO: 14011 CW 2019-05-26 1627 KG5VK         599 96 VB3E          599 2618
QSO: 14012 CW 2019-05-26 1627 KG5VK         599 97 VY2TT         599 3290
QSO: 14021 CW 2019-05-26 1631 KG5VK         599 0098 VE6EX         599 0244
QSO: 14000 CW 2019-05-26 1636 KG5VK         599 0099 T40CW         599 0104
QSO: 14029 CW 2019-05-26 1637 KG5VK         599 0100 VE3BR         599 0343
QSO: 14033 CW 2019-05-26 2052 KG5VK         599 0102 NY4A          599 2736
QSO: 14041 CW 2019-05-26 2054 KG5VK         599 103 AC6ZM         599 1090
QSO: 14043 CW 2019-05-26 2055 KG5VK         599 0104 NT6Q          599 0894
QSO: 14000 CW 2019-05-26 2056 KG5VK         599 105 WA6KHK        599 742
QSO: 14046 CW 2019-05-26 2057 KG5VK         599 0106 W7RN          599 0726
QSO: 14047 CW 2019-05-26 2058 KG5VK         599 0107 AB2E          599 1106
QSO: 14049 CW 2019-05-26 2059 KG5VK         599 0108 EF8R          599 3581
QSO: 14050 CW 2019-05-26 2102 KG5VK         599 109 KB8TYJ        599 326
