START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: K8CMO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K8CMO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2020.
QSO: 14000 CW 2020-05-30 1902 K8CMO         599 W8LVN         599 264
QSO: 14000 CW 2020-05-30 1905 K8CMO         599 2 W7WA          599 995
QSO: 14041 CW 2020-05-30 1905 K8CMO         599 0004 WO4O          599 1023
QSO: 14042 CW 2020-05-30 1907 K8CMO         599 0005 K0NM          599 0689
QSO: 14043 CW 2020-05-30 1908 K8CMO         599 0006 W5NE          599 0340
QSO: 14051 CW 2020-05-30 1909 K8CMO         599 7 NA8V          599 1391
QSO: 14061 CW 2020-05-30 1913 K8CMO         599 0008 AD4TR         599 0904
QSO: 14000 CW 2020-05-30 1914 K8CMO         599 0009 W2AW          599 0436
QSO: 14021 CW 2020-05-30 1918 K8CMO         599 0010 AA4XG         599 0720
QSO: 14023 CW 2020-05-30 1919 K8CMO         599 011 CF2T          599 1572
QSO: 14029 CW 2020-05-30 1920 K8CMO         599 0012 N6AR          599 0997
QSO: 14031 CW 2020-05-30 1922 K8CMO         599 0013 KB1W          599 0862
QSO: 14035 CW 2020-05-30 1925 K8CMO         599 0014 KU2M          599 1049
QSO: 14048 CW 2020-05-30 1927 K8CMO         599 0016 K1KI          599 1370
QSO: 14050 CW 2020-05-30 1928 K8CMO         599 0017 NQ5K          599 1560
QSO: 14056 CW 2020-05-30 1931 K8CMO         599 0018 PJ4/K4BAI     599 1162
QSO: 14060 CW 2020-05-30 1935 K8CMO         599 020 NN7CW         599 1618
QSO: 14064 CW 2020-05-30 1936 K8CMO         599 0021 K1ESE         599 0416
QSO: 14066 CW 2020-05-30 1937 K8CMO         599 0022 NS4T          599 0857
QSO: 14047 CW 2020-05-30 1940 K8CMO         599 0023 NN5P          599 1212
QSO: 14042 CW 2020-05-30 1944 K8CMO         599 0024 KT5J          599 0831
QSO: 14038 CW 2020-05-30 1945 K8CMO         599 0025 WV4P          599 0688
QSO: 14038 CW 2020-05-30 1946 K8CMO         599 0026 K9CT          599 1724
QSO: 14036 CW 2020-05-30 1948 K8CMO         599 0027 W5GN          599 0652
QSO: 14028 CW 2020-05-30 1950 K8CMO         599 0028 AA4AQ         599 0751
QSO: 14054 CW 2020-05-30 1953 K8CMO         599 0029 KR2AA         599 1038
QSO: 14039 CW 2020-05-30 1955 K8CMO         599 0030 WN2O          599 0977
QSO: 14000 CW 2020-05-30 2053 K8CMO         599 0031 W1JQ          599 0197
QSO: 14037 CW 2020-05-30 2053 K8CMO         599 0032 KS0MO         599 0975
QSO: 14046 CW 2020-05-30 2058 K8CMO         599 0033 N1TO          599 0944
QSO:  7028 CW 2020-05-30 2101 K8CMO         599 0034 NQ2F          599 0903
QSO:  7032 CW 2020-05-30 2103 K8CMO         599 0035 KO8SCA        599 1105
QSO:  7041 CW 2020-05-30 2106 K8CMO         599 0036 VC3N          599 1481
QSO:  7027 CW 2020-05-30 2107 K8CMO         599 0037 NS4T          599 0928
QSO:  7031 CW 2020-05-30 2109 K8CMO         599 0038 VE3NE         599 1142
