START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: G3RKF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G3RKF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2023.
QSO:  7008 CW 2023-05-27 0536 G3RKF         599 KQ2M          599 698
QSO:  7024 CW 2023-05-27 0539 G3RKF         599 0002 VC2W          599 0519
QSO:  7016 CW 2023-05-27 0549 G3RKF         599 003 TF/DL1MGB     599 0614
QSO:  7005 CW 2023-05-27 0553 G3RKF         599 0005 NR4M          599 0706
QSO: 14001 CW 2023-05-27 0556 G3RKF         599 0006 NR4M          599 0709
QSO: 14012 CW 2023-05-27 0557 G3RKF         599 007 WZ4F          599 0623
QSO: 14056 CW 2023-05-27 0601 G3RKF         599 0008 KR2Q          599 0374
QSO: 14003 CW 2023-05-27 0603 G3RKF         599 0009 VE5MX         599 0395
QSO: 14014 CW 2023-05-27 0605 G3RKF         599 0010 VJ3A          599 0319
QSO: 21020 CW 2023-05-27 0607 G3RKF         599 011 WP4X          599 921
QSO: 21020 CW 2023-05-27 0608 G3RKF         599 012 WP4X          599 923
QSO: 14020 CW 2023-05-27 0611 G3RKF         599 0013 VE3MIS        599 0446
QSO:  7020 CW 2023-05-27 0614 G3RKF         599 014 NR3X          599 849
QSO:  7027 CW 2023-05-27 0615 G3RKF         599 015 TM7A          599 0668
QSO: 14033 CW 2023-05-27 0954 G3RKF         599 016 SV1ME         599 185
QSO: 14039 CW 2023-05-27 0956 G3RKF         599 017 CR6K          599 1488
QSO: 14036 CW 2023-05-27 1057 G3RKF         599 0018 IK0YVV        599 0387
QSO: 14038 CW 2023-05-27 1058 G3RKF         599 0019 SX9V          599 0464
QSO: 14053 CW 2023-05-27 1059 G3RKF         599 0020 S52OT         599 0152
QSO: 14046 CW 2023-05-27 1100 G3RKF         599 021 IR1N          599 304
QSO: 14039 CW 2023-05-27 1129 G3RKF         599 022 EU4E          599 634
QSO: 21028 CW 2023-05-27 1137 G3RKF         599 0023 WG3J          599 0204
QSO: 21022 CW 2023-05-27 1139 G3RKF         599 0025 N4WW          599 0906
QSO: 21003 CW 2023-05-27 1140 G3RKF         599 26 KQ2M          599 1190
QSO: 21002 CW 2023-05-27 1141 G3RKF         599 027 K1LZ          599 1775
QSO: 28020 CW 2023-05-27 1144 G3RKF         599 028 HA3NU         599 487
QSO: 28003 CW 2023-05-27 1148 G3RKF         599 0029 OG7A          599 0396
QSO: 28006 CW 2023-05-27 1150 G3RKF         599 0030 EF5D          599 0200
QSO: 21043 CW 2023-05-27 1158 G3RKF         599 031 K3LR          599 515
QSO: 21000 CW 2023-05-27 1200 G3RKF         599 032 H25A          599 780
QSO: 21005 CW 2023-05-27 1348 G3RKF         599 0033 UC4L          599 1268
QSO: 21023 CW 2023-05-27 1350 G3RKF         599 034 9A5D          599 1845
QSO: 28001 CW 2023-05-27 1356 G3RKF         599 035 CT3KN         599 1135
QSO: 28043 CW 2023-05-27 1401 G3RKF         599 0036 S53F          599 0894
QSO: 28035 CW 2023-05-27 1443 G3RKF         599 037 EF1A          599 575
QSO: 28001 CW 2023-05-27 1446 G3RKF         599 038 YU0T          599 410
QSO: 28004 CW 2023-05-27 1449 G3RKF         599 0039 9A7DX         599 0531
QSO: 21002 CW 2023-05-27 1824 G3RKF         599 040 EA7X          599 1139
QSO: 14010 CW 2023-05-27 1831 G3RKF         599 042 JE6RPM        599 1501
QSO: 14068 CW 2023-05-27 1851 G3RKF         599 0043 AA3B          599 2069
QSO: 14050 CW 2023-05-27 1853 G3RKF         599 044 KL7RA         599 1120
