START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: DF1ASG
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DF1ASG
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2008.
QSO: 14000 PH 2008-03-29 0738 DF1ASG        59 EF5K          59 319
QSO: 14000 PH 2008-03-29 0743 DF1ASG        59 002 CT9L          59 0481
QSO: 14157 PH 2008-03-29 0746 DF1ASG        59 003 OG8X          59 0285
QSO: 14000 PH 2008-03-29 0748 DF1ASG        59 004 EE7E          59 129
QSO: 14172 PH 2008-03-29 0750 DF1ASG        59 005 SX3Z          59 489
QSO: 14175 PH 2008-03-29 0751 DF1ASG        59 0006 YT2T          59 0660
QSO: 14248 PH 2008-03-29 0755 DF1ASG        59 0007 OH8L          59 0107
QSO:  3782 PH 2008-03-29 1443 DF1ASG        59 008 DR1A          59 0591
QSO:  3500 PH 2008-03-29 1446 DF1ASG        59 9 OK2BYW        59 473
QSO:  3500 PH 2008-03-29 1449 DF1ASG        59 10 OT5A          59 556
QSO:  3786 PH 2008-03-29 1451 DF1ASG        59 0011 IW3SSA        59 0395
QSO:  3500 PH 2008-03-29 1456 DF1ASG        59 0012 S51CK         59 0481
QSO:  7000 PH 2008-03-29 1458 DF1ASG        59 0013 UR7HCX        59 0058
QSO:  7056 PH 2008-03-29 1502 DF1ASG        59 014 GM7V          59 0690
QSO:  7000 PH 2008-03-29 1504 DF1ASG        59 015 EA3ATM        59 330
QSO:  7071 PH 2008-03-29 1505 DF1ASG        59 0016 G7TWC         59 0152
QSO:  7000 PH 2008-03-29 1506 DF1ASG        59 017 LY7A          59 655
QSO:  7081 PH 2008-03-29 1509 DF1ASG        59 0018 II1W          59 0363
QSO:  7099 PH 2008-03-29 1511 DF1ASG        59 019 LN9Z          59 543
QSO: 14000 PH 2008-03-29 1515 DF1ASG        59 020 TC3EC         59 725
QSO: 14000 PH 2008-03-29 1520 DF1ASG        59 21 4Z4OQ         59 1065
QSO: 14200 PH 2008-03-29 1527 DF1ASG        59 0022 AM1A          59 0362
QSO: 21200 PH 2008-03-29 1852 DF1ASG        59 0026 LU7HW         59 0395
QSO:  7000 PH 2008-03-30 1917 DF1ASG        59 25 RK4FD         59 2699
QSO:  7070 PH 2008-03-30 1920 DF1ASG        59 026 UZ7M          59 1106
QSO:  7000 PH 2008-03-30 1923 DF1ASG        59 27 UP0L          59 2608
QSO:  7056 PH 2008-03-30 1926 DF1ASG        59 0028 YR9P          59 2429
QSO:  7042 PH 2008-03-30 1927 DF1ASG        59 0029 YT8A          59 1941
QSO:  7000 PH 2008-03-30 1929 DF1ASG        59 0030 AO1O          59 0331
QSO:  3500 PH 2008-03-30 1933 DF1ASG        59 31 OG6A          59 2320
QSO:  3786 PH 2008-03-30 1935 DF1ASG        59 0032 DO2ML         59 0510
QSO:  3756 PH 2008-03-30 1938 DF1ASG        59 0033 OT2A          59 1428
QSO:  3748 PH 2008-03-30 1940 DF1ASG        59 034 SP7HKK        59 882
QSO:  3739 PH 2008-03-30 1941 DF1ASG        59 035 SN7Q          59 1620
QSO:  3816 PH 2008-03-30 1944 DF1ASG        59 036 HG80HQ        59 927
QSO:  3709 PH 2008-03-30 1946 DF1ASG        59 0037 DJ8OG         59 0635
QSO:  3699 PH 2008-03-30 1949 DF1ASG        59 0039 S56A          59 1097
QSO:  3696 PH 2008-03-30 1950 DF1ASG        59 040 LY9Y          59 0586
END-OF-LOG:
