START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: OM8AA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OM8AA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2008.
QSO:  7000 PH 2008-03-29 0437 OM8AA         59 EK0B          59 333
QSO:  7000 PH 2008-03-29 0443 OM8AA         59 4 RK4FD         59 458
QSO:  7000 PH 2008-03-29 0444 OM8AA         59 006 TB37F         59 343
QSO:  7053 PH 2008-03-29 0444 OM8AA         59 5 RD3A          59 378
QSO:  7000 PH 2008-03-29 0450 OM8AA         59 008 4L0A          59 0368
QSO:  7000 PH 2008-03-29 0450 OM8AA         59 9 OG6A          59 351
QSO:  7078 PH 2008-03-29 0453 OM8AA         59 0011 EO3Q          59 0262
QSO:  7082 PH 2008-03-29 0454 OM8AA         59 012 AM3SSB        59 0181
QSO:  7086 PH 2008-03-29 0454 OM8AA         59 0013 UZ1I          59 0244
QSO:  7000 PH 2008-03-29 0456 OM8AA         59 015 IZ8FWN        59 0276
QSO:  7000 PH 2008-03-29 0501 OM8AA         59 016 3V8BB         59 0450
QSO:  7000 PH 2008-03-29 0503 OM8AA         59 017 IZ1GAR        59 170
QSO:  7000 PH 2008-03-29 0508 OM8AA         59 019 UT3L          59 121
QSO:  7040 PH 2008-03-29 0508 OM8AA         59 018 UU7J          59 0363
QSO:  7000 PH 2008-03-29 0511 OM8AA         59 020 F4DSK         59 111
QSO:  7017 PH 2008-03-29 0511 OM8AA         59 20 8P1A          59 661
QSO:  7063 PH 2008-03-29 0513 OM8AA         59 022 YL6W          59 0215
QSO:  7057 PH 2008-03-29 0515 OM8AA         59 024 OH1RX         59 0185
QSO:  7061 PH 2008-03-29 0515 OM8AA         59 023 DR1A          59 0221
QSO:  7000 PH 2008-03-29 0518 OM8AA         59 0026 DL3QQ         59 0095
QSO:  7000 PH 2008-03-29 0521 OM8AA         59 27 US0HZ         59 141
QSO:  7000 PH 2008-03-29 0527 OM8AA         59 28 RM3F          59 368
QSO:  7200 PH 2008-03-29 0532 OM8AA         59 29 YT9A          59 416
QSO:  7084 PH 2008-03-29 0533 OM8AA         59 030 LX7I          59 0392
QSO:  7000 PH 2008-03-29 0539 OM8AA         59 031 RK3QWW        59 382
QSO:  7075 PH 2008-03-29 0540 OM8AA         59 032 LN9Z          59 123
QSO:  7088 PH 2008-03-29 0542 OM8AA         59 0033 UT7L          59 0505
QSO:  7093 PH 2008-03-29 0557 OM8AA         59 0034 EA1EEY        59 0180
QSO:  7074 PH 2008-03-29 0600 OM8AA         59 0035 LZ9W          59 0284
QSO:  7072 PH 2008-03-29 0601 OM8AA         59 036 SX5P          59 230
QSO:  7070 PH 2008-03-29 0602 OM8AA         59 037 T77NM         59 339
QSO:  7060 PH 2008-03-29 0604 OM8AA         59 038 DP4A          59 0155
QSO:  7000 PH 2008-03-29 0605 OM8AA         59 0039 LZ5W          59 0132
QSO:  7200 PH 2008-03-29 0611 OM8AA         59 040 AO3A          59 154
QSO: 14000 PH 2008-03-29 0624 OM8AA         59 041 UN7MMM        59 170
QSO: 14130 PH 2008-03-29 0627 OM8AA         59 42 UP4L          59 224
QSO: 14158 PH 2008-03-29 0629 OM8AA         59 43 RA9JR         59 160
QSO: 14000 PH 2008-03-29 0630 OM8AA         59 044 RA9AAA        59 151
QSO: 14000 PH 2008-03-29 0631 OM8AA         59 45 RK9CZO        59 108
QSO: 14000 PH 2008-03-29 0632 OM8AA         59 46 A62ER         59 238
QSO: 14182 PH 2008-03-29 0636 OM8AA         59 0048 RG9A          59 0314
QSO: 14185 PH 2008-03-29 0636 OM8AA         59 049 HA3OV         59 0655
QSO: 14214 PH 2008-03-29 0644 OM8AA         59 051 CN2R          59 157
QSO: 14217 PH 2008-03-29 0646 OM8AA         59 0052 SV9GPV        59 0611
QSO: 14000 PH 2008-03-29 0648 OM8AA         59 054 4L0A          59 0635
QSO: 14000 PH 2008-03-29 0651 OM8AA         59 55 CT1DIZ        59 281
QSO: 14000 PH 2008-03-29 0813 OM8AA         59 56 EK0B          59 676
QSO: 14000 PH 2008-03-29 0815 OM8AA         59 057 TM6M          59 0190
QSO: 14200 PH 2008-03-29 0817 OM8AA         59 0058 UZ8M          59 0356
QSO: 14139 PH 2008-03-29 0824 OM8AA         59 60 P33W          59 577
QSO: 14158 PH 2008-03-29 0824 OM8AA         59 059 OG5M          59 0210
QSO: 14000 PH 2008-03-29 0826 OM8AA         59 0062 UN9L          59 0358
QSO: 14135 PH 2008-03-29 0826 OM8AA         59 61 UA4FER        59 437
QSO: 14000 PH 2008-03-29 0828 OM8AA         59 063 ES5GI         59 145
QSO: 14133 PH 2008-03-29 0831 OM8AA         59 064 UA9UZZ        59 473
QSO: 14000 PH 2008-03-29 0838 OM8AA         59 0065 UA1AQA        59 0116
QSO: 14000 PH 2008-03-29 0955 OM8AA         59 31 UP0L          59 920
QSO: 14000 PH 2008-03-29 0958 OM8AA         59 065 IZ4AKS        59 0228
QSO: 14000 PH 2008-03-29 1213 OM8AA         59 062 RX9FM         59 564
QSO: 14146 PH 2008-03-29 1258 OM8AA         59 062 RK3MWI        59 290
QSO: 14157 PH 2008-03-29 1303 OM8AA         59 066 GM7V          59 0569
QSO: 14000 PH 2008-03-29 1309 OM8AA         59 68 UP9L          59 117
QSO: 14172 PH 2008-03-29 1311 OM8AA         59 0069 NC1I          59 0646
QSO: 14174 PH 2008-03-29 1313 OM8AA         59 70 AK1W          59 252
QSO: 14000 PH 2008-03-29 1314 OM8AA         59 071 UN6LN         59 150
QSO: 14194 PH 2008-03-29 1317 OM8AA         59 73 WU3A          59 242
QSO:  7000 PH 2008-03-30 0044 OM8AA         59 074 TO6T          59 0385
QSO:  7092 PH 2008-03-30 0045 OM8AA         59 75 RZ9HG         59 1040
QSO:  7063 PH 2008-03-30 0047 OM8AA         59 076 RZ4HZW        59 830
QSO:  7061 PH 2008-03-30 0050 OM8AA         59 0077 CT6P          59 0143
QSO:  7055 PH 2008-03-30 0052 OM8AA         59 078 UA9UZZ        59 439
QSO:  7051 PH 2008-03-30 0053 OM8AA         59 0079 5D5A          59 0536
QSO:  7000 PH 2008-03-30 0101 OM8AA         59 080 TC3D          59 1795
QSO:  7032 PH 2008-03-30 0103 OM8AA         59 82 P33W          59 901
QSO:  7034 PH 2008-03-30 0106 OM8AA         59 0083 FG/OM3LA      59 2595
QSO:  7000 PH 2008-03-30 0112 OM8AA         59 085 PY2YU         59 1953
QSO:  7040 PH 2008-03-30 0112 OM8AA         59 84 UA4WKW        59 1135
QSO:  7046 PH 2008-03-30 0114 OM8AA         59 086 UA9PC         59 1721
QSO:  7054 PH 2008-03-30 0116 OM8AA         59 88 UA9TT         59 178
QSO:  7000 PH 2008-03-30 0117 OM8AA         59 87 CT1DIZ        59 1646
QSO:  7055 PH 2008-03-30 0118 OM8AA         59 089 6Y1V          59 1034
QSO:  7000 PH 2008-03-30 0119 OM8AA         59 090 IQ5AE         59 126
QSO:  7065 PH 2008-03-30 0120 OM8AA         59 0091 RW9USA        59 1665
QSO:  7066 PH 2008-03-30 0524 OM8AA         59 0092 AO8A          59 1307
QSO:  7000 PH 2008-03-30 0525 OM8AA         59 093 IO5O          59 0551
QSO:  7000 PH 2008-03-30 0537 OM8AA         59 0094 OT5P          59 0386
QSO:  7050 PH 2008-03-30 0548 OM8AA         59 0095 IZ2FOS        59 1107
QSO:  7079 PH 2008-03-30 0551 OM8AA         59 097 DJ0UD         59 586
QSO:  7086 PH 2008-03-30 0553 OM8AA         59 98 YO22NATO      59 882
QSO:  7000 PH 2008-03-30 0559 OM8AA         59 100 UR5ETN        59 492
QSO: 14000 PH 2008-03-30 0605 OM8AA         59 101 RZ9WXK        59 390
QSO: 14000 PH 2008-03-30 0608 OM8AA         59 102 YT1BB         59 1380
QSO: 14000 PH 2008-03-30 0609 OM8AA         59 103 4Z4OQ         59 1298
QSO: 14157 PH 2008-03-30 0614 OM8AA         59 0106 UA4RZ         59 1132
QSO: 14000 PH 2008-03-30 0616 OM8AA         59 105 4J7WMF        59 314
QSO: 14150 PH 2008-03-30 0616 OM8AA         59 0107 RV9SV         59 1134
QSO: 14000 PH 2008-03-30 0618 OM8AA         59 108 UN7JX         59 461
QSO: 14200 PH 2008-03-30 0618 OM8AA         59 0109 UV8M          59 1106
QSO: 14000 PH 2008-03-30 0645 OM8AA         59 110 UA0CA         59 871
QSO: 14100 PH 2008-03-30 0647 OM8AA         59 111 RA0QD         59 723
QSO: 14114 PH 2008-03-30 0650 OM8AA         59 114 RV4HC         59 1243
QSO: 14000 PH 2008-03-30 0652 OM8AA         59 116 UA6YIU        59 949
QSO: 14161 PH 2008-03-30 0654 OM8AA         59 0117 RU3UR         59 0174
QSO: 14000 PH 2008-03-30 0658 OM8AA         59 118 RM3F          59 1336
QSO: 14000 PH 2008-03-30 0700 OM8AA         59 0119 UA9JDP        59 0943
QSO: 14222 PH 2008-03-30 2026 OM8AA         59 120 K3EST         59 2654
