START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: WO4D
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WO4D
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2008.
QSO: 14000 PH 2008-03-29 0015 WO4D          59 P49Y          59 41
QSO: 14000 PH 2008-03-29 0019 WO4D          59 002 HD2A          59 039
QSO: 14200 PH 2008-03-29 0033 WO4D          59 0005 PT5A          59 0067
QSO: 14277 PH 2008-03-29 0040 WO4D          59 0007 VE7SV         59 0071
QSO: 14000 PH 2008-03-29 0047 WO4D          59 6 VA6MA         59 14
QSO: 14208 PH 2008-03-29 0049 WO4D          59 0009 NQ4U          59 0043
QSO: 14238 PH 2008-03-29 0051 WO4D          59 10 NR6O          59 152
QSO: 14244 PH 2008-03-29 0053 WO4D          59 0011 CE4CT         59 0088
QSO:  7211 PH 2008-03-29 0109 WO4D          59 0012 VE3DZ         59 0094
QSO:  3828 PH 2008-03-29 0133 WO4D          59 013 ZF1A          59 172
QSO:  3657 PH 2008-03-29 0137 WO4D          59 0014 EE2W          59 0129
QSO:  3674 PH 2008-03-29 0137 WO4D          59 015 M6T           59 0173
QSO:  3763 PH 2008-03-29 0143 WO4D          59 017 CQ3T          59 0082
QSO:  3500 PH 2008-03-29 0153 WO4D          59 018 TM6M          59 0138
QSO:  3790 PH 2008-03-29 0154 WO4D          59 019 DR1A          59 0153
QSO:  3796 PH 2008-03-29 0202 WO4D          59 020 E77DX         59 0299
QSO:  3793 PH 2008-03-29 0203 WO4D          59 21 8P1A          59 252
QSO:  3500 PH 2008-03-29 0206 WO4D          59 022 IZ8EPX        59 097
QSO:  3608 PH 2008-03-29 0208 WO4D          59 0023 DH2WQ         59 0097
QSO:  3500 PH 2008-03-29 0215 WO4D          59 025 TO6T          59 0015
QSO:  3680 PH 2008-03-29 0215 WO4D          59 0024 HI3C          59 0093
QSO:  3694 PH 2008-03-29 0219 WO4D          59 26 P33W          59 142
QSO:  3500 PH 2008-03-29 0226 WO4D          59 28 HG80HQ        59 255
QSO:  3741 PH 2008-03-29 0233 WO4D          59 29 WP2Z          59 157
QSO:  3500 PH 2008-03-29 0234 WO4D          59 30 P49Y          59 316
QSO:  3500 PH 2008-03-29 0240 WO4D          59 0033 CM6CAC        59 0041
QSO:  3767 PH 2008-03-29 0240 WO4D          59 033 P40A          59 245
QSO: 14170 PH 2008-03-29 1504 WO4D          59 025 HH4/AF4Z      59 422
QSO: 21201 PH 2008-03-30 1457 WO4D          59 030 ZX2B          59 2291
QSO: 21224 PH 2008-03-30 1504 WO4D          59 36 ZW5B          59 1635
QSO: 21259 PH 2008-03-30 1507 WO4D          59 0038 LT0H          59 0678
QSO: 21000 PH 2008-03-30 1515 WO4D          59 039 ZX5J          59 3201
QSO: 21305 PH 2008-03-30 1516 WO4D          59 0040 CE4CT         59 1365
QSO: 21320 PH 2008-03-30 1517 WO4D          59 041 CS2T          59 2753
QSO: 21346 PH 2008-03-30 1518 WO4D          59 0042 ZY7C          59 1801
QSO: 21363 PH 2008-03-30 1519 WO4D          59 043 8R1K          59 2284
QSO: 21278 PH 2008-03-30 1524 WO4D          59 0045 LT1F          59 1721
QSO: 21260 PH 2008-03-30 1526 WO4D          59 0046 XR6T          59 1022
QSO: 21000 PH 2008-03-30 1529 WO4D          59 047 PY2YU         59 2466
QSO: 21343 PH 2008-03-30 1530 WO4D          59 0048 PW2D          59 1463
QSO: 21352 PH 2008-03-30 1533 WO4D          59 049 FY1FL         59 1507
QSO: 14170 PH 2008-03-30 1538 WO4D          59 0051 TI5N          59 0886
QSO: 14195 PH 2008-03-30 1544 WO4D          59 054 OM7M          59 1541
QSO: 14198 PH 2008-03-30 1545 WO4D          59 55 WU3A          59 1109
QSO: 14194 PH 2008-03-30 1548 WO4D          59 0056 UZ8M          59 2157
QSO: 14205 PH 2008-03-30 1550 WO4D          59 0057 OK5R          59 2753
QSO: 14200 PH 2008-03-30 1551 WO4D          59 0058 9A8M          59 1145
QSO: 14238 PH 2008-03-30 1555 WO4D          59 0055 S51A          59 0559
END-OF-LOG:
