START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: AG7N
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: AG7N
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2011.
QSO: 21260 PH 2011-03-26 2323 AG7N          59 DZ1B          59 959
QSO: 21000 PH 2011-03-26 2326 AG7N          59 002 JM4WUZ        59 103
QSO: 21000 PH 2011-03-26 2329 AG7N          59 3 NH6P          59 1679
QSO: 21295 PH 2011-03-26 2331 AG7N          59 0004 VK4KW         59 1051
QSO: 21000 PH 2011-03-26 2347 AG7N          59 5 JQ1BVI        59 966
QSO: 21339 PH 2011-03-26 2348 AG7N          59 0006 JA2ZJW        59 1016
QSO: 21372 PH 2011-03-26 2349 AG7N          59 0007 BY5CD         59 1305
QSO: 21403 PH 2011-03-26 2354 AG7N          59 008 JA7NVF        59 1029
QSO: 21423 PH 2011-03-26 2358 AG7N          59 009 B1Z           59 1046
QSO: 21320 PH 2011-03-27 0024 AG7N          59 010 9V1YC         59 813
QSO: 21389 PH 2011-03-27 0033 AG7N          59 011 JA0JHA        59 2112
QSO: 21415 PH 2011-03-27 0037 AG7N          59 0012 HL5/LA8JKA    59 0236
QSO: 21310 PH 2011-03-27 0047 AG7N          59 13 VQ51V         59 2560
QSO: 14209 PH 2011-03-27 0059 AG7N          59 015 D4C           59 1644
QSO: 14222 PH 2011-03-27 0100 AG7N          59 016 EB8AH         59 1019
QSO: 14263 PH 2011-03-27 0104 AG7N          59 17 6V7D          59 2636
QSO:  7184 PH 2011-03-27 1413 AG7N          59 18 DZ1B          59 1547
QSO:  7158 PH 2011-03-27 1416 AG7N          59 19 RW0CN         59 3150
QSO:  7000 PH 2011-03-27 1420 AG7N          59 0020 JI2ZEY        59 1523
QSO: 14303 PH 2011-03-27 1430 AG7N          59 0021 OH4A          59 2391
QSO: 14291 PH 2011-03-27 1432 AG7N          59 022 UP2L          59 3635
QSO: 14284 PH 2011-03-27 1433 AG7N          59 023 RF9C          59 4494
QSO: 14000 PH 2011-03-27 1436 AG7N          59 24 SN8R          59 1878
QSO: 14000 PH 2011-03-27 1439 AG7N          59 25 VA2TG         59 1121
QSO: 14282 PH 2011-03-27 1848 AG7N          59 026 DR1A          59 3023
QSO: 14000 PH 2011-03-27 1853 AG7N          59 28 OL9Z          59 2166
QSO: 21324 PH 2011-03-27 1902 AG7N          59 029 3V1A          59 5160
QSO: 21332 PH 2011-03-27 1907 AG7N          59 0030 KW7Y          59 3160
QSO: 21407 PH 2011-03-27 1912 AG7N          59 031 OE3K          59 4250
QSO: 21411 PH 2011-03-27 1914 AG7N          59 032 EB3CW         59 1798
END-OF-LOG:
