START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: R5AJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: R5AJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2011.
QSO: 21000 PH 2011-03-26 0707 R5AJ          59 RF9M          59 329
QSO: 21250 PH 2011-03-26 0709 R5AJ          59 0002 RW0A          59 0526
QSO: 21239 PH 2011-03-26 0711 R5AJ          59 3 R8MC          59 473
QSO: 21155 PH 2011-03-26 0713 R5AJ          59 04 B3C           59 469
QSO: 21000 PH 2011-03-26 0717 R5AJ          59 006 UA0IBX        59 232
QSO: 21000 PH 2011-03-26 0720 R5AJ          59 007 EX8AB         59 121
QSO: 21000 PH 2011-03-26 0858 R5AJ          59 8 EX2X          59 362
QSO: 21444 PH 2011-03-26 0859 R5AJ          59 0009 BY5CD         59 0519
QSO: 21300 PH 2011-03-26 0901 R5AJ          59 010 CR3L          59 0405
QSO: 21000 PH 2011-03-26 0904 R5AJ          59 011 EI4II         59 052
QSO: 21000 PH 2011-03-26 0905 R5AJ          59 012 EA3BOX        59 171
QSO: 21188 PH 2011-03-26 0907 R5AJ          59 013 3V1A          59 1171
QSO: 21379 PH 2011-03-26 1037 R5AJ          59 014 5D5A          59 0740
QSO: 21278 PH 2011-03-26 1039 R5AJ          59 15 KP2TM         59 1249
QSO: 21323 PH 2011-03-26 1040 R5AJ          59 016 A71BX         59 0676
QSO: 21325 PH 2011-03-26 1120 R5AJ          59 0017 PW7T          59 0390
QSO: 21348 PH 2011-03-26 1129 R5AJ          59 018 EY8MM         59 0093
QSO: 21148 PH 2011-03-26 1134 R5AJ          59 020 VY2ZM         59 1187
QSO: 21164 PH 2011-03-26 1151 R5AJ          59 21 RC9O          59 1442
QSO: 21174 PH 2011-03-26 1202 R5AJ          59 22 VE3KZ         59 100
QSO: 21190 PH 2011-03-26 1211 R5AJ          59 023 VE3EJ         59 1089
QSO: 21200 PH 2011-03-26 1215 R5AJ          59 24 KQ2M          59 455
QSO: 21136 PH 2011-03-26 1219 R5AJ          59 25 8P5A          59 1574
QSO: 21000 PH 2011-03-26 1240 R5AJ          59 0026 SV9COL        59 0305
QSO: 21423 PH 2011-03-26 1242 R5AJ          59 027 TM2B          59 0391
QSO: 21413 PH 2011-03-26 1245 R5AJ          59 0028 KP3Z          59 1177
QSO: 21399 PH 2011-03-26 1249 R5AJ          59 028 CQ3L          59 1099
QSO: 21000 PH 2011-03-26 1305 R5AJ          59 0029 JY5CC         59 1120
QSO: 21303 PH 2011-03-26 1307 R5AJ          59 0030 WF3C          59 0085
QSO: 21239 PH 2011-03-26 1310 R5AJ          59 031 AJ1I          59 1073
QSO: 21185 PH 2011-03-26 1437 R5AJ          59 033 P40M          59 1559
QSO: 21163 PH 2011-03-26 1438 R5AJ          59 0032 ST2AR         59 1684
QSO: 21138 PH 2011-03-26 1441 R5AJ          59 0034 8P3A          59 0783
QSO: 21144 PH 2011-03-26 1446 R5AJ          59 35 P40L          59 1564
QSO: 21146 PH 2011-03-26 1459 R5AJ          59 036 TO5A          59 0733
QSO: 21000 PH 2011-03-26 1503 R5AJ          59 037 CR3A          59 1004
