START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: GM0OQV
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: GM0OQV
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2012.
QSO: 14163 PH 2012-03-24 0001 GM0OQV        59 KQ2M          59 5
QSO: 14151 PH 2012-03-24 0002 GM0OQV        59 0002 NN5J          59 0011
QSO: 14199 PH 2012-03-24 0019 GM0OQV        59 0004 PW7T          59 0029
QSO:  3789 PH 2012-03-24 0030 GM0OQV        59 006 OM0R          59 0102
QSO:  3785 PH 2012-03-24 0031 GM0OQV        59 007 LX7I          59 0061
QSO:  3799 PH 2012-03-24 0033 GM0OQV        59 008 VY2ZM         59 101
QSO:  3798 PH 2012-03-24 0034 GM0OQV        59 09 CN2R          59 99
QSO:  3500 PH 2012-03-24 0038 GM0OQV        59 10 OT5A          59 68
QSO: 21287 PH 2012-03-24 0914 GM0OQV        59 011 ED1R          59 0187
QSO: 21277 PH 2012-03-24 0915 GM0OQV        59 012 EB8AH         59 0288
QSO: 21262 PH 2012-03-24 0919 GM0OQV        59 014 D44AC         59 0495
QSO: 21271 PH 2012-03-24 0919 GM0OQV        59 013 5B4KH         59 0459
QSO: 21295 PH 2012-03-24 0923 GM0OQV        59 015 5D5A          59 1096
QSO: 21293 PH 2012-03-24 0924 GM0OQV        59 016 II9P          59 0966
QSO: 21292 PH 2012-03-24 0925 GM0OQV        59 0016 9A8M          59 0682
QSO: 21297 PH 2012-03-24 0927 GM0OQV        59 17 RT4F          59 1530
QSO: 21304 PH 2012-03-24 1335 GM0OQV        59 018 LZ9W          59 0554
QSO: 21247 PH 2012-03-24 1840 GM0OQV        59 0019 RN7F          59 1878
QSO: 21275 PH 2012-03-24 1841 GM0OQV        59 020 PR5B          59 1461
QSO: 21296 PH 2012-03-24 1844 GM0OQV        59 021 CR3A          59 1248
QSO: 21326 PH 2012-03-24 1845 GM0OQV        59 0021 EE7H          59 0357
QSO: 21000 PH 2012-03-24 1846 GM0OQV        59 0023 EA7ISH        59 1077
QSO: 21200 PH 2012-03-24 1850 GM0OQV        59 0025 LZ1DQ         59 0175
QSO: 21343 PH 2012-03-24 1852 GM0OQV        59 026 KA2KON        59 403
QSO: 21343 PH 2012-03-24 1853 GM0OQV        59 0027 UV0I          59 1275
QSO: 21343 PH 2012-03-24 1853 GM0OQV        59 029 W2YC          59 563
QSO: 21343 PH 2012-03-24 1854 GM0OQV        59 0031 EA5AX         59 0358
QSO: 21343 PH 2012-03-24 1854 GM0OQV        59 32 N2BJ          59 737
QSO: 21000 PH 2012-03-24 1855 GM0OQV        59 0033 RN3ZJJ        59 0251
QSO: 21343 PH 2012-03-24 1855 GM0OQV        59 034 KM7W          59 733
QSO: 21343 PH 2012-03-24 1857 GM0OQV        59 0036 VA7ST         59 0504
QSO: 21000 PH 2012-03-24 1858 GM0OQV        59 037 US5MSJ        59 048
QSO: 21000 PH 2012-03-24 1900 GM0OQV        59 39 R3ZV          59 489
QSO: 21000 PH 2012-03-24 1901 GM0OQV        59 040 UT5LO         59 366
QSO: 21343 PH 2012-03-24 1901 GM0OQV        59 0041 N6JV          59 0660
QSO: 21343 PH 2012-03-24 1901 GM0OQV        59 0042 VE2EBK        59 0247
QSO: 21343 PH 2012-03-24 1901 GM0OQV        59 0043 W3LL          59 0512
QSO: 21343 PH 2012-03-24 1902 GM0OQV        59 0045 VE7XF         59 0363
QSO: 21343 PH 2012-03-24 1903 GM0OQV        59 0047 VE7CC         59 1380
QSO: 21343 PH 2012-03-24 1903 GM0OQV        59 0046 WA2MCR        59 0243
QSO: 21343 PH 2012-03-24 1908 GM0OQV        59 052 AB2DE         59 420
QSO: 21343 PH 2012-03-24 1908 GM0OQV        59 51 NO7T          59 60
QSO: 21000 PH 2012-03-24 1910 GM0OQV        59 054 WB7BBQ        59 014
QSO: 21308 PH 2012-03-24 1913 GM0OQV        59 0055 WP2Z          59 2519
QSO: 21323 PH 2012-03-24 1915 GM0OQV        59 56 KP2TM         59 2187
QSO: 21376 PH 2012-03-24 1917 GM0OQV        59 057 CS2C          59 1702
QSO: 21344 PH 2012-03-24 1919 GM0OQV        59 058 WQ6X          59 1284
QSO: 21357 PH 2012-03-24 1920 GM0OQV        59 059 KX7M          59 1599
QSO: 21392 PH 2012-03-24 1921 GM0OQV        59 060 VC6R          59 1647
QSO: 21429 PH 2012-03-24 1921 GM0OQV        59 0061 KW7Y          59 1657
QSO: 21242 PH 2012-03-25 1904 GM0OQV        59 062 NH7A          59 2988
QSO: 21240 PH 2012-03-25 1918 GM0OQV        59 063 CN2R          59 4663
QSO: 21243 PH 2012-03-25 1919 GM0OQV        59 64 6V7Z          59 5783
QSO: 21000 PH 2012-03-25 1929 GM0OQV        59 065 ED9Z          59 2394
QSO: 21179 PH 2012-03-25 1931 GM0OQV        59 0067 PJ4Z          59 2501
QSO: 21000 PH 2012-03-25 1933 GM0OQV        59 0069 CX2DK         59 1242
QSO: 21167 PH 2012-03-25 1933 GM0OQV        59 068 ZZ2T          59 3337
QSO: 21183 PH 2012-03-25 1934 GM0OQV        59 0070 PR7AR         59 0500
QSO: 21000 PH 2012-03-25 1935 GM0OQV        59 0071 AY5F          59 4149
QSO: 21000 PH 2012-03-25 1937 GM0OQV        59 73 KJ3X          59 2749
QSO: 21203 PH 2012-03-25 1937 GM0OQV        59 0072 EA5GTQ        59 0232
QSO: 21212 PH 2012-03-25 1938 GM0OQV        59 074 K1LZ          59 2773
QSO: 21230 PH 2012-03-25 1939 GM0OQV        59 075 AJ1I          59 3006
QSO: 21000 PH 2012-03-25 1942 GM0OQV        59 0076 CE1TT         59 2143
QSO: 21261 PH 2012-03-25 2000 GM0OQV        59 77 WM5R          59 2973
QSO: 21264 PH 2012-03-25 2001 GM0OQV        59 0078 WB5AAR        59 0109
QSO: 21319 PH 2012-03-25 2009 GM0OQV        59 080 CQ3L          59 2013
END-OF-LOG:
