START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: JK3GWT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JK3GWT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2012.
QSO: 14180 PH 2012-03-24 0547 JK3GWT        59 VC7R          59 854
QSO: 14207 PH 2012-03-24 0550 JK3GWT        59 002 KS7AA         59 0485
QSO: 14152 PH 2012-03-24 0553 JK3GWT        59 003 NX5M          59 0551
QSO: 28467 PH 2012-03-24 0815 JK3GWT        59 4 JT5DX         59 533
QSO: 28472 PH 2012-03-24 0818 JK3GWT        59 005 EY0A          59 0550
QSO: 28480 PH 2012-03-24 0821 JK3GWT        59 006 RX0AE         59 226
QSO: 28482 PH 2012-03-24 0823 JK3GWT        59 007 IO7T          59 0543
QSO: 28486 PH 2012-03-24 0825 JK3GWT        59 8 RZ0SZZ        59 455
QSO: 28496 PH 2012-03-24 0827 JK3GWT        59 0009 BD7OZG        59 0097
QSO: 28000 PH 2012-03-24 0828 JK3GWT        59 010 RN3DMU        59 541
QSO: 21421 PH 2012-03-24 0834 JK3GWT        59 0012 YT2T          59 0680
QSO: 21402 PH 2012-03-24 0839 JK3GWT        59 014 HF3A          59 0649
QSO: 21405 PH 2012-03-24 0839 JK3GWT        59 013 OE3K          59 1034
QSO: 21392 PH 2012-03-24 0841 JK3GWT        59 015 LY22A         59 0109
QSO: 14207 PH 2012-03-24 0846 JK3GWT        59 0016 LP1H          59 0844
QSO: 14000 PH 2012-03-24 0859 JK3GWT        59 0017 9M6SDX        59 0435
QSO: 14000 PH 2012-03-24 0902 JK3GWT        59 0018 BV0J          59 0169
QSO: 21362 PH 2012-03-24 0905 JK3GWT        59 019 LY9Y          59 0611
QSO: 21297 PH 2012-03-24 0915 JK3GWT        59 20 RT4F          59 1498
END-OF-LOG:
