START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: PD3EM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PD3EM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2012.
QSO: 28580 PH 2012-03-24 0909 PD3EM         59 R9DA          59 254
QSO: 28564 PH 2012-03-24 0911 PD3EM         59 2 RA4WC         59 74
QSO: 28547 PH 2012-03-24 0917 PD3EM         59 003 H2T           59 0502
QSO: 28540 PH 2012-03-24 0918 PD3EM         59 4 RC6U          59 808
QSO: 28605 PH 2012-03-24 1331 PD3EM         59 005 4X0L          59 164
QSO: 28586 PH 2012-03-24 1615 PD3EM         59 007 EB8AH         59 0893
QSO: 28558 PH 2012-03-24 1617 PD3EM         59 0008 CE3CT         59 0903
QSO: 28000 PH 2012-03-24 1631 PD3EM         59 009 PX5E          59 1550
QSO: 28517 PH 2012-03-24 1637 PD3EM         59 0011 D2QV          59 0326
QSO: 28000 PH 2012-03-24 1641 PD3EM         59 0012 LU4FM         59 0507
QSO: 28000 PH 2012-03-24 1644 PD3EM         59 0014 AY5F          59 1716
QSO: 28000 PH 2012-03-24 1656 PD3EM         59 0016 CE1TT         59 0876
QSO: 28000 PH 2012-03-24 1659 PD3EM         59 0017 LU3DR         59 0260
QSO: 28455 PH 2012-03-24 1830 PD3EM         59 0108 PZ5P          59 1911
QSO: 28641 PH 2012-03-24 1911 PD3EM         59 019 CT3HF         59 0384
QSO: 28555 PH 2012-03-24 1915 PD3EM         59 0020 LT1F          59 1595
QSO: 28482 PH 2012-03-24 1919 PD3EM         59 0022 LP1H          59 1415
QSO: 28506 PH 2012-03-24 1919 PD3EM         59 21 6V7Z          59 2884
QSO: 28449 PH 2012-03-24 1920 PD3EM         59 023 CR3A          59 0957
