START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: PA2IP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PA2IP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2013.
QSO: 21128 PH 2013-03-30 1603 PA2IP         59 8P5A          59 2361
QSO: 21158 PH 2013-03-30 1605 PA2IP         59 002 UI4I          59 088
QSO: 21179 PH 2013-03-30 1608 PA2IP         59 003 RV4AB         59 689
QSO: 21190 PH 2013-03-30 1608 PA2IP         59 0004 RG3K          59 1526
QSO: 21195 PH 2013-03-30 1614 PA2IP         59 5 6V7S          59 1358
QSO: 21240 PH 2013-03-30 1620 PA2IP         59 0006 UW7LL         59 1116
QSO: 21266 PH 2013-03-30 1626 PA2IP         59 0007 SV9GPV        59 1659
QSO: 21278 PH 2013-03-30 1629 PA2IP         59 008 A61QQ         59 1091
QSO: 21000 PH 2013-03-30 1630 PA2IP         59 009 A60A          59 1067
QSO: 14117 PH 2013-03-30 1640 PA2IP         59 010 UT8UF         59 570
QSO: 14140 PH 2013-03-30 1643 PA2IP         59 0011 LZ20TRC       59 0868
QSO: 14000 PH 2013-03-30 1644 PA2IP         59 012 ED9Z          59 0471
QSO: 14162 PH 2013-03-30 1648 PA2IP         59 0015 YQ6A          59 0847
QSO: 14167 PH 2013-03-30 1648 PA2IP         59 0016 YT5CT         59 0903
QSO: 14000 PH 2013-03-30 1650 PA2IP         59 0017 ED2W          59 0707
QSO: 14195 PH 2013-03-30 1652 PA2IP         59 018 EF5Y          59 1343
QSO: 14000 PH 2013-03-30 1653 PA2IP         59 019 E720IARU      59 0776
QSO: 14194 PH 2013-03-30 1654 PA2IP         59 020 YT4W          59 0798
QSO: 14000 PH 2013-03-30 1655 PA2IP         59 0021 YR8V          59 0219
QSO: 14205 PH 2013-03-30 1656 PA2IP         59 022 LZ9W          59 0974
QSO: 14221 PH 2013-03-30 1701 PA2IP         59 023 OH5Z          59 0770
QSO: 14227 PH 2013-03-30 1703 PA2IP         59 0024 YL2SM         59 1123
QSO: 14000 PH 2013-03-30 1705 PA2IP         59 026 YO5KTK        59 056
QSO: 14238 PH 2013-03-30 1705 PA2IP         59 025 TM6M          59 1355
QSO: 14256 PH 2013-03-30 1710 PA2IP         59 0027 YL7A          59 0534
QSO: 14268 PH 2013-03-30 1711 PA2IP         59 0028 NE1C          59 0718
QSO: 14295 PH 2013-03-30 1713 PA2IP         59 0029 LZ1BJ         59 0685
QSO: 14301 PH 2013-03-30 1714 PA2IP         59 030 RU1A          59 1165
QSO: 14331 PH 2013-03-30 1715 PA2IP         59 0031 E79D          59 0141
