START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: DF2KD
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DF2KD
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2016.
QSO:  7000 PH 2016-03-26 0635 DF2KD         59 SL0W          59 69
QSO:  7000 PH 2016-03-26 0637 DF2KD         59 002 IR2R          59 322
QSO:  7000 PH 2016-03-26 0639 DF2KD         59 003 9A77A         59 0930
QSO:  7156 PH 2016-03-26 0640 DF2KD         59 0005 CR6K          59 0404
QSO:  7158 PH 2016-03-26 0640 DF2KD         59 004 TM0T          59 0785
QSO:  7000 PH 2016-03-26 0700 DF2KD         59 007 IK3UNA/1      59 335
QSO:  7087 PH 2016-03-26 0700 DF2KD         59 008 OK4K          59 0504
QSO:  7077 PH 2016-03-26 0701 DF2KD         59 009 DC4A          59 0408
QSO:  7060 PH 2016-03-26 0702 DF2KD         59 0010 OK2KJU        59 0491
QSO:  7121 PH 2016-03-26 0703 DF2KD         59 11 S51CK         59 330
QSO:  7125 PH 2016-03-26 0705 DF2KD         59 0012 G2F           59 0710
QSO:  7135 PH 2016-03-26 0705 DF2KD         59 013 TM6M          59 0792
QSO:  7162 PH 2016-03-26 0706 DF2KD         59 014 EC2DX         59 0503
QSO:  7193 PH 2016-03-26 0725 DF2KD         59 041 ED1R          59 0708
QSO:  7191 PH 2016-03-26 0726 DF2KD         59 042 OZ5E          59 0294
QSO:  7147 PH 2016-03-26 0728 DF2KD         59 0043 S51F          59 0521
QSO:  7075 PH 2016-03-26 0729 DF2KD         59 44 S56X          59 442
QSO:  7058 PH 2016-03-26 0730 DF2KD         59 0045 OK1WCF        59 0445
QSO:  7000 PH 2016-03-26 0731 DF2KD         59 046 DK7CH         59 038
QSO:  7070 PH 2016-03-26 0731 DF2KD         59 0047 OZ1NLD        59 0070
QSO:  7082 PH 2016-03-26 0732 DF2KD         59 048 EI6JK         59 0432
QSO:  7103 PH 2016-03-26 0733 DF2KD         59 0049 DH8BQA        59 0250
QSO:  7107 PH 2016-03-26 0733 DF2KD         59 0050 LA8OM         59 0112
QSO:  7195 PH 2016-03-26 0807 DF2KD         59 061 LZ9W          59 0632
QSO: 14000 PH 2016-03-26 0812 DF2KD         59 053 YL3CW         59 0044
QSO: 14000 PH 2016-03-26 0814 DF2KD         59 054 YT1A          59 0278
QSO: 14218 PH 2016-03-26 0934 DF2KD         59 0054 SJ3A          59 0239
QSO: 14230 PH 2016-03-26 0935 DF2KD         59 056 ES1LS         59 0184
QSO: 14242 PH 2016-03-26 0935 DF2KD         59 057 RU1M          59 0306
QSO: 14321 PH 2016-03-26 0936 DF2KD         59 0058 SJ2W          59 0786
QSO: 14000 PH 2016-03-26 0937 DF2KD         59 059 R2AD          59 229
QSO: 14327 PH 2016-03-26 0937 DF2KD         59 60 RW8T          59 309
QSO: 14253 PH 2016-03-26 0939 DF2KD         59 061 4L0A          59 1203
QSO: 14201 PH 2016-03-26 0940 DF2KD         59 0062 RK9AX         59 0720
QSO: 14177 PH 2016-03-26 0941 DF2KD         59 0064 OH8NW         59 0494
QSO: 14182 PH 2016-03-26 0941 DF2KD         59 063 EW6W          59 475
QSO: 21262 PH 2016-03-26 0944 DF2KD         59 66 RJ4P          59 977
QSO: 21227 PH 2016-03-26 1006 DF2KD         59 068 R8CT          59 0707
QSO: 21193 PH 2016-03-26 1007 DF2KD         59 69 RK4W          59 309
QSO: 21210 PH 2016-03-26 1014 DF2KD         59 070 P3F           59 1270
QSO: 21252 PH 2016-03-26 1016 DF2KD         59 071 C4A           59 0542
QSO: 21300 PH 2016-03-26 1018 DF2KD         59 0072 4Z7T          59 0804
QSO: 14000 PH 2016-03-26 1020 DF2KD         59 73 UT2PX         59 220
QSO: 14166 PH 2016-03-26 1020 DF2KD         59 0074 OG30OJ        59 0680
QSO: 14289 PH 2016-03-26 1024 DF2KD         59 076 CN2AA         59 0422
QSO: 14332 PH 2016-03-26 1026 DF2KD         59 077 UR5AS         59 599
QSO: 14239 PH 2016-03-26 1027 DF2KD         59 78 UZ5U          59 374
QSO: 14168 PH 2016-03-26 1028 DF2KD         59 080 RT0F          59 1067
QSO: 14179 PH 2016-03-26 1028 DF2KD         59 0079 YP7P          59 0575
QSO: 14150 PH 2016-03-26 1030 DF2KD         59 081 K1LZ          59 0927
QSO: 14164 PH 2016-03-26 1030 DF2KD         59 0082 EV1R          59 0730
QSO: 14256 PH 2016-03-26 1032 DF2KD         59 0083 RW9USA        59 1013
QSO: 14271 PH 2016-03-26 1032 DF2KD         59 0084 YR8D          59 0408
QSO: 14335 PH 2016-03-26 1035 DF2KD         59 0085 EC5AN         59 0801
QSO: 14131 PH 2016-03-26 1037 DF2KD         59 086 UZ9E          59 0591
QSO: 14148 PH 2016-03-26 1037 DF2KD         59 087 RA3Y          59 328
QSO: 21237 PH 2016-03-26 1814 DF2KD         59 0088 KC3R          59 1070
QSO: 21187 PH 2016-03-26 1815 DF2KD         59 089 VA2EW         59 0546
QSO: 21385 PH 2016-03-26 1819 DF2KD         59 91 XL3T          59 1493
QSO: 21405 PH 2016-03-26 1820 DF2KD         59 0092 VE3MIS        59 0142
QSO: 21416 PH 2016-03-26 1820 DF2KD         59 0093 KX1BK         59 0250
QSO: 21326 PH 2016-03-26 1822 DF2KD         59 094 WW2Y          59 1239
QSO: 21246 PH 2016-03-26 1825 DF2KD         59 0096 K3WW          59 0520
QSO: 21301 PH 2016-03-26 1825 DF2KD         59 0095 NP2P          59 0991
QSO:  7172 PH 2016-03-26 1831 DF2KD         59 24 EU5C          59 297
END-OF-LOG:
