START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: OH5BQ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OH5BQ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2016.
QSO: 14000 PH 2016-03-26 1709 OH5BQ         59 7U9C          59 445
QSO: 14000 PH 2016-03-26 1710 OH5BQ         59 0002 LX1HD         59 0279
QSO: 14150 PH 2016-03-26 1711 OH5BQ         59 0003 HB0A          59 0054
QSO: 14215 PH 2016-03-26 1713 OH5BQ         59 0004 HG3M          59 0491
QSO: 14225 PH 2016-03-26 1716 OH5BQ         59 0005 CR6P          59 1055
QSO: 14239 PH 2016-03-26 1717 OH5BQ         59 6 OT5X          59 486
QSO: 14245 PH 2016-03-26 1720 OH5BQ         59 007 EA9KB         59 1058
QSO: 14260 PH 2016-03-26 1726 OH5BQ         59 0009 D41CV         59 1779
QSO: 14207 PH 2016-03-26 1728 OH5BQ         59 0010 G2F           59 1658
QSO: 14000 PH 2016-03-26 1750 OH5BQ         59 011 IQ2DN         59 390
QSO: 14166 PH 2016-03-26 1751 OH5BQ         59 012 M0WUT         59 0881
QSO: 14157 PH 2016-03-26 1753 OH5BQ         59 0013 YR8D          59 0783
QSO: 14000 PH 2016-03-26 1754 OH5BQ         59 0015 EA3HJO        59 0292
QSO: 14000 PH 2016-03-26 1758 OH5BQ         59 0016 9Y4D          59 0970
QSO: 14163 PH 2016-03-26 1759 OH5BQ         59 17 NA8V          59 965
QSO: 14126 PH 2016-03-26 1802 OH5BQ         59 0018 JE1ZWT        59 0395
QSO: 14114 PH 2016-03-26 1804 OH5BQ         59 0019 JP7DKQ        59 0209
QSO:  7087 PH 2016-03-26 1810 OH5BQ         59 0020 9M4DX         59 0333
QSO:  7000 PH 2016-03-26 1812 OH5BQ         59 022 A61HA         59 409
QSO:  7102 PH 2016-03-26 1814 OH5BQ         59 0023 EN4U          59 1403
QSO:  7153 PH 2016-03-26 1817 OH5BQ         59 24 UP0L          59 2069
QSO: 14236 PH 2016-03-27 0756 OH5BQ         59 025 Z68BH         59 0244
QSO: 14288 PH 2016-03-27 0757 OH5BQ         59 26 RK9QWM        59 347
QSO: 14292 PH 2016-03-27 0758 OH5BQ         59 027 EI7M          59 2071
QSO: 14330 PH 2016-03-27 0759 OH5BQ         59 28 UA9CDC        59 427
QSO: 21178 PH 2016-03-27 0803 OH5BQ         59 029 ZM4T          59 1648
QSO: 21222 PH 2016-03-27 0806 OH5BQ         59 0030 BY2AA         59 1171
QSO: 21241 PH 2016-03-27 0809 OH5BQ         59 0031 VU2RCT        59 0467
QSO: 21000 PH 2016-03-27 0811 OH5BQ         59 032 E44YL         59 0837
QSO: 21213 PH 2016-03-27 0812 OH5BQ         59 033 5E5E          59 2189
QSO: 21000 PH 2016-03-27 0818 OH5BQ         59 0034 TC4A          59 0632
QSO: 21218 PH 2016-03-27 0818 OH5BQ         59 035 RZ9U          59 950
QSO: 21000 PH 2016-03-27 0819 OH5BQ         59 0035 YB1AR         59 0623
QSO: 21270 PH 2016-03-27 0823 OH5BQ         59 36 RC9O          59 2678
QSO: 21284 PH 2016-03-27 0824 OH5BQ         59 037 P3F           59 2640
QSO: 21308 PH 2016-03-27 0828 OH5BQ         59 038 VR2XAN        59 1444
QSO: 21357 PH 2016-03-27 0832 OH5BQ         59 0039 XW1IC         59 1911
QSO: 21359 PH 2016-03-27 0834 OH5BQ         59 0040 BY5CD         59 1601
END-OF-LOG:
