START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: SV8GXC/1
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: SV8GXC/1
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2017.
QSO: 14109 PH 2017-03-25 1002 SV8GXC/1      59 RL6M          59 485
QSO: 14208 PH 2017-03-25 1006 SV8GXC/1      59 002 RU1A          59 1087
QSO: 14252 PH 2017-03-25 1009 SV8GXC/1      59 004 IR4M          59 981
QSO: 14258 PH 2017-03-25 1012 SV8GXC/1      59 0005 RW3XZ         59 0416
QSO: 14271 PH 2017-03-25 1013 SV8GXC/1      59 006 DM9EE         59 0006
QSO: 14294 PH 2017-03-25 1017 SV8GXC/1      59 0008 UZ3A          59 0603
QSO: 14301 PH 2017-03-25 1017 SV8GXC/1      59 0009 4X6TT         59 0658
QSO: 14000 PH 2017-03-25 1020 SV8GXC/1      59 0011 S52OT         59 0193
QSO: 14000 PH 2017-03-25 1020 SV8GXC/1      59 010 TM8A          59 0254
QSO:  7170 PH 2017-03-25 1028 SV8GXC/1      59 012 LZ9W          59 0658
QSO: 21203 PH 2017-03-25 1036 SV8GXC/1      59 0013 HZ1HZ         59 0399
QSO: 21252 PH 2017-03-25 1041 SV8GXC/1      59 017 A93JA         59 0257
QSO: 21250 PH 2017-03-25 1120 SV8GXC/1      59 015 9K2HN         59 1434
QSO: 14197 PH 2017-03-25 1847 SV8GXC/1      59 015 EI6JK         59 0769
QSO: 14140 PH 2017-03-25 1851 SV8GXC/1      59 0016 D4C           59 1501
QSO:  7105 PH 2017-03-25 1922 SV8GXC/1      59 0016 UP2L          59 1957
QSO: 21212 PH 2017-03-26 1215 SV8GXC/1      59 0018 EI7M          59 3821
QSO: 21252 PH 2017-03-26 1219 SV8GXC/1      59 019 CN2AA         59 5671
QSO: 21270 PH 2017-03-26 1221 SV8GXC/1      59 019 PW2D          59 1564
QSO: 21222 PH 2017-03-26 1234 SV8GXC/1      59 0022 ZV5O          59 1463
QSO: 21328 PH 2017-03-26 1249 SV8GXC/1      59 0023 EB8AH         59 5721
QSO: 21318 PH 2017-03-26 1253 SV8GXC/1      59 0025 CX2DK         59 1760
QSO: 21285 PH 2017-03-26 1300 SV8GXC/1      59 026 CN3A          59 1176
QSO: 21279 PH 2017-03-26 1303 SV8GXC/1      59 047 A73A          59 1053
QSO: 21272 PH 2017-03-26 1304 SV8GXC/1      59 0028 7Z1CQ         59 1244
QSO: 14188 PH 2017-03-26 1346 SV8GXC/1      59 0028 A44A          59 1534
QSO: 14285 PH 2017-03-26 1406 SV8GXC/1      59 029 RT5Z          59 2267
QSO: 14262 PH 2017-03-26 1828 SV8GXC/1      59 026 EA5DFV        59 1593
QSO: 14282 PH 2017-03-26 1831 SV8GXC/1      59 027 EA4TD         59 1029
QSO: 14000 PH 2017-03-26 1837 SV8GXC/1      59 0029 CN8MAA        59 0576
QSO: 14115 PH 2017-03-26 1842 SV8GXC/1      59 0031 VE6KD         59 0250
QSO: 14151 PH 2017-03-26 1847 SV8GXC/1      59 0033 WW2DX         59 3312
QSO: 14161 PH 2017-03-26 1848 SV8GXC/1      59 0034 G1A           59 1238
QSO: 14163 PH 2017-03-26 1850 SV8GXC/1      59 0035 NR3X          59 2660
QSO: 14219 PH 2017-03-26 1858 SV8GXC/1      59 0036 M1E           59 0638
QSO: 14253 PH 2017-03-26 1901 SV8GXC/1      59 038 CS2C          59 2705
END-OF-LOG:
