START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: KA3MTT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KA3MTT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2018.
QSO:  7000 PH 2018-03-24 0233 KA3MTT        59 NR7DX         59 282
QSO:  7152 PH 2018-03-24 0237 KA3MTT        59 0002 KZ1W          59 0210
QSO:  7154 PH 2018-03-24 0237 KA3MTT        59 0003 N6WIN         59 0152
QSO:  7165 PH 2018-03-24 0238 KA3MTT        59 004 VE7SZ         59 107
QSO:  7173 PH 2018-03-24 0240 KA3MTT        59 0005 KK7PR         59 0047
QSO:  7000 PH 2018-03-24 0242 KA3MTT        59 06 N7RO          59 110
QSO:  7185 PH 2018-03-24 0249 KA3MTT        59 7 NR6Q          59 372
QSO:  7198 PH 2018-03-24 0252 KA3MTT        59 008 EF8R          59 0675
QSO:  7000 PH 2018-03-24 0253 KA3MTT        59 009 W6AFA         59 243
QSO:  7229 PH 2018-03-24 0255 KA3MTT        59 0010 VE7SCC        59 0219
QSO: 14183 PH 2018-03-24 1305 KA3MTT        59 0012 VP5P          59 0841
QSO: 14318 PH 2018-03-24 1307 KA3MTT        59 12 KJ5Y          59 657
QSO:  7128 PH 2018-03-24 1323 KA3MTT        59 0013 WQ5OO         59 1166
QSO:  7131 PH 2018-03-24 1323 KA3MTT        59 0014 WX3B          59 0466
QSO:  7136 PH 2018-03-24 1324 KA3MTT        59 0015 VE3CX         59 0649
QSO:  7138 PH 2018-03-24 1326 KA3MTT        59 0016 W5CT          59 0568
QSO:  7156 PH 2018-03-24 1327 KA3MTT        59 17 KD7RF         59 055
QSO:  7163 PH 2018-03-24 1329 KA3MTT        59 0108 NR3X          59 0667
QSO:  7199 PH 2018-03-24 1334 KA3MTT        59 0019 NE1C          59 0277
QSO:  7202 PH 2018-03-24 1335 KA3MTT        59 0020 WW4LL         59 0666
QSO:  7208 PH 2018-03-24 1337 KA3MTT        59 021 VC6R          59 799
QSO:  7148 PH 2018-03-24 1339 KA3MTT        59 022 AG4W          59 600
QSO:  7177 PH 2018-03-24 1341 KA3MTT        59 0024 K3WW          59 0407
QSO:  7196 PH 2018-03-24 1413 KA3MTT        59 0025 KG5HVO        59 0354
QSO: 14177 PH 2018-03-24 1415 KA3MTT        59 026 NR5M          59 1275
QSO: 14200 PH 2018-03-24 1418 KA3MTT        59 0027 K7JQ          59 0142
QSO: 14223 PH 2018-03-24 1421 KA3MTT        59 029 HA1AG         59 0839
QSO: 14234 PH 2018-03-24 1423 KA3MTT        59 030 VC6R          59 862
QSO: 14278 PH 2018-03-24 1433 KA3MTT        59 0031 IO5O          59 1628
QSO: 14000 PH 2018-03-24 1522 KA3MTT        59 0032 AA5B          59 0504
QSO: 14212 PH 2018-03-24 1524 KA3MTT        59 0033 KT5J          59 1158
QSO: 14180 PH 2018-03-24 1636 KA3MTT        59 34 S50K          59 367
QSO: 14000 PH 2018-03-24 1638 KA3MTT        59 0035 LA6VQ         59 0669
QSO: 14195 PH 2018-03-24 1640 KA3MTT        59 036 CN3A          59 1473
QSO: 14163 PH 2018-03-24 2336 KA3MTT        59 0037 NA3D          59 1082
QSO: 14169 PH 2018-03-24 2338 KA3MTT        59 0038 K1TO          59 0315
QSO: 14171 PH 2018-03-24 2338 KA3MTT        59 39 K0UK          59 693
QSO: 14175 PH 2018-03-24 2339 KA3MTT        59 040 WN6K          59 467
QSO: 14183 PH 2018-03-24 2340 KA3MTT        59 0041 KD5DD         59 1752
QSO: 14252 PH 2018-03-24 2346 KA3MTT        59 044 WQ6X          59 0922
QSO: 14259 PH 2018-03-24 2347 KA3MTT        59 0045 NT5V          59 0869
