START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: EE2W
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: EE2W
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2019.
QSO: 14153 PH 2019-03-31 1757 EE2W          59 KQ2M          59 2912
QSO: 14155 PH 2019-03-31 1757 EE2W          59 0002 NN3W          59 3170
QSO: 14000 PH 2019-03-31 1759 EE2W          59 3 KT5J          59 3250
QSO: 14159 PH 2019-03-31 1759 EE2W          59 004 WA1Z          59 3136
QSO: 14162 PH 2019-03-31 1800 EE2W          59 0005 K1LZ          59 3503
QSO: 14176 PH 2019-03-31 1802 EE2W          59 0006 WX3B          59 0794
QSO: 14177 PH 2019-03-31 1804 EE2W          59 0007 5T5PA         59 0930
QSO: 14199 PH 2019-03-31 1804 EE2W          59 009 SZ1A          59 1983
QSO: 14187 PH 2019-03-31 1805 EE2W          59 0008 PR7AA         59 2230
QSO: 14223 PH 2019-03-31 1808 EE2W          59 0010 J42L          59 2125
QSO: 14227 PH 2019-03-31 1810 EE2W          59 0011 HK3C          59 0923
QSO: 14241 PH 2019-03-31 1810 EE2W          59 0012 CR3DX         59 3720
QSO: 14000 PH 2019-03-31 1811 EE2W          59 0013 VE2GSO        59 0804
QSO: 14246 PH 2019-03-31 1812 EE2W          59 0014 D4C           59 2633
QSO: 14254 PH 2019-03-31 1813 EE2W          59 0015 VE6AO         59 1447
QSO: 14276 PH 2019-03-31 1816 EE2W          59 0016 NE1C          59 1129
QSO: 14286 PH 2019-03-31 1817 EE2W          59 0017 KT7E          59 0735
QSO: 14288 PH 2019-03-31 1818 EE2W          59 0018 AD5XD         59 1702
QSO: 14296 PH 2019-03-31 1820 EE2W          59 0019 KK6P          59 2466
QSO: 14324 PH 2019-03-31 1822 EE2W          59 0020 EA2LMI        59 1592
QSO: 14328 PH 2019-03-31 1823 EE2W          59 0021 N6AR          59 1389
QSO: 14333 PH 2019-03-31 1826 EE2W          59 0022 AJ7G          59 1694
QSO: 14335 PH 2019-03-31 1828 EE2W          59 23 S50K          59 2058
QSO: 14338 PH 2019-03-31 1828 EE2W          59 0024 KW7Y          59 2683
QSO: 14344 PH 2019-03-31 1829 EE2W          59 0025 WP4SK         59 0337
QSO: 14304 PH 2019-03-31 1831 EE2W          59 026 DL2ARD        59 2339
QSO: 14293 PH 2019-03-31 1833 EE2W          59 0028 F4FFZ         59 1311
QSO: 14277 PH 2019-03-31 1834 EE2W          59 030 4L0A          59 3666
QSO: 14284 PH 2019-03-31 1834 EE2W          59 029 IO9A          59 2864
QSO: 14268 PH 2019-03-31 1837 EE2W          59 031 TM6M          59 4779
QSO: 14265 PH 2019-03-31 1838 EE2W          59 0032 VP5P          59 2655
QSO: 14259 PH 2019-03-31 1839 EE2W          59 0033 IR8D          59 1686
QSO: 14255 PH 2019-03-31 1841 EE2W          59 035 II8M          59 697
QSO: 14258 PH 2019-03-31 1841 EE2W          59 34 II9P          59 2180
QSO: 14255 PH 2019-03-31 1842 EE2W          59 0036 NW1P          59 2693
QSO: 14000 PH 2019-03-31 1844 EE2W          59 0037 YM3KC         59 0645
QSO: 14195 PH 2019-03-31 1844 EE2W          59 0038 KU1CW         59 2108
QSO: 14189 PH 2019-03-31 1846 EE2W          59 0039 SV9COL        59 0502
QSO: 14184 PH 2019-03-31 1847 EE2W          59 0040 CN2AM         59 1653
QSO: 14180 PH 2019-03-31 1849 EE2W          59 0041 ZY2A          59 0826
QSO: 14173 PH 2019-03-31 1850 EE2W          59 0042 CB1H          59 1863
QSO: 14166 PH 2019-03-31 1852 EE2W          59 043 M7K           59 2240
QSO: 14000 PH 2019-03-31 1853 EE2W          59 0044 TA4LYL        59 0354
QSO: 14000 PH 2019-03-31 1854 EE2W          59 0045 6W1SU         59 0145
QSO: 14135 PH 2019-03-31 1855 EE2W          59 46 V51WW         59 130
QSO: 14150 PH 2019-03-31 1856 EE2W          59 047 K3LR          59 2021
QSO: 14174 PH 2019-03-31 1857 EE2W          59 0048 VE3DZ         59 2264
QSO: 21320 PH 2019-03-31 1859 EE2W          59 0049 D4C           59 1943
QSO: 21000 PH 2019-03-31 1905 EE2W          59 0050 CE1BF         59 0136
QSO: 21309 PH 2019-03-31 1906 EE2W          59 0051 ZY2A          59 0557
QSO: 21270 PH 2019-03-31 1913 EE2W          59 0052 HK3C          59 0979
QSO: 21000 PH 2019-03-31 1914 EE2W          59 54 CB6P          59 1493
QSO: 21000 PH 2019-03-31 1914 EE2W          59 0053 CB6WW         59 0915
QSO: 21245 PH 2019-03-31 1915 EE2W          59 0055 PY2CP         59 0270
QSO: 21232 PH 2019-03-31 1920 EE2W          59 0056 ZV2C          59 0558
QSO: 21207 PH 2019-03-31 1921 EE2W          59 0057 PY8WW         59 0490
QSO: 21200 PH 2019-03-31 1922 EE2W          59 0058 CE2LR         59 2173
QSO: 21213 PH 2019-03-31 1923 EE2W          59 0059 PJ4DX         59 1660
QSO: 21238 PH 2019-03-31 1924 EE2W          59 0061 PZ5RA         59 1519
QSO: 21261 PH 2019-03-31 1925 EE2W          59 0060 PT4A          59 1476
QSO: 21264 PH 2019-03-31 1926 EE2W          59 0063 CB1H          59 1886
QSO: 21266 PH 2019-03-31 1928 EE2W          59 0064 PR4T          59 2636
QSO: 21274 PH 2019-03-31 1928 EE2W          59 0065 LU5FB         59 2083
QSO: 21000 PH 2019-03-31 1934 EE2W          59 066 CE5JZO        59 410
QSO: 21352 PH 2019-03-31 1934 EE2W          59 0067 LU2DD         59 0887
QSO: 21363 PH 2019-03-31 1935 EE2W          59 0068 CE3DNP        59 0277
QSO: 21345 PH 2019-03-31 1936 EE2W          59 0069 CE3CT         59 2060
QSO: 21324 PH 2019-03-31 1937 EE2W          59 0070 CV7S          59 1395
QSO: 21234 PH 2019-03-31 1939 EE2W          59 0073 3G3W          59 1184
QSO: 21305 PH 2019-03-31 1939 EE2W          59 0071 PY2ZR         59 0215
QSO: 21000 PH 2019-03-31 1940 EE2W          59 0072 PT7ZT         59 0516
QSO: 21203 PH 2019-03-31 1943 EE2W          59 0074 PY2CAT        59 0124
QSO: 21243 PH 2019-03-31 1946 EE2W          59 0075 PY2UD         59 0620
QSO:  7071 PH 2019-03-31 1956 EE2W          59 075 EC2DX         59 2842
QSO:  7055 PH 2019-03-31 1959 EE2W          59 0077 OH0V          59 1551
QSO:  7056 PH 2019-03-31 1959 EE2W          59 0078 SI9AM         59 1150
QSO:  7057 PH 2019-03-31 2000 EE2W          59 0079 OG7A          59 2230
QSO:  7061 PH 2019-03-31 2001 EE2W          59 080 IZ4REF        59 827
QSO:  7065 PH 2019-03-31 2001 EE2W          59 0081 RZ3Z          59 1194
QSO:  7066 PH 2019-03-31 2001 EE2W          59 082 UN5GM         59 783
QSO:  7069 PH 2019-03-31 2002 EE2W          59 0083 CN2CO         59 4486
QSO:  7084 PH 2019-03-31 2003 EE2W          59 0084 IQ8SN         59 1657
QSO:  7089 PH 2019-03-31 2004 EE2W          59 085 ES7A          59 2589
QSO:  7092 PH 2019-03-31 2004 EE2W          59 086 RX3APM        59 2469
QSO:  7093 PH 2019-03-31 2004 EE2W          59 0087 LY5R          59 2414
QSO:  7000 PH 2019-03-31 2005 EE2W          59 088 DL4RCE        59 654
QSO:  7124 PH 2019-03-31 2006 EE2W          59 089 TM6M          59 4919
QSO:  7000 PH 2019-03-31 2008 EE2W          59 090 YU5W          59 0163
QSO:  7131 PH 2019-03-31 2008 EE2W          59 091 SZ1A          59 2080
QSO:  7132 PH 2019-03-31 2010 EE2W          59 0092 LY1FW         59 1785
QSO:  7135 PH 2019-03-31 2011 EE2W          59 0093 9A9R          59 1066
QSO:  7136 PH 2019-03-31 2011 EE2W          59 0094 IO3F          59 1613
QSO:  7139 PH 2019-03-31 2011 EE2W          59 0095 OL9Z          59 1632
QSO:  7143 PH 2019-03-31 2012 EE2W          59 0096 HG5A          59 2949
QSO:  7144 PH 2019-03-31 2012 EE2W          59 097 S56X          59 1120
QSO:  7148 PH 2019-03-31 2013 EE2W          59 0098 UW5ZM         59 1567
QSO:  7160 PH 2019-03-31 2015 EE2W          59 0100 IW2MZX        59 0240
QSO:  7163 PH 2019-03-31 2015 EE2W          59 101 OM70KAP       59 2489
QSO:  7165 PH 2019-03-31 2016 EE2W          59 102 SO4R          59 1392
QSO:  7166 PH 2019-03-31 2018 EE2W          59 0103 HZ1TL         59 0848
QSO:  7167 PH 2019-03-31 2018 EE2W          59 0104 I2WIJ         59 0566
QSO:  7170 PH 2019-03-31 2019 EE2W          59 0105 DP7D          59 1139
QSO:  7173 PH 2019-03-31 2021 EE2W          59 0106 ED5S          59 1894
QSO:  7176 PH 2019-03-31 2021 EE2W          59 107 CN3A          59 2086
QSO:  7180 PH 2019-03-31 2022 EE2W          59 108 RK3AW         59 1053
QSO:  7182 PH 2019-03-31 2023 EE2W          59 0109 NQ2F          59 1261
QSO:  7183 PH 2019-03-31 2024 EE2W          59 110 9A1A          59 2408
QSO:  7188 PH 2019-03-31 2026 EE2W          59 0111 EA2LMI        59 1742
QSO:  7189 PH 2019-03-31 2027 EE2W          59 112 N8BI          59 752
QSO:  7190 PH 2019-03-31 2028 EE2W          59 113 ED1R          59 1379
QSO:  7194 PH 2019-03-31 2029 EE2W          59 0114 EI19RE        59 2971
QSO:  7198 PH 2019-03-31 2029 EE2W          59 0115 YP0C          59 2360
QSO:  7169 PH 2019-03-31 2031 EE2W          59 116 MM4D          59 531
QSO:  7166 PH 2019-03-31 2033 EE2W          59 117 M7K           59 2382
QSO:  7000 PH 2019-03-31 2034 EE2W          59 119 II2S          59 1435
QSO:  7156 PH 2019-03-31 2036 EE2W          59 0120 HA8A          59 1994
QSO:  7147 PH 2019-03-31 2037 EE2W          59 121 HB9EOU        59 1207
QSO:  7132 PH 2019-03-31 2039 EE2W          59 122 UA5L          59 5040
QSO:  7126 PH 2019-03-31 2040 EE2W          59 124 RU1A          59 4624
QSO:  7128 PH 2019-03-31 2040 EE2W          59 123 NN2DX         59 3373
QSO:  7110 PH 2019-03-31 2041 EE2W          59 0125 J42L          59 1454
QSO:  7098 PH 2019-03-31 2043 EE2W          59 0126 HG1S          59 0811
QSO:  7096 PH 2019-03-31 2044 EE2W          59 0127 OE6MMD        59 0788
QSO:  7091 PH 2019-03-31 2045 EE2W          59 0121 UP0L          59 1689
QSO:  7079 PH 2019-03-31 2046 EE2W          59 130 RL6M          59 1460
QSO:  7066 PH 2019-03-31 2049 EE2W          59 131 GM5X          59 1002
QSO:  7053 PH 2019-03-31 2051 EE2W          59 0133 BI8FZA        59 1365
QSO:  7000 PH 2019-03-31 2052 EE2W          59 134 EA2DNR        59 985
QSO:  7050 PH 2019-03-31 2053 EE2W          59 0135 RC7KY         59 0802
QSO:  7000 PH 2019-03-31 2055 EE2W          59 136 HZ1TT         59 1186
QSO:  7000 PH 2019-03-31 2056 EE2W          59 0137 YM3KC         59 0123
QSO:  7096 PH 2019-03-31 2057 EE2W          59 138 S51CK         59 1114
QSO:  7112 PH 2019-03-31 2057 EE2W          59 0139 OM7RU         59 1143
QSO:  7178 PH 2019-03-31 2058 EE2W          59 140 OK5Z          59 2858
QSO:  7124 PH 2019-03-31 2100 EE2W          59 141 P33W          59 5335
QSO:  7137 PH 2019-03-31 2102 EE2W          59 0142 EM2Q          59 1233
QSO:  7160 PH 2019-03-31 2103 EE2W          59 0143 HB90IQY       59 0634
QSO:  7196 PH 2019-03-31 2104 EE2W          59 144 HG7T          59 1496
QSO:  7199 PH 2019-03-31 2105 EE2W          59 145 LY7Z          59 3219
QSO:  7185 PH 2019-03-31 2106 EE2W          59 146 LZ9W          59 2092
QSO:  7168 PH 2019-03-31 2107 EE2W          59 0147 KB1W          59 0371
QSO:  7072 PH 2019-03-31 2111 EE2W          59 148 ES5TV         59 3875
QSO:  7000 PH 2019-03-31 2112 EE2W          59 149 IW5ECP        59 096
QSO:  7097 PH 2019-03-31 2113 EE2W          59 0150 Z32U          59 0115
QSO:  7000 PH 2019-03-31 2114 EE2W          59 151 IN3AHO        59 184
QSO:  7000 PH 2019-03-31 2114 EE2W          59 0153 LY2UU         59 0537
QSO:  7098 PH 2019-03-31 2114 EE2W          59 0152 LZ0M          59 0845
QSO:  7000 PH 2019-03-31 2115 EE2W          59 0156 YT4ZZ         59 0023
QSO:  7098 PH 2019-03-31 2115 EE2W          59 0154 SP2KPD        59 1199
QSO:  7098 PH 2019-03-31 2119 EE2W          59 0158 ES2MC         59 1013
