START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: K8VGL
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K8VGL
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2019.
QSO: 14000 PH 2019-03-31 2203 K8VGL         59 NR5W          59 1749
QSO: 14208 PH 2019-03-31 2204 K8VGL         59 0002 VP5P          59 3000
QSO: 14218 PH 2019-03-31 2206 K8VGL         59 3 NJ6G          59 2541
QSO: 14225 PH 2019-03-31 2207 K8VGL         59 004 AK6W          59 0994
QSO: 14241 PH 2019-03-31 2209 K8VGL         59 0005 CR3DX         59 4281
QSO: 14238 PH 2019-03-31 2213 K8VGL         59 007 WC6H          59 1504
QSO: 14198 PH 2019-03-31 2217 K8VGL         59 0008 KA6BIM        59 1478
QSO: 14259 PH 2019-03-31 2221 K8VGL         59 009 EC2DX         59 3051
QSO: 14288 PH 2019-03-31 2222 K8VGL         59 0010 KW7Y          59 3016
QSO: 14294 PH 2019-03-31 2227 K8VGL         59 0011 VP9I          59 1067
QSO: 14288 PH 2019-03-31 2228 K8VGL         59 0012 W6TK          59 1378
QSO: 14321 PH 2019-03-31 2230 K8VGL         59 013 PS2T          59 3750
QSO: 14337 PH 2019-03-31 2231 K8VGL         59 0014 KT7E          59 1137
QSO: 14340 PH 2019-03-31 2232 K8VGL         59 0015 CR6K          59 2920
QSO: 14348 PH 2019-03-31 2234 K8VGL         59 0016 PR4T          59 2889
QSO: 14250 PH 2019-03-31 2240 K8VGL         59 0017 NR6O          59 1817
QSO: 14290 PH 2019-03-31 2244 K8VGL         59 0018 KZ1W          59 2651
QSO: 14292 PH 2019-03-31 2245 K8VGL         59 19 VE7GL         59 902
QSO: 14307 PH 2019-03-31 2248 K8VGL         59 020 P40L          59 5023
QSO: 14327 PH 2019-03-31 2250 K8VGL         59 021 P44W          59 1929
QSO: 14346 PH 2019-03-31 2252 K8VGL         59 022 PJ4K          59 4957
QSO: 14215 PH 2019-03-31 2301 K8VGL         59 0023 KK6P          59 2801
QSO: 14243 PH 2019-03-31 2302 K8VGL         59 0024 N7RVD         59 0287
QSO: 14255 PH 2019-03-31 2305 K8VGL         59 0025 NP2P          59 2696
QSO: 14283 PH 2019-03-31 2306 K8VGL         59 26 PJ4R          59 2744
QSO:  7128 PH 2019-03-31 2310 K8VGL         59 027 NN2DX         59 3504
QSO:  7131 PH 2019-03-31 2311 K8VGL         59 0028 WX3B          59 1829
QSO:  7147 PH 2019-03-31 2312 K8VGL         59 0029 VC2W          59 2756
QSO:  7159 PH 2019-03-31 2317 K8VGL         59 0030 AJ7G          59 1878
QSO:  7160 PH 2019-03-31 2317 K8VGL         59 031 TM6M          59 5260
QSO:  7185 PH 2019-03-31 2321 K8VGL         59 032 LZ9W          59 2166
QSO:  7189 PH 2019-03-31 2322 K8VGL         59 0033 IO4X          59 3559
QSO:  7203 PH 2019-03-31 2325 K8VGL         59 0034 W2DLT         59 0610
QSO:  7220 PH 2019-03-31 2328 K8VGL         59 0035 AD5XD         59 1953
QSO:  7240 PH 2019-03-31 2332 K8VGL         59 0036 KA3GIK        59 0584
QSO:  7254 PH 2019-03-31 2332 K8VGL         59 0037 KD3TB         59 0389
QSO:  7259 PH 2019-03-31 2334 K8VGL         59 0038 PJ2T          59 1496
QSO:  7268 PH 2019-03-31 2335 K8VGL         59 0039 AA4NP         59 0249
QSO:  7163 PH 2019-03-31 2339 K8VGL         59 040 OM70KAP       59 2659
QSO:  7169 PH 2019-03-31 2340 K8VGL         59 0041 NW1P          59 2967
QSO:  7191 PH 2019-03-31 2343 K8VGL         59 43 II9P          59 1663
QSO:  7200 PH 2019-03-31 2346 K8VGL         59 0043 VC2Z          59 2360
QSO:  7240 PH 2019-03-31 2348 K8VGL         59 0006 W4IPC         59 0606
QSO:  7152 PH 2019-03-31 2355 K8VGL         59 0045 K4PV          59 2232
QSO:  7121 PH 2019-03-31 2357 K8VGL         59 0046 D4C           59 1577
END-OF-LOG:
