START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: WB0LQC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WB0LQC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2020.
QSO: 14000 PH 2020-03-28 0103 WB0LQC        59 N6OKU         59 051
QSO:  7252 PH 2020-03-28 0106 WB0LQC        59 0002 WW2Y          59 0125
QSO:  7286 PH 2020-03-28 0108 WB0LQC        59 0004 AB4GG         59 0151
QSO:  7000 PH 2020-03-28 0111 WB0LQC        59 005 NC6R          59 110
QSO:  7226 PH 2020-03-28 1226 WB0LQC        59 0006 WD8S          59 0062
QSO:  7238 PH 2020-03-28 1227 WB0LQC        59 0007 W7CXX         59 0446
QSO:  7000 PH 2020-03-28 1230 WB0LQC        59 8 KT5J          59 1850
QSO:  7164 PH 2020-03-28 1355 WB0LQC        59 0009 N2BJ          59 0259
QSO: 14000 PH 2020-03-28 1751 WB0LQC        59 011 NC6R          59 779
QSO: 14236 PH 2020-03-28 1757 WB0LQC        59 0012 NO6T          59 1489
QSO: 14274 PH 2020-03-28 1801 WB0LQC        59 013 K3RA          59 1029
QSO: 14226 PH 2020-03-28 1811 WB0LQC        59 14 K0STP         59 149
QSO: 14268 PH 2020-03-28 1814 WB0LQC        59 0015 NN3W          59 0956
QSO: 14218 PH 2020-03-28 1956 WB0LQC        59 0016 KK6P          59 1002
QSO: 14276 PH 2020-03-28 2002 WB0LQC        59 0017 NR6O          59 1097
QSO: 14260 PH 2020-03-28 2005 WB0LQC        59 0018 KA6BIM        59 0531
QSO: 14000 PH 2020-03-28 2010 WB0LQC        59 19 WA6KHK        59 414
QSO: 28480 PH 2020-03-28 2122 WB0LQC        59 0020 PX2A          59 0660
QSO: 28487 PH 2020-03-28 2135 WB0LQC        59 0023 CX2DK         59 0512
QSO: 28471 PH 2020-03-28 2156 WB0LQC        59 0024 K4MM          59 0132
QSO: 21000 PH 2020-03-28 2205 WB0LQC        59 0025 HC2AO         59 0903
QSO: 14196 PH 2020-03-29 0000 WB0LQC        59 0026 4A60A         59 0470
QSO: 14180 PH 2020-03-29 0048 WB0LQC        59 0027 N7DD          59 0561
QSO:  7224 PH 2020-03-29 0158 WB0LQC        59 0028 TI7W          59 1214
QSO:  7220 PH 2020-03-29 0159 WB0LQC        59 0029 N0KV          59 1319
QSO:  7155 PH 2020-03-29 0202 WB0LQC        59 030 NU5A          59 2499
QSO:  7090 PH 2020-03-29 0204 WB0LQC        59 31 W9RE          59 1379
QSO:  7184 PH 2020-03-29 0205 WB0LQC        59 032 KW8N          59 0833
QSO:  7194 PH 2020-03-29 0208 WB0LQC        59 033 WC6H          59 1906
QSO:  7232 PH 2020-03-29 0215 WB0LQC        59 33 CF3A          59 2823
QSO:  7254 PH 2020-03-29 0218 WB0LQC        59 034 W8MJ          59 1844
QSO:  7179 PH 2020-03-29 0341 WB0LQC        59 035 K3RA          59 1864
QSO:  7222 PH 2020-03-29 0349 WB0LQC        59 0036 N3QE          59 1675
QSO:  7216 PH 2020-03-29 1245 WB0LQC        59 037 AG4W          59 1453
QSO:  7206 PH 2020-03-29 1246 WB0LQC        59 0038 VE4VT         59 1810
QSO:  7000 PH 2020-03-29 1252 WB0LQC        59 39 WN8HCV        59 871
QSO: 14203 PH 2020-03-29 1256 WB0LQC        59 0040 VE9CB         59 2206
QSO: 14176 PH 2020-03-29 1420 WB0LQC        59 0041 VA7RR         59 1731
QSO: 14248 PH 2020-03-29 1422 WB0LQC        59 0042 KB1W          59 0966
QSO: 28477 PH 2020-03-29 2149 WB0LQC        59 0045 NR3X          59 3074
END-OF-LOG:
